Date,IC4WSA
4/28/2012,381500
5/5/2012,377250
5/12/2012,373250
5/19/2012,370250
5/26/2012,373000
6/2/2012,374500
6/9/2012,378750
6/16/2012,381250
6/23/2012,381250
6/30/2012,380000
7/7/2012,374500
7/14/2012,375500
7/21/2012,371750
7/28/2012,371250
8/4/2012,374000
8/11/2012,369500
8/18/2012,372000
8/25/2012,373500
9/1/2012,373500
9/8/2012,379250
9/15/2012,382750
9/22/2012,382750
9/29/2012,383500
10/6/2012,372000
10/13/2012,370250
10/20/2012,369000
10/27/2012,366000
11/3/2012,371250
11/10/2012,386250
11/17/2012,394250
11/24/2012,400250
12/1/2012,402750
12/8/2012,377000
12/15/2012,365250
12/22/2012,359500
12/29/2012,356000
1/5/2013,363250
1/12/2013,359250
1/19/2013,354250
1/26/2013,354500
2/2/2013,353000
2/9/2013,354250
2/16/2013,359250
2/23/2013,354250
3/2/2013,349750
3/9/2013,348750
3/16/2013,344000
3/23/2013,348250
3/30/2013,355250
4/6/2013,359250
4/13/2013,361750
4/20/2013,357250
4/27/2013,345500
5/4/2013,339500
5/11/2013,339000
5/18/2013,339250
5/25/2013,346500
6/1/2013,349750
6/8/2013,345750
6/15/2013,347750
6/22/2013,345500
6/29/2013,344500
7/6/2013,349250
7/13/2013,346250
7/20/2013,347750
7/27/2013,345250
8/3/2013,341500
8/10/2013,337750
8/17/2013,335000
8/24/2013,335500
8/31/2013,332000
9/7/2013,326500
9/14/2013,322000
9/21/2013,317250
9/28/2013,315500
10/5/2013,331000
10/12/2013,341000
10/19/2013,349250
10/26/2013,355500
11/2/2013,350500
11/9/2013,344250
11/16/2013,339750
11/23/2013,332000
11/30/2013,324750
12/7/2013,328500
12/14/2013,337750
12/21/2013,343750
12/28/2013,349000
1/4/2014,342250
1/11/2014,329250
1/18/2014,326750
1/25/2014,328500
2/1/2014,330250
2/8/2014,335750
2/15/2014,337000
2/22/2014,337000
3/1/2014,335750
3/8/2014,332000
3/15/2014,330000
3/22/2014,323000
3/29/2014,323250
4/5/2014,320000
4/12/2014,316000
4/19/2014,319500
4/26/2014,321500
5/3/2014,324750
5/10/2014,321500
5/17/2014,320250
5/24/2014,312750
5/31/2014,310500
6/7/2014,315750
6/14/2014,312750
6/21/2014,314250
6/28/2014,314000
7/5/2014,311500
7/12/2014,309000
7/19/2014,303000
7/26/2014,300250
8/2/2014,297750
8/9/2014,299000
8/16/2014,302500
8/23/2014,301250
8/30/2014,303250
9/6/2014,303500
9/13/2014,300000
9/20/2014,299500
9/27/2014,296250
10/4/2014,291250
10/11/2014,287500
10/18/2014,285500
10/25/2014,284250
11/1/2014,282750
11/8/2014,286500
11/15/2014,287750
11/22/2014,291750
11/29/2014,295000
12/6/2014,295000
12/13/2014,294250
12/20/2014,288500
12/27/2014,287750
1/3/2015,289250
1/10/2015,293000
1/17/2015,298250
1/24/2015,291750
1/31/2015,289000
2/7/2015,288500
2/14/2015,284500
2/21/2015,294750
2/28/2015,305500
3/7/2015,303250
3/14/2015,305250
3/21/2015,300250
3/28/2015,285250
4/4/2015,282500
4/11/2015,283000
4/18/2015,285000
4/25/2015,283750
5/2/2015,279500
5/9/2015,271750
5/16/2015,266500
5/23/2015,272000
5/30/2015,275000
6/6/2015,278750
6/13/2015,277000
6/20/2015,273750
6/27/2015,275000
7/4/2015,279250
7/11/2015,282500
7/18/2015,278500
7/25/2015,274750
8/1/2015,268000
8/8/2015,266000
8/15/2015,271500
8/22/2015,272250
8/29/2015,275250
9/5/2015,275750
9/12/2015,272500
9/19/2015,271750
9/26/2015,270500
