id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,53.65,53.87,52.31,52.31,4206300,52.31,52.31,0.0,0.0
1,5/15/2012,51.93,52.48,51.16,51.28,7022500,51.43,51.32,-0.2164,0.0
2,5/16/2012,51.58,52.01,50.28,50.3,6592600,50.73,50.48,-0.5099,0.0
3,5/17/2012,50.15,50.69,49.72,49.8,5340500,50.44,50.19,-0.9071,0.0
4,5/18/2012,49.92,50.06,48.9,49.13,5198500,50.15,49.92,-1.3614,0.0
5,5/21/2012,49.14,50.13,48.86,49.88,4339100,50.37,50.53,-1.1433,20.0
6,5/22/2012,50.06,51.48,49.89,50.29,4537000,50.43,50.75,-0.193,33.3333333333
7,5/23/2012,49.68,50.46,49.01,50.34,4677000,50.43,50.79,-0.9461,42.8571428571
8,5/24/2012,50.98,51.72,50.72,51.72,4834200,50.15,50.24,1.1387,50.0
9,5/25/2012,51.49,51.92,50.96,51.13,2822300,50.21,49.98,1.0673,44.4444444444
10,5/29/2012,51.45,52.0,50.92,51.88,2918000,50.33,49.98,1.5419,50.0
11,5/30/2012,51.43,51.43,50.45,50.98,3987900,50.62,50.19,0.2188,45.4545454545
12,5/31/2012,50.92,51.81,50.15,51.37,3733200,50.89,50.63,0.5889,50.0
13,6/1/2012,50.13,50.19,48.03,48.4,7070100,51.1,50.93,-4.5682,46.1538461538
14,6/4/2012,48.53,49.26,47.99,48.68,5048300,50.83,51.07,-5.1211,53.8461538462
15,6/5/2012,48.6,50.34,48.54,50.27,5720100,50.59,51.13,-2.3026,61.5384615385
16,6/6/2012,50.82,51.2,50.36,50.61,5408900,50.39,50.8,0.5549,69.2307692308
17,6/7/2012,51.48,51.95,50.82,51.17,5182400,50.31,50.6,2.3626,76.9230769231
18,6/8/2012,50.84,52.61,50.77,52.59,4203100,50.21,50.18,4.5413,76.9230769231
19,6/11/2012,53.25,53.31,51.73,51.78,4417900,50.44,50.04,5.5087,69.2307692308
20,6/12/2012,52.17,53.33,51.46,53.08,4605700,50.5,49.83,6.7958,69.2307692308
21,6/13/2012,52.74,53.06,51.75,52.07,5487800,51.17,50.52,5.5144,61.5384615385
22,6/14/2012,52.32,53.36,51.96,53.01,4395100,51.65,51.26,6.9214,69.2307692308
23,6/15/2012,53.52,54.01,53.09,53.81,9432200,52.04,51.71,9.4607,69.2307692308
24,6/18/2012,53.6,54.35,53.33,54.11,3457200,52.5,52.18,9.8263,76.9230769231
25,6/19/2012,54.42,55.29,54.39,55.05,4147000,52.92,52.62,12.601,76.9230769231
26,6/20/2012,55.16,55.4,54.04,54.43,4547000,53.27,52.79,10.9053,76.9230769231
27,6/21/2012,54.85,54.93,52.93,53.03,4282100,53.65,53.25,6.5379,69.2307692308
28,6/22/2012,53.43,53.61,52.75,52.93,7725500,53.64,53.4,4.1923,61.5384615385
29,6/25/2012,51.74,52.65,51.64,52.19,3150100,53.77,53.82,0.4409,53.8461538462
30,6/26/2012,52.3,53.45,52.16,53.14,3399300,53.65,53.98,3.116,53.8461538462
31,6/27/2012,53.16,53.41,52.56,53.17,3162900,53.55,53.92,3.2443,53.8461538462
32,6/28/2012,52.62,53.5,52.27,53.46,2883700,53.42,53.74,3.0019,61.5384615385
33,6/29/2012,54.79,54.91,54.0,54.66,3741000,53.19,53.28,7.6609,61.5384615385
34,7/2/2012,54.87,54.9,53.82,54.75,2516100,53.23,52.98,6.4809,69.2307692308
35,7/3/2012,54.59,55.34,54.54,55.1,1309500,53.47,53.09,7.5611,69.2307692308
36,7/5/2012,54.74,54.98,54.08,54.53,1870600,53.78,53.3,4.9296,61.5384615385
37,7/6/2012,53.86,54.17,53.71,54.02,1874100,54.12,53.78,2.0583,53.8461538462
