Date,UNRATE
5/1/2012,8.2
6/1/2012,8.2
7/1/2012,8.2
8/1/2012,8.0
9/1/2012,7.8
10/1/2012,7.8
11/1/2012,7.7
12/1/2012,7.9
1/1/2013,8.0
2/1/2013,7.7
3/1/2013,7.5
4/1/2013,7.6
5/1/2013,7.5
6/1/2013,7.5
7/1/2013,7.3
8/1/2013,7.2
9/1/2013,7.2
10/1/2013,7.2
11/1/2013,7.0
12/1/2013,6.7
1/1/2014,6.6
2/1/2014,6.7
3/1/2014,6.6
4/1/2014,6.2
5/1/2014,6.3
6/1/2014,6.1
7/1/2014,6.2
8/1/2014,6.1
9/1/2014,5.9
10/1/2014,5.7
11/1/2014,5.8
12/1/2014,5.6
1/1/2015,5.7
2/1/2015,5.5
3/1/2015,5.5
4/1/2015,5.4
5/1/2015,5.5
6/1/2015,5.3
7/1/2015,5.3
8/1/2015,5.1
