Date,USD/EUR,USD/JPY
5/12/2012,0.7733,79.88
5/13/2012,0.7738,79.89
5/14/2012,0.7739,79.87
5/15/2012,0.777,79.93
5/16/2012,0.7805,79.97
5/17/2012,0.7858,80.34
5/18/2012,0.7862,80.03
5/19/2012,0.7872,79.28
5/20/2012,0.7825,78.97
5/21/2012,0.7825,78.95
5/22/2012,0.7826,79.26
5/23/2012,0.7832,79.65
5/24/2012,0.7912,79.57
5/25/2012,0.7956,79.47
5/26/2012,0.7974,79.62
5/27/2012,0.7984,79.64
5/28/2012,0.7975,79.63
5/29/2012,0.7956,79.45
5/30/2012,0.7984,79.5
5/31/2012,0.8038,79.25
6/1/2012,0.8076,78.7
6/2/2012,0.8087,78.29
6/3/2012,0.8039,77.97
6/4/2012,0.8046,77.97
6/5/2012,0.8038,78.18
6/6/2012,0.8017,78.44
6/7/2012,0.7999,78.98
6/8/2012,0.7952,79.45
6/9/2012,0.7997,79.42
6/10/2012,0.7989,79.43
6/11/2012,0.7967,79.42
6/12/2012,0.7949,79.52
6/13/2012,0.8006,79.46
6/14/2012,0.7979,79.53
6/15/2012,0.7949,79.35
6/16/2012,0.7918,78.93
6/17/2012,0.7909,78.67
6/18/2012,0.7906,78.68
6/19/2012,0.7906,79.1
6/20/2012,0.7918,78.98
6/21/2012,0.7881,79.11
6/22/2012,0.7909,79.84
6/23/2012,0.7966,80.33
6/24/2012,0.7952,80.38
6/25/2012,0.7953,80.38
6/26/2012,0.7992,79.99
6/27/2012,0.8001,79.52
6/28/2012,0.801,79.59
6/29/2012,0.8026,79.44
6/30/2012,0.795,79.53
7/1/2012,0.7893,79.75
7/2/2012,0.7893,79.75
7/3/2012,0.7925,79.65
7/4/2012,0.7941,79.74
7/5/2012,0.7954,79.8
7/6/2012,0.8018,79.85
7/7/2012,0.8095,79.8
7/8/2012,0.8137,79.64
7/9/2012,0.8139,79.64
7/10/2012,0.8134,79.61
7/11/2012,0.8138,79.45
7/12/2012,0.8158,79.41
7/13/2012,0.8187,79.41
7/14/2012,0.8189,79.27
7/15/2012,0.8162,79.16
7/16/2012,0.8161,79.17
7/17/2012,0.817,78.99
7/18/2012,0.8144,78.98
7/19/2012,0.8148,78.97
7/20/2012,0.8143,78.62
7/21/2012,0.8179,78.58
7/22/2012,0.8224,78.48
7/23/2012,0.8226,78.47
7/24/2012,0.8254,78.27
7/25/2012,0.8264,78.23
7/26/2012,0.8259,78.18
7/27/2012,0.8195,78.16
7/28/2012,0.8129,78.32
7/29/2012,0.8115,78.41
7/30/2012,0.8115,78.42
7/31/2012,0.8147,78.3
8/1/2012,0.8141,78.18
8/2/2012,0.8133,78.16
8/3/2012,0.8178,78.33
8/4/2012,0.8161,78.35
8/5/2012,0.8072,78.44
8/6/2012,0.8072,78.45
8/7/2012,0.807,78.36
8/8/2012,0.8059,78.41
8/9/2012,0.8082,78.46
8/10/2012,0.8106,78.52
8/11/2012,0.8138,78.43
8/12/2012,0.8136,78.26
8/13/2012,0.8136,78.25
8/14/2012,0.8121,78.28
8/15/2012,0.8101,78.57
8/16/2012,0.8125,78.85
8/17/2012,0.8125,79.2
8/18/2012,0.8101,79.42
8/19/2012,0.8106,79.55
8/20/2012,0.8105,79.55
8/21/2012,0.8106,79.48
8/22/2012,0.8059,79.37
8/23/2012,0.8018,79.16
8/24/2012,0.7968,78.53
8/25/2012,0.7975,78.59
8/26/2012,0.7991,78.66
8/27/2012,0.7991,78.65
8/28/2012,0.7991,78.72
8/29/2012,0.7984,78.57
8/30/2012,0.7968,78.61
8/31/2012,0.798,78.62
9/1/2012,0.7969,78.45
9/2/2012,0.795,78.37
9/3/2012,0.7951,78.37
9/4/2012,0.7949,78.29
9/5/2012,0.7942,78.38
9/6/2012,0.796,78.4
9/7/2012,0.7927,78.6
9/8/2012,0.7874,78.67
9/9/2012,0.7801,78.22
9/10/2012,0.7802,78.22
9/11/2012,0.7821,78.25
9/12/2012,0.7811,78.04
9/13/2012,0.7763,77.85
9/14/2012,0.7739,77.65
9/15/2012,0.7656,77.89
9/16/2012,0.7616,78.38
9/17/2012,0.7616,78.37
9/18/2012,0.7622,78.46
9/19/2012,0.7647,78.65
9/20/2012,0.7664,78.72
9/21/2012,0.7701,78.26
9/22/2012,0.7698,78.2
9/23/2012,0.7703,78.14
9/24/2012,0.7703,78.14
9/25/2012,0.7731,78.01
9/26/2012,0.7733,77.81
9/27/2012,0.7767,77.74
9/28/2012,0.7763,77.67
9/29/2012,0.7747,77.69
9/30/2012,0.7776,77.9
10/1/2012,0.7776,77.91
10/2/2012,0.7772,77.96
10/3/2012,0.7744,78.08
10/4/2012,0.7747,78.32
10/5/2012,0.7718,78.52
10/6/2012,0.7679,78.53
10/7/2012,0.7668,78.66
10/8/2012,0.7669,78.65
10/9/2012,0.7702,78.4
10/10/2012,0.7729,78.29
10/11/2012,0.7766,78.25
10/12/2012,0.7757,78.22
10/13/2012,0.7721,78.4
10/14/2012,0.7719,78.43
10/15/2012,0.7719,78.43
10/16/2012,0.7728,78.6
10/17/2012,0.769,78.84
10/18/2012,0.7628,78.78
10/19/2012,0.7633,79.18
10/20/2012,0.7661,79.31
10/21/2012,0.7676,79.3
10/22/2012,0.7677,79.29
10/23/2012,0.7663,79.63
10/24/2012,0.768,79.86
10/25/2012,0.7712,79.81
10/26/2012,0.7706,80.08
10/27/2012,0.7732,79.93
10/28/2012,0.7728,79.63
10/29/2012,0.7728,79.63
10/30/2012,0.7743,79.68
10/31/2012,0.773,79.64
11/1/2012,0.7708,79.72
11/2/2012,0.772,80.01
11/3/2012,0.7757,80.33
11/4/2012,0.7788,80.42
11/5/2012,0.7788,80.42
11/6/2012,0.7809,80.34
11/7/2012,0.7814,80.21
11/8/2012,0.7809,80.11
11/9/2012,0.7842,79.82
11/10/2012,0.7851,79.42
11/11/2012,0.7865,79.48
11/12/2012,0.7865,79.48
11/13/2012,0.7862,79.45
11/14/2012,0.7877,79.41
11/15/2012,0.7856,79.84
11/16/2012,0.784,80.8
11/17/2012,0.7843,81.15
11/18/2012,0.7846,81.29
11/19/2012,0.7846,81.29
11/20/2012,0.7829,81.25
11/21/2012,0.7813,81.43
11/22/2012,0.7813,82.11
11/23/2012,0.7776,82.51
11/24/2012,0.7745,82.32
11/25/2012,0.7705,82.38
11/26/2012,0.7706,82.38
11/27/2012,0.7714,82.21
11/28/2012,0.7713,82.12
11/29/2012,0.7737,81.9
11/30/2012,0.7712,82.1
12/1/2012,0.7693,82.46
12/2/2012,0.7699,82.46
12/3/2012,0.77,82.47
12/4/2012,0.7672,82.29
12/5/2012,0.765,82.01
12/6/2012,0.7637,82.16
12/7/2012,0.767,82.41
12/8/2012,0.7726,82.42
12/9/2012,0.7734,82.48
