id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,10.41,10.53,10.3,10.32,50225200,10.32,10.32,0.0542,0.0
1,5/15/2012,10.34,10.34,10.1,10.15,41886500,10.17,10.16,-0.208,0.0
2,5/16/2012,10.23,10.43,10.15,10.16,44321300,10.18,10.17,-0.0525,50.0
3,5/17/2012,10.16,10.25,10.01,10.01,49648900,10.1,10.06,-0.4583,33.3333333333
4,5/18/2012,10.08,10.18,9.96,10.01,50572000,10.1,10.08,-0.6069,33.3333333333
5,5/21/2012,10.02,10.23,10.0,10.2,38134900,10.15,10.19,-0.257,50.0
6,5/22/2012,10.25,10.4,10.15,10.19,44295700,10.15,10.17,0.2612,40.0
7,5/23/2012,10.32,10.45,10.22,10.41,75647800,10.15,10.16,0.9561,50.0
8,5/24/2012,10.5,10.62,10.38,10.59,45334100,10.16,10.12,2.1222,57.1428571429
9,5/25/2012,10.61,10.68,10.51,10.6,30430800,10.22,10.14,2.7409,62.5
10,5/29/2012,10.69,10.88,10.68,10.84,43760600,10.29,10.18,4.5526,66.6666666667
11,5/30/2012,10.73,10.75,10.52,10.66,44592100,10.41,10.27,3.0375,60.0
12,5/31/2012,10.62,10.68,10.4,10.56,54297000,10.5,10.4,1.9187,54.5454545455
13,6/1/2012,10.33,10.37,10.06,10.12,68237000,10.55,10.48,-2.0232,50.0
14,6/4/2012,10.15,10.18,9.91,10.04,57305600,10.54,10.57,-3.7532,50.0
15,6/5/2012,10.01,10.24,9.97,10.19,38326200,10.49,10.59,-2.4905,50.0
16,6/6/2012,10.29,10.58,10.27,10.57,50458000,10.43,10.55,1.989,58.3333333333
17,6/7/2012,10.73,10.78,10.52,10.55,33846100,10.43,10.51,4.1494,53.8461538462
18,6/8/2012,10.48,10.68,10.38,10.66,30811600,10.38,10.39,3.4488,53.8461538462
19,6/11/2012,10.77,10.8,10.45,10.45,35811400,10.38,10.32,3.3411,53.8461538462
20,6/12/2012,10.47,10.55,10.31,10.5,35130800,10.37,10.28,1.3505,53.8461538462
21,6/13/2012,10.39,10.49,10.22,10.3,41384200,10.42,10.35,-0.704,46.1538461538
22,6/14/2012,10.27,10.45,10.21,10.41,37531800,10.46,10.46,-0.5428,46.1538461538
23,6/15/2012,10.4,10.42,10.26,10.35,39442000,10.49,10.53,-0.9251,38.4615384615
24,6/18/2012,10.35,10.4,10.26,10.34,27361000,10.46,10.5,-1.4218,38.4615384615
25,6/19/2012,10.37,10.64,10.35,10.56,37155900,10.43,10.47,1.4253,46.1538461538
26,6/20/2012,10.58,10.74,10.52,10.65,40810100,10.42,10.41,3.2423,53.8461538462
27,6/21/2012,10.65,10.68,10.25,10.27,40062800,10.44,10.41,-0.9941,53.8461538462
28,6/22/2012,10.35,10.4,10.18,10.19,56427300,10.41,10.39,-3.1952,46.1538461538
29,6/25/2012,10.13,10.18,9.95,10.01,44297600,10.4,10.41,-6.3041,38.4615384615
30,6/26/2012,10.06,10.08,9.96,10.01,31871900,10.34,10.4,-6.0797,41.6666666667
31,6/27/2012,10.05,10.1,9.97,10.02,33278900,10.29,10.38,-5.3349,41.6666666667
32,6/28/2012,9.93,10.09,9.93,10.09,38648400,10.24,10.36,-4.7079,50.0
33,6/29/2012,9.95,9.98,9.46,9.59,138138600,10.18,10.26,-10.3005,41.6666666667
34,7/2/2012,9.5,9.6,9.3,9.39,63388600,10.03,10.11,-14.056,41.6666666667
35,7/3/2012,9.53,9.79,9.49,9.6,49629300,9.9,10.01,-10.1783,41.6666666667
36,7/5/2012,9.67,9.74,9.53,9.57,31783900,9.82,9.92,-9.4856,41.6666666667
37,7/6/2012,9.47,9.52,9.4,9.5,30355400,9.75,9.86,-10.7666,41.6666666667
38,7/9/2012,9.46,9.47,9.31,9.45,37441600,9.68,9.77,-10.6697,33.3333333333
39,7/10/2012,9.5,9.55,9.28,9.35,33516600,9.6,9.67,-9.8737,25.0
40,7/11/2012,9.33,9.38,9.26,9.33,32028700,9.49,9.52,-10.061,25.0
41,7/12/2012,9.26,9.28,9.12,9.13,55111000,9.46,9.48,-11.1997,25.0
42,7/13/2012,9.16,9.32,9.14,9.27,30248300,9.42,9.49,-9.2195,33.3333333333
43,7/16/2012,9.22,9.32,9.15,9.26,28838200,9.37,9.43,-8.2432,30.7692307692
44,7/17/2012,9.28,9.35,9.12,9.34,29510000,9.33,9.37,-7.0715,30.7692307692
45,7/18/2012,9.38,9.52,9.34,9.38,31010000,9.3,9.32,-3.995,30.7692307692
46,7/19/2012,9.45,9.5,9.33,9.35,33615000,9.29,9.29,-3.395,30.7692307692
47,7/20/2012,9.28,9.35,9.18,9.21,27968300,9.29,9.27,-4.5317,30.7692307692
48,7/23/2012,9.08,9.21,9.05,9.17,33773800,9.28,9.26,-5.2037,23.0769230769
49,7/24/2012,9.17,9.24,8.95,9.06,53519200,9.28,9.3,-5.2849,23.0769230769
50,7/25/2012,9.17,9.2,8.91,8.97,44338200,9.25,9.29,-5.3206,23.0769230769
51,7/26/2012,9.05,9.11,8.83,8.96,51798900,9.21,9.28,-5.3991,23.0769230769
52,7/27/2012,8.99,9.1,8.88,9.0,67986800,9.16,9.23,-4.2174,30.7692307692
53,7/30/2012,9.04,9.18,9.01,9.1,40958300,9.1,9.17,-2.4816,38.4615384615
54,7/31/2012,9.13,9.28,9.12,9.24,41360900,9.07,9.09,-0.7246,46.1538461538
55,8/1/2012,9.29,9.42,8.99,9.04,65973000,9.07,9.06,-1.2738,38.4615384615
56,8/2/2012,8.99,9.03,8.82,8.92,45326500,9.05,9.03,-3.7573,38.4615384615
57,8/3/2012,9.02,9.15,8.96,9.09,38631400,9.03,9.02,-1.6823,38.4615384615
58,8/6/2012,9.13,9.21,9.09,9.15,23819100,9.05,9.04,-0.3771,38.4615384615
59,8/7/2012,9.18,9.39,9.18,9.31,43574500,9.08,9.07,1.6697,46.1538461538
60,8/8/2012,9.25,9.38,9.24,9.35,22630300,9.12,9.1,2.0453,53.8461538462
61,8/9/2012,9.31,9.46,9.3,9.34,30909800,9.16,9.12,2.4674,53.8461538462
62,8/10/2012,9.3,9.36,9.23,9.35,19618800,9.17,9.1,1.676,61.5384615385
63,8/13/2012,9.35,9.42,9.25,9.4,21122000,9.22,9.14,2.2206,69.2307692308
64,8/14/2012,9.45,9.66,9.42,9.44,21129500,9.28,9.24,3.9879,76.9230769231
65,8/15/2012,9.44,9.54,9.41,9.49,21308300,9.33,9.3,3.6521,76.9230769231
66,8/16/2012,9.5,9.67,9.49,9.59,34323700,9.38,9.36,4.9534,76.9230769231
67,8/17/2012,9.65,9.66,9.6,9.63,34533900,9.42,9.38,5.3093,76.9230769231
68,8/20/2012,9.58,9.64,9.51,9.63,38923800,9.46,9.41,4.4921,83.3333333333
69,8/21/2012,9.65,9.7,9.52,9.53,26281100,9.5,9.45,4.1264,83.3333333333
70,8/22/2012,9.5,9.56,9.4,9.49,26965500,9.53,9.5,2.4816,75.0
71,8/23/2012,9.45,9.54,9.42,9.45,23537700,9.54,9.53,1.9366,66.6666666667
72,8/24/2012,9.42,9.52,9.41,9.49,19574600,9.54,9.56,1.6016,66.6666666667
73,8/27/2012,9.51,9.52,9.38,9.39,22754200,9.54,9.57,0.7822,58.3333333333
74,8/28/2012,9.37,9.44,9.31,9.34,23084400,9.52,9.55,-0.2177,58.3333333333
75,8/29/2012,9.33,9.4,9.29,9.32,26115700,9.47,9.52,-0.698,50.0
76,8/30/2012,9.3,9.34,9.25,9.31,16459400,9.43,9.47,-1.4453,41.6666666667
77,8/31/2012,9.39,9.43,9.31,9.34,28029200,9.4,9.43,-0.7899,41.6666666667
78,9/4/2012,9.37,9.47,9.35,9.41,37965000,9.38,9.4,-0.2638,41.6666666667
79,9/5/2012,9.45,9.62,9.39,9.57,40608800,9.37,9.38,1.1455,41.6666666667
80,9/6/2012,9.66,9.96,9.66,9.92,67996400,9.38,9.36,5.2534,41.6666666667
81,9/7/2012,9.95,10.23,9.93,10.14,60617000,9.46,9.38,8.2604,46.1538461538
