id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,18.82,18.84,18.55,18.6,46978300,18.6,18.6,0.0392,0.0
1,5/15/2012,18.55,18.67,18.32,18.4,47564600,18.43,18.41,-0.0759,0.0
2,5/16/2012,18.89,19.26,18.71,19.0,85013500,18.86,18.95,0.4962,50.0
3,5/17/2012,18.95,19.13,18.87,18.88,52158100,18.79,18.82,0.4934,33.3333333333
4,5/18/2012,18.95,19.16,18.85,18.95,61137200,18.82,18.84,0.5778,50.0
5,5/21/2012,18.99,19.19,18.95,19.12,38606600,18.87,18.89,0.9618,60.0
6,5/22/2012,19.16,19.29,19.06,19.18,47187700,18.88,18.84,1.2289,66.6666666667
7,5/23/2012,19.12,19.21,18.75,19.18,63500000,18.88,18.76,0.7082,66.6666666667
8,5/24/2012,19.15,19.39,19.02,19.25,41881400,18.96,18.85,1.6558,71.4285714286
9,5/25/2012,19.29,19.42,19.12,19.2,26847600,19.08,19.02,1.7474,62.5
10,5/29/2012,19.29,19.43,19.2,19.35,35631900,19.11,19.05,2.2762,66.6666666667
11,5/30/2012,19.19,19.2,18.99,19.04,41837800,19.18,19.12,0.4626,60.0
12,5/31/2012,19.01,19.22,18.87,19.09,49032600,19.19,19.18,0.3778,63.6363636364
13,6/1/2012,18.82,18.99,18.41,18.54,60939500,19.18,19.2,-3.1136,58.3333333333
14,6/4/2012,18.44,18.51,18.05,18.15,66592500,19.09,19.18,-6.7983,58.3333333333
15,6/5/2012,18.08,18.3,18.02,18.24,38441700,18.95,19.12,-7.2679,58.3333333333
16,6/6/2012,18.39,18.88,18.31,18.88,42885200,18.8,19.01,-2.2001,66.6666666667
17,6/7/2012,19.09,19.2,18.9,19.0,139352500,18.76,18.9,1.6387,66.6666666667
18,6/8/2012,18.98,19.25,18.9,19.2,107933500,18.71,18.74,2.5447,66.6666666667
19,6/11/2012,19.35,19.43,19.07,19.11,51450900,18.73,18.66,3.6119,58.3333333333
20,6/12/2012,19.16,19.48,19.09,19.48,47101300,18.73,18.57,5.1907,61.5384615385
21,6/13/2012,19.25,19.54,19.2,19.37,40217500,18.87,18.65,4.8651,53.8461538462
22,6/14/2012,19.36,19.77,19.24,19.72,62338600,19.04,18.87,7.2207,61.5384615385
23,6/15/2012,19.87,20.0,19.75,20.0,59794200,19.25,19.13,11.1652,61.5384615385
24,6/18/2012,19.88,19.98,19.75,19.75,41970000,19.41,19.26,9.4919,61.5384615385
25,6/19/2012,19.87,20.14,19.85,20.0,43182200,19.52,19.39,11.2302,61.5384615385
26,6/20/2012,20.0,20.15,19.85,20.1,46737700,19.63,19.5,11.2741,69.2307692308
27,6/21/2012,19.99,20.07,19.46,19.53,60929300,19.77,19.66,6.0952,69.2307692308
28,6/22/2012,19.68,19.91,19.51,19.81,51384500,19.78,19.74,6.5999,69.2307692308
29,6/25/2012,19.48,19.6,19.29,19.52,44663800,19.84,19.86,2.6381,61.5384615385
30,6/26/2012,19.54,19.9,19.51,19.8,58736000,19.82,19.88,6.1555,61.5384615385
31,6/27/2012,19.91,20.19,19.89,20.13,53791900,19.79,19.83,10.1046,61.5384615385
32,6/28/2012,19.92,20.2,19.87,20.2,56870000,19.84,19.85,9.8035,69.2307692308
33,6/29/2012,20.42,20.84,20.42,20.84,73022200,19.87,19.82,17.1982,69.2307692308
34,7/2/2012,20.74,20.82,20.28,20.49,61711900,19.98,19.79,13.4617,69.2307692308
35,7/3/2012,20.38,20.5,20.33,20.43,21247400,20.11,19.93,10.5016,61.5384615385
36,7/5/2012,20.34,20.48,20.29,20.33,29047400,20.2,20.03,8.6068,53.8461538462
37,7/6/2012,20.16,20.26,19.95,20.0,56250900,20.32,20.23,3.278,53.8461538462
38,7/9/2012,19.99,20.04,19.91,20.04,32978200,20.35,20.37,1.4566,53.8461538462
39,7/10/2012,20.04,20.07,19.5,19.62,54590600,20.33,20.42,-3.1933,46.1538461538
40,7/11/2012,19.68,19.79,19.54,19.68,42764700,20.25,20.43,-4.43,53.8461538462
41,7/12/2012,19.5,19.64,19.36,19.44,50188200,20.08,20.24,-7.673,46.1538461538
42,7/13/2012,19.51,19.87,19.46,19.77,32421400,19.93,20.1,-4.2969,53.8461538462
43,7/16/2012,19.51,19.61,19.43,19.59,35770700,19.84,19.95,-6.3649,46.1538461538
44,7/17/2012,19.64,19.85,19.43,19.72,51954000,19.73,19.8,-4.3182,46.1538461538
45,7/18/2012,19.65,19.86,19.59,19.84,39285100,19.69,19.73,-2.5286,46.1538461538
46,7/19/2012,19.94,19.94,19.64,19.8,41939000,19.67,19.63,-1.9173,38.4615384615
47,7/20/2012,19.89,20.37,19.45,19.87,116062500,19.69,19.65,-0.3532,46.1538461538
48,7/23/2012,19.56,20.13,19.52,20.09,61493400,19.72,19.66,-0.2529,53.8461538462
49,7/24/2012,20.06,20.09,19.74,19.97,54891100,19.81,19.75,-0.254,53.8461538462
50,7/25/2012,20.06,20.16,19.98,20.0,42587700,19.84,19.77,1.3239,61.5384615385
51,7/26/2012,20.2,20.7,20.16,20.56,57275600,19.9,19.85,7.8415,61.5384615385
52,7/27/2012,20.63,21.0,20.56,20.92,80268300,20.02,19.92,12.993,69.2307692308
53,7/30/2012,20.79,20.91,20.69,20.8,44993600,20.17,20.01,12.459,61.5384615385
54,7/31/2012,20.75,20.89,20.75,20.75,38328400,20.32,20.14,12.2822,61.5384615385
55,8/1/2012,20.86,20.95,20.71,20.73,35734300,20.44,20.28,12.0295,53.8461538462
56,8/2/2012,20.52,20.7,20.2,20.52,44000400,20.53,20.39,6.6029,53.8461538462
57,8/3/2012,20.82,21.0,20.77,20.96,37891500,20.61,20.55,13.1634,53.8461538462
58,8/6/2012,20.97,21.18,20.9,20.97,34159500,20.75,20.74,14.2185,53.8461538462
59,8/7/2012,21.14,21.19,21.09,21.12,31115300,20.81,20.8,15.3359,61.5384615385
60,8/8/2012,21.05,21.09,20.9,21.01,32345900,20.84,20.78,12.1384,53.8461538462
61,8/9/2012,20.94,21.12,20.94,21.06,31159700,20.87,20.79,11.7128,53.8461538462
62,8/10/2012,21.0,21.1,20.94,21.1,24419100,20.91,20.83,10.8436,61.5384615385
63,8/13/2012,21.04,21.06,20.88,20.99,26873600,20.96,20.89,8.4618,53.8461538462
64,8/14/2012,21.08,21.11,20.9,20.94,30095000,21.03,21.02,7.4975,46.1538461538
65,8/15/2012,20.86,21.03,20.79,20.96,28870100,21.03,21.04,5.5192,46.1538461538
66,8/16/2012,20.87,21.14,20.82,21.05,33598000,21.03,21.05,5.915,53.8461538462
67,8/17/2012,21.02,21.05,20.94,21.0,30032500,21.02,21.02,4.774,53.8461538462
68,8/20/2012,20.95,21.02,20.83,20.93,27385500,21.01,21.03,2.3961,53.8461538462
69,8/21/2012,20.97,21.05,20.8,20.85,30438800,21.0,21.01,0.9594,53.8461538462
70,8/22/2012,20.77,20.87,20.71,20.78,28016800,20.96,20.97,-2.2065,46.1538461538
71,8/23/2012,20.74,20.79,20.63,20.64,36538800,20.93,20.96,-4.3608,38.4615384615
72,8/24/2012,20.59,20.9,20.55,20.8,29338200,20.89,20.95,-3.1242,38.4615384615
73,8/27/2012,20.82,20.95,20.79,20.85,28775600,20.86,20.92,-0.7139,46.1538461538
74,8/28/2012,20.76,20.92,20.76,20.81,25912400,20.84,20.87,-1.5621,38.4615384615
