id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,36.1,36.47,35.76,35.79,96488500,35.79,35.79,-0.0127,0.0
1,5/15/2012,36.19,37.27,36.12,36.24,89903700,36.18,36.22,0.0919,100.0
2,5/16/2012,36.79,36.98,35.46,35.46,68729600,35.62,35.51,-0.1274,50.0
3,5/17/2012,35.04,35.1,33.88,33.93,95429200,34.74,34.35,-1.0497,33.3333333333
4,5/18/2012,33.99,33.99,32.97,33.49,82650100,34.56,34.27,-1.5961,25.0
5,5/21/2012,33.52,33.71,32.26,32.51,99554800,34.28,34.08,-2.1475,20.0
6,5/22/2012,33.32,34.58,32.99,34.01,84721000,34.49,34.9,-1.0724,33.3333333333
7,5/23/2012,33.62,34.42,33.21,34.26,52512900,34.49,35.02,-0.9606,42.8571428571
8,5/24/2012,34.44,34.48,33.62,33.97,37843800,34.27,34.64,-0.8577,37.5
9,5/25/2012,34.0,34.13,33.29,33.5,28796400,33.95,34.06,-1.4798,33.3333333333
10,5/29/2012,33.98,34.0,33.36,33.63,35855200,33.67,33.62,-1.4347,40.0
11,5/30/2012,33.3,33.44,32.95,32.96,34203600,33.62,33.54,-2.4954,36.3636363636
12,5/31/2012,32.96,33.47,32.91,33.15,42124900,33.55,33.55,-2.397,41.6666666667
13,6/1/2012,32.41,32.65,31.77,31.93,50472200,33.64,33.84,-4.7679,38.4615384615
14,6/4/2012,32.16,32.17,30.83,31.0,60492400,33.34,33.67,-6.6186,30.7692307692
15,6/5/2012,30.89,32.13,30.86,31.99,46502800,32.88,33.32,-5.7879,38.4615384615
16,6/6/2012,32.71,33.31,32.27,33.07,47980500,32.59,32.98,-2.4079,46.1538461538
17,6/7/2012,33.77,33.83,32.8,32.81,53888800,32.53,32.74,-1.592,46.1538461538
18,6/8/2012,32.77,33.68,32.55,33.68,34238200,32.42,32.44,-1.0992,53.8461538462
19,6/11/2012,34.37,34.44,32.78,32.82,46404900,32.52,32.32,-0.9534,46.1538461538
20,6/12/2012,32.88,33.78,32.51,33.77,43334400,32.47,32.16,-0.4567,46.1538461538
21,6/13/2012,33.69,35.07,33.63,34.3,72456600,32.73,32.36,3.3573,53.8461538462
22,6/14/2012,34.41,34.89,34.07,34.65,44428000,33.21,32.91,4.2791,61.5384615385
23,6/15/2012,34.89,35.07,34.41,35.03,40917100,33.59,33.31,5.2387,61.5384615385
24,6/18/2012,34.71,35.3,34.5,34.62,31084400,33.87,33.51,4.9256,61.5384615385
25,6/19/2012,34.99,35.63,34.73,35.38,32489000,34.12,33.83,6.052,61.5384615385
