id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,77.12,77.25,76.62,76.87,15411800,76.87,76.87,0.0066,0.0
1,5/15/2012,76.56,77.15,76.26,76.57,16397800,76.61,76.58,-0.0199,0.0
2,5/16/2012,76.66,76.84,75.92,76.33,17804400,76.44,76.38,-0.0937,0.0
3,5/17/2012,76.17,76.3,74.99,75.12,22310800,75.75,75.45,-0.3904,0.0
4,5/18/2012,75.25,75.29,73.47,74.05,31913000,75.29,74.92,-0.9312,0.0
5,5/21/2012,74.21,74.6,74.13,74.51,13488800,75.42,75.45,-0.8369,20.0
6,5/22/2012,74.58,74.58,73.91,74.19,15260600,75.38,75.6,-0.9813,16.6666666667
7,5/23/2012,74.0,74.57,73.82,74.55,18000000,75.38,75.89,-0.9022,28.5714285714
8,5/24/2012,74.79,75.85,74.6,75.56,20204600,75.05,75.44,0.0138,37.5
9,5/25/2012,75.62,75.69,75.01,75.23,8999600,74.9,75.02,-0.0208,33.3333333333
10,5/29/2012,75.73,75.73,75.06,75.46,10533800,74.74,74.62,0.0967,40.0
11,5/30/2012,75.07,75.25,74.82,75.06,13884600,74.79,74.54,-0.3472,36.3636363636
12,5/31/2012,74.96,75.22,74.66,74.73,15147600,74.94,74.76,-0.5844,33.3333333333
13,6/1/2012,73.99,74.45,73.01,73.09,20843400,74.97,74.88,-2.546,30.7692307692
14,6/4/2012,73.03,73.74,72.56,73.64,13397200,74.81,75.03,-2.875,38.4615384615
15,6/5/2012,73.33,73.64,73.05,73.24,12275200,74.68,75.07,-2.8821,38.4615384615
16,6/6/2012,73.39,74.61,73.3,74.61,12496400,74.35,74.76,-1.3225,46.1538461538
17,6/7/2012,74.99,75.06,74.2,74.28,14342800,74.26,74.52,-0.6885,46.1538461538
18,6/8/2012,74.16,75.37,74.15,75.24,11594200,74.09,74.18,0.1264,46.1538461538
19,6/11/2012,75.72,75.78,74.62,74.66,10657200,74.12,73.94,0.337,46.1538461538
20,6/12/2012,74.98,75.25,74.34,75.2,11911200,74.11,73.79,0.3592,46.1538461538
21,6/13/2012,74.61,75.13,74.47,74.69,9376200,74.41,74.12,0.1978,38.4615384615
22,6/14/2012,74.79,76.0,74.7,75.74,13945400,74.56,74.35,1.8909,46.1538461538
23,6/15/2012,76.12,76.2,75.42,76.09,19748800,74.92,74.77,2.7903,46.1538461538
24,6/18/2012,75.96,76.42,75.77,75.98,10457200,75.13,74.9,2.9386,46.1538461538
25,6/19/2012,76.25,76.25,75.66,75.74,11115400,75.37,75.17,2.3737,46.1538461538
26,6/20/2012,75.69,75.74,74.84,75.56,14706800,75.44,75.22,1.1168,46.1538461538
27,6/21/2012,75.79,75.99,74.62,74.67,12804000,75.57,75.45,0.4067,38.4615384615
28,6/22/2012,74.95,75.3,74.86,74.94,15252800,75.5,75.52,0.3016,46.1538461538
29,6/25/2012,74.46,74.84,74.17,74.77,9734200,75.53,75.73,-0.5826,38.4615384615
30,6/26/2012,74.99,75.36,74.2,75.08,11859400,75.39,75.65,0.1054,46.1538461538
31,6/27/2012,75.24,76.48,75.24,76.34,13644400,75.25,75.44,2.5309,46.1538461538
32,6/28/2012,76.1,76.67,75.69,76.57,10891200,75.3,75.27,3.0103,53.8461538462
33,6/29/2012,77.13,78.19,77.08,78.19,18519800,75.42,75.19,5.8456,53.8461538462
34,7/2/2012,78.1,79.0,78.01,78.92,13350200,75.79,75.24,7.0148,61.5384615385
35,7/3/2012,78.89,79.36,78.71,79.16,7335000,76.4,75.68,7.2702,61.5384615385
36,7/5/2012,79.02,79.14,78.2,78.45,10546400,77.0,76.19,5.6989,53.8461538462
37,7/6/2012,78.02,78.29,77.84,78.15,10036000,77.53,76.88,4.2129,53.8461538462
38,7/9/2012,78.06,78.21,77.71,77.98,8615600,77.97,77.61,3.5915,53.8461538462
39,7/10/2012,78.53,78.54,77.82,77.98,11583400,78.2,78.07,3.5685,58.3333333333
40,7/11/2012,77.9,77.95,77.15,77.46,13645600,78.4,78.53,2.0221,58.3333333333
41,7/12/2012,77.03,77.27,76.52,76.64,19104000,78.3,78.56,0.299,50.0
42,7/13/2012,76.63,77.59,76.34,77.28,13307400,77.97,78.32,0.6762,58.3333333333
43,7/16/2012,77.1,77.4,76.2,76.48,17575600,77.71,77.96,-0.1919,50.0
44,7/17/2012,78.06,78.66,76.76,77.69,21209600,77.42,77.7,1.7522,50.0
45,7/18/2012,77.64,77.68,76.82,77.44,13852000,77.36,77.5,0.7779,41.6666666667
46,7/19/2012,77.52,77.6,76.5,77.55,18050400,77.28,77.33,0.3878,41.6666666667
47,7/20/2012,77.27,77.35,76.79,77.03,16436000,77.22,77.14,-0.1441,33.3333333333
48,7/23/2012,76.55,77.0,76.37,76.88,10655800,77.16,77.06,-0.96,25.0
49,7/24/2012,76.9,76.95,76.1,76.66,10445800,77.19,77.2,-1.5232,25.0
50,7/25/2012,76.95,77.22,76.73,77.02,9020400,77.1,77.16,-0.8764,33.3333333333
51,7/26/2012,77.7,78.91,77.7,78.85,14144600,77.18,77.33,1.9383,41.6666666667
52,7/27/2012,79.05,80.24,78.9,80.01,17825000,77.35,77.25,4.1034,46.1538461538
53,7/30/2012,79.77,81.17,79.57,81.12,15947800,77.71,77.32,5.6443,53.8461538462
54,7/31/2012,80.7,81.33,80.39,80.8,16333600,78.22,77.48,5.8383,53.8461538462
55,8/1/2012,80.97,81.25,80.59,81.01,12954600,78.76,77.92,5.8616,53.8461538462
56,8/2/2012,80.73,81.0,79.52,79.75,13393200,79.35,78.54,3.9442,53.8461538462
57,8/3/2012,80.19,80.99,80.01,80.83,11834200,79.79,79.32,4.7348,53.8461538462
58,8/6/2012,81.01,81.25,80.62,80.64,9179400,80.34,80.15,4.8807,53.8461538462
59,8/7/2012,80.84,80.98,79.75,79.77,12782800,80.59,80.58,3.3271,46.1538461538
60,8/8/2012,79.71,80.0,79.36,79.56,8790200,80.56,80.72,2.0563,46.1538461538
61,8/9/2012,79.47,79.78,78.83,79.24,9583400,80.34,80.53,1.0958,46.1538461538
62,8/10/2012,79.16,79.21,78.61,78.79,40577600,80.11,80.36,0.0936,46.1538461538
63,8/13/2012,39.31,39.39,39.05,39.3,8898200,79.8,80.05,-74.0658,38.4615384615
64,8/14/2012,39.6,39.67,39.25,39.38,10841200,74.02,78.62,-74.14,38.4615384615
65,8/15/2012,39.42,39.55,39.23,39.35,7692500,68.1,75.44,-74.7307,30.7692307692
66,8/16/2012,39.4,39.63,39.31,39.55,8824100,62.2,70.83,-75.0016,30.7692307692
67,8/17/2012,39.66,39.73,39.27,39.53,10541000,56.45,65.0,-75.5615,30.7692307692
68,8/20/2012,39.54,39.59,39.26,39.47,9211800,50.73,57.79,-76.4188,23.0769230769
69,8/21/2012,39.41,39.69,39.23,39.26,8329000,45.05,49.24,-77.3519,23.0769230769
70,8/22/2012,39.14,39.25,38.69,38.77,13479200,39.41,39.4,-79.8164,15.3846153846
71,8/23/2012,38.81,38.84,38.02,38.11,14973300,39.33,39.4,-83.1576,15.3846153846
72,8/24/2012,38.07,38.55,38.07,38.47,9317800,39.15,39.35,-85.051,23.0769230769
73,8/27/2012,38.56,38.56,38.12,38.17,9589400,39.02,39.27,-88.0555,23.0769230769
74,8/28/2012,38.14,38.32,37.77,38.0,16148800,38.83,39.08,-92.9949,23.0769230769
75,8/29/2012,38.05,38.05,37.38,37.46,23435400,38.61,38.85,-100.9301,23.0769230769
76,8/30/2012,37.38,37.63,37.13,37.14,17041800,38.32,38.57,-112.3873,23.0769230769
