id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,91.54,91.69,90.66,90.88,6050000,90.88,90.88,-0.0536,0.0
1,5/15/2012,90.99,91.74,90.85,91.01,4890300,90.99,91.01,0.1651,100.0
2,5/16/2012,91.12,91.69,90.98,91.43,4949100,91.29,91.38,0.4572,100.0
3,5/17/2012,91.28,91.58,89.5,89.62,9094100,90.26,89.92,-2.1588,66.6666666667
4,5/18/2012,90.21,91.11,89.69,89.85,7990700,90.36,90.23,-2.2461,75.0
5,5/21/2012,90.01,91.32,89.89,91.27,6622500,90.76,91.01,0.1008,80.0
6,5/22/2012,91.96,91.96,91.0,91.34,5063400,90.77,90.9,3.2319,83.3333333333
7,5/23/2012,90.97,91.57,90.67,91.48,4236500,90.77,90.76,1.9474,85.7142857143
8,5/24/2012,91.86,92.11,90.83,91.53,5010000,90.86,90.75,3.8642,87.5
9,5/25/2012,91.65,91.8,90.81,91.05,3681300,90.93,90.73,1.6228,77.7777777778
10,5/29/2012,91.41,91.73,90.26,90.9,5380300,90.88,90.6,-0.5782,70.0
11,5/30/2012,90.4,90.52,89.85,90.11,5375600,91.06,90.96,-7.2971,63.6363636364
12,5/31/2012,89.89,90.26,89.26,89.34,6816400,91.1,91.27,-11.745,58.3333333333
13,6/1/2012,87.47,88.13,86.5,86.71,10832500,90.82,91.16,-30.6665,53.8461538462
14,6/4/2012,86.6,86.78,86.01,86.32,7035200,90.16,90.86,-35.8921,46.1538461538
15,6/5/2012,86.22,87.41,86.01,87.08,7237300,89.42,90.35,-32.2454,46.1538461538
16,6/6/2012,87.92,88.66,87.44,88.66,5936000,88.79,89.66,-18.9961,53.8461538462
17,6/7/2012,89.6,89.78,88.01,88.38,8321500,88.45,89.01,-13.9664,46.1538461538
18,6/8/2012,86.4,88.27,85.92,87.75,12060100,88.09,88.31,-30.0069,38.4615384615
19,6/11/2012,88.98,89.05,86.59,86.59,9511900,87.75,87.72,-28.8262,30.7692307692
20,6/12/2012,87.0,87.59,86.67,87.51,7762000,87.36,87.22,-27.4237,30.7692307692
21,6/13/2012,86.95,88.94,86.88,87.97,8838500,87.47,87.41,-16.3878,30.7692307692
22,6/14/2012,88.49,89.92,88.12,89.72,7646300,87.71,87.76,0.6993,38.4615384615
23,6/15/2012,90.14,90.76,89.73,90.5,9516800,88.08,88.01,13.0311,46.1538461538
24,6/18/2012,90.6,90.62,89.92,90.24,6343400,88.35,87.93,12.2646,46.1538461538
25,6/19/2012,89.97,90.25,89.21,89.6,7601600,88.61,87.99,6.2838,46.1538461538
26,6/20/2012,89.59,89.67,88.16,88.65,7917500,88.88,88.27,-2.0762,46.1538461538
27,6/21/2012,89.09,89.15,87.53,87.64,5762200,89.17,88.91,-8.3579,46.1538461538
28,6/22/2012,88.19,88.59,87.98,88.35,5325400,89.19,89.33,-4.2341,46.1538461538
29,6/25/2012,88.0,88.33,87.7,88.12,4524400,89.24,89.65,-5.099,38.4615384615
30,6/26/2012,88.57,89.43,88.55,89.1,4488500,89.01,89.47,6.0298,46.1538461538
31,6/27/2012,89.26,89.5,88.04,88.33,5940300,88.81,89.05,2.6493,46.1538461538
32,6/28/2012,88.02,88.26,87.38,88.18,4922600,88.54,88.63,-3.4642,46.1538461538
33,6/29/2012,89.08,89.19,88.06,88.53,6364700,88.34,88.31,2.4519,46.1538461538
34,7/2/2012,88.41,88.41,87.65,88.08,5088100,88.32,88.23,-4.0714,38.4615384615
35,7/3/2012,88.21,88.73,87.95,88.58,4597000,88.38,88.42,-0.9938,38.4615384615
36,7/5/2012,88.79,89.98,88.7,89.3,5794300,88.42,88.43,7.9294,38.4615384615
37,7/6/2012,89.22,89.93,89.11,89.66,4533200,88.59,88.55,10.0647,46.1538461538
38,7/9/2012,89.64,89.95,89.33,89.8,3785000,88.67,88.44,10.317,53.8461538462
39,7/10/2012,90.03,90.87,89.65,90.25,6615500,88.88,88.58,15.1075,61.5384615385
40,7/11/2012,90.68,90.81,89.0,89.53,6230300,89.17,88.83,8.7215,61.5384615385
41,7/12/2012,89.27,92.5,89.19,91.93,11741900,89.31,89.02,23.2022,61.5384615385
42,7/13/2012,92.27,92.69,92.07,92.29,6163500,89.86,89.47,35.0472,69.2307692308
43,7/16/2012,92.15,92.27,91.5,91.65,3601300,90.39,89.92,28.3839,61.5384615385
44,7/17/2012,91.99,92.35,91.21,91.89,3753800,90.73,90.28,27.9762,69.2307692308
45,7/18/2012,91.44,92.23,91.0,92.22,5962700,91.05,90.63,27.2384,76.9230769231
46,7/19/2012,92.59,93.32,92.05,92.76,7430800,91.39,91.02,36.7332,76.9230769231
47,7/20/2012,92.09,92.29,91.4,91.58,7269800,91.75,91.4,23.5552,76.9230769231
48,7/23/2012,89.22,89.85,88.25,88.94,12127900,92.05,92.03,-13.1928,69.2307692308
49,7/24/2012,89.16,89.47,87.62,88.06,7036800,91.62,91.95,-22.1444,61.5384615385
50,7/25/2012,88.36,88.46,87.84,88.04,4262200,91.01,91.63,-25.1118,53.8461538462
51,7/26/2012,89.19,89.47,88.59,89.0,4517500,90.5,91.34,-12.9537,53.8461538462
52,7/27/2012,89.34,89.69,88.65,89.19,5932500,90.09,90.89,-11.8507,53.8461538462
53,7/30/2012,89.32,89.67,89.12,89.33,4431600,89.65,90.25,-9.7451,61.5384615385
54,7/31/2012,89.11,89.76,88.81,89.36,4596900,89.16,89.35,-11.6448,61.5384615385
55,8/1/2012,89.49,89.85,89.3,89.43,4133600,88.85,88.67,-9.534,61.5384615385
56,8/2/2012,89.07,89.69,88.56,89.59,4332700,88.92,88.66,-12.9905,69.2307692308
57,8/3/2012,90.17,90.36,89.29,89.59,4873000,89.13,88.93,-6.447,66.6666666667
58,8/6/2012,89.77,90.43,89.5,89.69,3490200,89.36,89.26,-4.7575,66.6666666667
59,8/7/2012,89.71,90.12,88.97,89.01,5341900,89.45,89.37,-11.2041,58.3333333333
60,8/8/2012,86.87,87.98,86.15,87.53,14424800,89.43,89.43,-39.3013,58.3333333333
61,8/9/2012,87.58,87.96,87.09,87.15,6023500,89.17,89.39,-32.7744,58.3333333333
62,8/10/2012,87.25,88.23,87.2,88.2,5747400,88.86,89.27,-22.311,66.6666666667
63,8/13/2012,88.46,88.48,87.72,87.9,4308100,88.68,89.08,-17.2166,66.6666666667
64,8/14/2012,88.07,88.28,87.92,88.12,3828200,88.44,88.79,-13.6914,66.6666666667
