id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,30.82,31.04,30.64,30.68,40528900,30.68,30.68,-0.0338,0.0
1,5/15/2012,30.64,30.8,30.15,30.21,61822800,30.28,30.23,-0.224,0.0
2,5/16/2012,30.31,30.32,29.74,29.9,60083700,30.06,29.97,-0.578,0.0
3,5/17/2012,29.99,30.21,29.71,29.72,48484000,29.95,29.86,-0.7212,0.0
4,5/18/2012,29.79,29.81,29.17,29.27,56205300,29.76,29.63,-1.4881,0.0
5,5/21/2012,29.1,29.79,29.06,29.75,38787900,29.9,29.98,-1.2739,20.0
6,5/22/2012,29.69,29.88,29.5,29.76,39504900,29.9,30.02,-0.7647,33.3333333333
7,5/23/2012,29.35,29.4,28.64,29.11,65171000,29.9,30.05,-2.7585,28.5714285714
8,5/24/2012,29.16,29.3,28.76,29.07,52575000,29.67,29.8,-2.8143,25.0
9,5/25/2012,29.2,29.36,29.01,29.06,29507200,29.51,29.63,-2.4114,22.2222222222
10,5/29/2012,29.38,29.72,29.22,29.56,37758800,29.39,29.5,-0.8596,30.0
11,5/30/2012,29.35,29.48,29.12,29.34,41585500,29.37,29.41,-1.7584,27.2727272727
12,5/31/2012,29.3,29.42,28.94,29.19,39134000,29.38,29.44,-2.5114,25.0
13,6/1/2012,28.76,28.96,28.44,28.45,56634300,29.3,29.33,-5.6554,23.0769230769
14,6/4/2012,28.62,28.78,28.32,28.55,47926300,29.11,29.16,-6.0267,30.7692307692
15,6/5/2012,28.51,28.75,28.39,28.51,45715400,29.03,29.14,-6.0267,30.7692307692
16,6/6/2012,28.88,29.37,28.81,29.35,46860500,28.95,29.11,-1.6997,38.4615384615
17,6/7/2012,29.64,29.7,29.17,29.23,37792800,28.99,29.1,-0.2793,38.4615384615
18,6/8/2012,29.21,29.68,29.05,29.65,42551100,28.95,28.94,0.5028,38.4615384615
19,6/11/2012,29.73,29.81,28.82,28.9,46361900,28.99,28.86,-1.8716,30.7692307692
20,6/12/2012,29.1,29.3,28.84,29.29,35337900,28.95,28.8,-1.4658,38.4615384615
21,6/13/2012,29.22,29.44,29.05,29.13,32984600,29.07,28.95,-0.3564,38.4615384615
22,6/14/2012,29.33,29.46,28.88,29.34,39458900,29.15,29.1,0.1364,46.1538461538
23,6/15/2012,29.59,30.08,29.49,30.02,62314400,29.27,29.29,5.5724,46.1538461538
24,6/18/2012,29.99,30.03,29.71,29.84,58679900,29.37,29.29,5.3953,46.1538461538
25,6/19/2012,30.19,31.11,30.05,30.7,75725800,29.45,29.35,11.4728,53.8461538462
26,6/20/2012,30.93,31.05,30.64,30.93,36257100,29.6,29.34,13.2203,61.5384615385
27,6/21/2012,30.96,31.14,30.06,30.14,48456600,29.89,29.59,9.061,53.8461538462
28,6/22/2012,30.3,30.73,30.03,30.7,45098100,30.01,29.77,8.8156,61.5384615385
29,6/25/2012,30.3,30.32,29.62,29.87,42217200,30.24,30.05,3.6257,53.8461538462
30,6/26/2012,30.0,30.27,29.94,30.02,38421300,30.31,30.29,4.6573,61.5384615385
31,6/27/2012,30.19,30.5,30.03,30.17,33781700,30.31,30.36,5.6803,61.5384615385
