id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,107.65,108.46,106.94,107.47,2818200,107.47,107.47,0.0094,0.0
1,5/15/2012,107.31,109.01,107.01,107.22,3563800,107.26,107.23,0.0187,0.0
2,5/16/2012,107.74,108.92,106.22,107.0,4982600,107.1,107.04,-0.0852,0.0
3,5/17/2012,106.78,107.0,104.27,104.34,4722200,105.58,104.98,-1.1608,0.0
4,5/18/2012,105.4,107.78,105.08,105.44,7922400,106.05,105.99,-0.5669,25.0
5,5/21/2012,105.31,107.36,105.31,107.23,4517200,106.56,106.98,-0.1369,40.0
6,5/22/2012,107.24,109.15,107.2,108.45,5107000,106.74,107.11,1.3043,50.0
7,5/23/2012,107.77,109.0,106.18,107.52,4256600,106.74,106.69,0.5885,42.8571428571
8,5/24/2012,107.67,108.64,106.78,107.48,4314800,106.74,106.5,0.692,37.5
9,5/25/2012,107.92,109.19,107.62,108.79,3343800,106.78,106.39,1.8486,44.4444444444
10,5/29/2012,109.51,110.92,109.14,110.92,4367400,107.04,106.4,4.3238,50.0
11,5/30/2012,109.58,110.33,108.23,108.61,5178600,107.98,107.31,2.4118,45.4545454545
12,5/31/2012,108.5,108.85,106.66,108.18,5398400,108.43,108.06,0.3826,41.6666666667
13,6/1/2012,106.29,106.55,104.18,104.6,4688200,108.56,108.39,-5.1455,38.4615384615
14,6/4/2012,104.55,105.12,103.14,104.7,5101000,108.01,108.28,-6.8948,46.1538461538
15,6/5/2012,104.3,105.76,104.0,105.51,4591600,107.61,108.31,-5.0694,53.8461538462
16,6/6/2012,106.09,107.1,105.73,107.07,3897000,107.33,108.27,-1.259,61.5384615385
17,6/7/2012,107.94,108.39,106.25,107.36,3539800,107.08,107.84,0.5268,61.5384615385
18,6/8/2012,107.38,108.77,106.31,108.64,3627200,106.58,106.76,2.0852,61.5384615385
19,6/11/2012,109.12,109.91,107.4,107.46,3128800,106.58,106.25,3.0895,53.8461538462
20,6/12/2012,107.59,108.66,106.74,107.6,5079800,106.48,105.82,1.3087,61.5384615385
21,6/13/2012,107.21,107.53,101.28,102.22,11385200,106.91,106.4,-10.1259,61.5384615385
22,6/14/2012,103.46,103.46,99.36,100.02,12026200,106.55,106.86,-17.5272,53.8461538462
23,6/15/2012,100.25,102.0,99.56,101.75,8415400,105.77,106.93,-16.5967,53.8461538462
24,6/18/2012,101.53,101.73,100.13,101.4,6328400,105.01,106.41,-16.047,53.8461538462
25,6/19/2012,101.44,102.65,101.33,101.54,4319200,104.16,105.61,-13.1343,61.5384615385
26,6/20/2012,102.56,102.72,100.63,101.2,6419800,103.14,104.24,-13.2872,61.5384615385
27,6/21/2012,101.26,102.46,98.53,98.66,8027200,102.25,102.93,-17.5558,53.8461538462
28,6/22/2012,98.91,99.52,98.28,99.4,7678600,100.97,101.27,-19.1724,53.8461538462
29,6/25/2012,98.38,98.74,96.7,97.46,5936600,100.57,100.86,-22.6377,46.1538461538
30,6/26/2012,97.76,98.86,97.3,98.45,4790000,100.2,100.91,-19.2716,46.1538461538
31,6/27/2012,98.93,99.61,97.5,98.11,5611200,99.73,100.4,-17.1891,38.4615384615
32,6/28/2012,97.54,98.48,95.84,96.89,11958400,99.26,99.87,-20.5803,38.4615384615
33,6/29/2012,87.84,90.5,85.1,87.78,43169800,98.6,99.13,-52.8542,30.7692307692
34,7/2/2012,88.39,89.49,88.03,88.85,11750800,96.68,98.0,-48.4195,38.4615384615
35,7/3/2012,89.37,90.6,88.25,90.48,7499200,95.28,97.15,-43.5795,46.1538461538
36,7/5/2012,90.7,92.7,90.55,92.2,11128600,94.0,95.81,-33.76,46.1538461538
37,7/6/2012,91.61,92.23,90.77,91.38,8098200,93.25,94.75,-33.5699,46.1538461538
38,7/9/2012,91.21,91.7,90.0,90.28,6955000,92.24,93.2,-35.2905,38.4615384615
39,7/10/2012,90.6,92.0,90.6,91.29,7264600,91.12,91.45,-29.9183,46.1538461538
40,7/11/2012,91.67,92.4,90.5,92.26,8694800,90.32,89.81,-25.1218,53.8461538462
41,7/12/2012,91.92,92.24,90.21,91.82,7482400,90.96,90.61,-24.5817,46.1538461538
42,7/13/2012,92.26,94.29,92.04,93.97,5698200,91.39,91.24,-10.9127,53.8461538462
43,7/16/2012,93.81,93.89,92.89,93.02,5842400,91.89,91.59,-9.89,46.1538461538
44,7/17/2012,92.48,93.43,91.91,92.76,5330000,92.0,91.54,-11.2666,46.1538461538
45,7/18/2012,92.49,94.94,91.98,94.63,5482000,92.2,91.75,-0.9948,53.8461538462
46,7/19/2012,95.2,95.98,94.11,95.26,5430600,92.82,92.39,10.555,61.5384615385
47,7/20/2012,94.71,95.0,93.05,93.08,5987600,93.39,92.91,2.6262,53.8461538462
48,7/23/2012,92.05,93.26,91.34,92.85,4309600,93.51,93.22,-4.2188,46.1538461538
49,7/24/2012,93.26,93.93,92.41,92.96,4152600,93.65,93.68,2.3372,46.1538461538
50,7/25/2012,93.54,94.25,93.1,93.51,4122400,93.51,93.56,8.5544,53.8461538462
51,7/26/2012,94.49,96.89,94.29,96.58,7382800,93.58,93.7,29.2377,61.5384615385
52,7/27/2012,96.82,97.45,95.64,97.03,5209800,94.12,94.04,36.2814,61.5384615385
53,7/30/2012,96.93,97.75,95.49,95.85,4556400,94.47,94.0,28.1195,53.8461538462
54,7/31/2012,95.04,95.58,93.25,93.35,6535000,94.55,93.83,7.2348,53.8461538462
