id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,26.73,27.31,26.66,26.96,22485200,26.96,26.96,-0.023,0.0
1,5/15/2012,27.02,27.53,26.94,27.06,26392900,27.05,27.06,0.047,100.0
2,5/16/2012,27.16,27.41,26.68,26.72,29672800,26.8,26.75,-0.0919,50.0
3,5/17/2012,26.7,26.72,26.25,26.25,29440600,26.53,26.4,-0.6811,33.3333333333
4,5/18/2012,26.29,26.29,25.33,25.61,68182500,26.26,26.06,-1.4822,25.0
5,5/21/2012,25.54,26.46,25.53,26.26,30712700,26.45,26.52,-0.9407,40.0
6,5/22/2012,26.33,26.49,26.07,26.36,22122800,26.46,26.6,-0.4772,50.0
7,5/23/2012,26.12,26.85,26.04,26.68,33179600,26.46,26.62,0.022,57.1428571429
8,5/24/2012,26.62,26.65,25.9,26.12,34232000,26.42,26.49,-0.8219,50.0
9,5/25/2012,26.18,26.33,26.04,26.14,18642900,26.29,26.29,-0.9704,55.5555555556
10,5/29/2012,26.41,26.78,26.16,26.46,24139900,26.2,26.16,0.0437,60.0
11,5/30/2012,26.19,26.34,25.98,26.17,21538300,26.23,26.16,-1.0793,54.5454545455
12,5/31/2012,26.22,26.72,26.17,26.47,32192300,26.31,26.33,0.0873,58.3333333333
13,6/1/2012,25.98,26.28,25.9,26.0,30739700,26.34,26.36,-1.6821,53.8461538462
14,6/4/2012,26.04,26.34,25.84,26.2,28945200,26.29,26.34,-1.3168,53.8461538462
15,6/5/2012,26.07,26.94,26.07,26.71,28412000,26.22,26.22,0.9373,61.5384615385
16,6/6/2012,26.99,27.57,26.88,27.53,27639000,26.31,26.27,5.1394,69.2307692308
17,6/7/2012,27.75,27.76,27.18,27.18,32896100,26.51,26.36,5.4482,69.2307692308
18,6/8/2012,27.04,27.27,26.8,27.16,22343200,26.61,26.4,3.5478,61.5384615385
19,6/11/2012,27.38,27.42,26.77,26.81,20470800,26.75,26.54,3.0409,53.8461538462
20,6/12/2012,27.0,27.15,26.73,27.03,26186900,26.8,26.63,2.8426,53.8461538462
21,6/13/2012,26.88,27.38,26.79,27.02,19638800,26.95,26.86,3.5222,53.8461538462
22,6/14/2012,27.09,27.35,26.51,26.91,34311700,27.06,27.08,2.5976,46.1538461538
23,6/15/2012,27.11,27.76,26.99,27.7,40136400,27.09,27.17,6.116,46.1538461538
24,6/18/2012,27.43,27.43,26.69,27.12,38322000,27.12,27.07,2.874,46.1538461538
25,6/19/2012,28.39,28.75,27.53,27.96,81048700,27.11,27.05,9.2699,46.1538461538
26,6/20/2012,28.04,28.58,27.94,28.49,29281700,27.22,27.07,10.4273,53.8461538462
27,6/21/2012,28.49,28.64,27.75,27.81,32721900,27.46,27.23,8.0583,46.1538461538
28,6/22/2012,27.91,28.14,27.79,28.0,22163000,27.57,27.37,6.8272,46.1538461538
29,6/25/2012,27.54,27.75,27.24,27.62,24918800,27.71,27.54,3.1897,38.4615384615
30,6/26/2012,27.63,27.95,27.52,27.83,20614200,27.81,27.77,4.4048,46.1538461538
31,6/27/2012,27.76,28.46,27.76,28.17,19388200,27.83,27.8,6.4507,53.8461538462
32,6/28/2012,28.03,28.26,27.73,28.17,27175800,27.98,28.01,5.3202,58.3333333333
33,6/29/2012,28.81,29.71,28.79,29.7,35545300,28.01,28.03,14.3407,58.3333333333
34,7/2/2012,29.53,29.8,29.15,29.8,24445300,28.19,27.95,14.7089,66.6666666667
35,7/3/2012,29.63,29.98,29.61,29.97,14468000,28.47,28.12,15.8004,75.0
36,7/5/2012,29.83,29.93,29.71,29.72,19244600,28.75,28.3,14.536,66.6666666667
37,7/6/2012,29.37,29.48,28.94,29.18,25259400,29.05,28.66,9.2092,66.6666666667
