id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,54.91,55.54,54.83,54.92,4174600,54.92,54.92,-0.0193,0.0
1,5/15/2012,54.85,55.49,54.85,55.08,4383900,55.06,55.07,0.0,100.0
2,5/16/2012,55.86,56.45,55.13,55.32,9027300,55.23,55.28,0.323,100.0
3,5/17/2012,55.27,55.51,54.68,54.81,6045500,54.94,54.86,-0.2889,66.6666666667
4,5/18/2012,55.07,56.0,54.91,55.46,7144300,55.22,55.31,0.2783,75.0
5,5/21/2012,55.43,55.9,54.93,55.83,4779400,55.32,55.42,0.4401,80.0
6,5/22/2012,55.89,56.9,55.81,56.67,5777400,55.44,55.5,2.2882,83.3333333333
7,5/23/2012,56.24,56.89,55.94,56.78,3956300,55.44,55.2,2.4694,85.7142857143
8,5/24/2012,56.86,57.39,56.65,57.25,4460600,55.71,55.39,4.1288,87.5
9,5/25/2012,57.43,57.71,57.17,57.62,4293900,56.02,55.63,5.517,88.8888888889
10,5/29/2012,57.9,58.17,57.39,58.13,4792600,56.35,55.88,7.0425,90.0
11,5/30/2012,57.8,57.84,57.0,57.79,7232100,56.82,56.39,5.5619,81.8181818182
12,5/31/2012,58.2,58.46,57.84,57.91,6856500,57.15,56.81,7.9294,83.3333333333
13,6/1/2012,57.22,57.47,56.85,57.2,4809900,57.45,57.21,3.6372,76.9230769231
14,6/4/2012,57.26,57.8,56.99,57.57,6150600,57.53,57.43,5.0164,76.9230769231
15,6/5/2012,56.93,57.51,56.93,57.32,3994100,57.64,57.64,3.984,69.2307692308
16,6/6/2012,57.61,57.8,57.26,57.5,6650600,57.65,57.74,5.4663,76.9230769231
17,6/7/2012,58.0,58.0,57.27,57.32,5565600,57.63,57.74,5.5338,69.2307692308
18,6/8/2012,57.24,59.25,57.24,59.2,6426500,57.52,57.59,12.2317,69.2307692308
19,6/11/2012,59.36,59.4,58.6,58.7,5272900,57.72,57.57,14.5153,61.5384615385
20,6/12/2012,58.7,58.9,57.92,58.16,5557700,57.83,57.55,9.4624,53.8461538462
21,6/13/2012,58.21,58.65,57.81,58.05,4732900,57.97,57.74,7.3301,46.1538461538
22,6/14/2012,58.22,58.92,58.14,58.55,4283300,58.04,57.86,9.1236,46.1538461538
23,6/15/2012,58.92,59.0,58.23,58.5,6014700,58.21,58.08,8.219,38.4615384615
24,6/18/2012,58.3,58.8,57.71,58.47,3834200,58.35,58.3,5.3212,38.4615384615
25,6/19/2012,58.59,58.73,58.14,58.7,4519300,58.52,58.6,5.764,38.4615384615
26,6/20/2012,58.73,58.87,58.09,58.5,3988400,58.45,58.41,4.7153,38.4615384615
27,6/21/2012,58.62,58.68,57.33,57.4,5399200,58.42,58.34,-1.2892,30.7692307692
28,6/22/2012,57.6,57.83,57.48,57.56,5363300,58.31,58.38,-3.0049,38.4615384615
29,6/25/2012,57.24,57.5,56.88,57.23,3674100,58.24,58.42,-6.2688,30.7692307692
