id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,33.01,33.12,32.78,32.85,5845600,32.85,32.85,-0.0085,0.0
1,5/15/2012,32.76,33.21,32.75,32.88,4991900,32.88,32.88,-0.0085,100.0
2,5/16/2012,32.91,33.23,32.69,32.78,7097300,32.8,32.79,0.0,50.0
3,5/17/2012,32.66,32.75,31.87,31.87,7747100,32.28,32.08,-0.2917,33.3333333333
4,5/18/2012,32.0,32.07,31.2,31.31,8852100,32.04,31.82,-0.6218,25.0
5,5/21/2012,31.27,31.51,31.05,31.35,6983100,32.06,32.03,-0.7727,40.0
6,5/22/2012,31.41,31.51,31.14,31.25,5909400,32.04,32.18,-0.7561,33.3333333333
7,5/23/2012,31.19,31.29,30.92,31.29,5300000,32.04,32.37,-0.8836,42.8571428571
8,5/24/2012,31.35,31.49,30.95,31.26,5119100,31.82,32.12,-0.82,37.5
9,5/25/2012,31.31,31.56,31.2,31.36,3155300,31.59,31.79,-0.6511,44.4444444444
10,5/29/2012,31.51,31.64,31.31,31.6,4359600,31.38,31.44,-0.4733,50.0
11,5/30/2012,31.44,31.48,30.78,30.93,6341100,31.35,31.31,-1.1102,45.4545454545
12,5/31/2012,30.83,30.87,30.34,30.52,7496200,31.29,31.31,-1.8436,41.6666666667
13,6/1/2012,30.52,30.64,29.8,29.93,8062200,31.17,31.26,-2.5873,38.4615384615
14,6/4/2012,30.4,30.52,29.94,30.51,8056900,30.98,31.2,-2.2309,38.4615384615
15,6/5/2012,30.29,30.63,30.03,30.58,6901800,30.87,31.09,-2.0638,46.1538461538
16,6/6/2012,30.57,30.96,30.37,30.96,5502800,30.78,30.97,-1.3435,53.8461538462
17,6/7/2012,31.1,31.24,30.88,30.98,7686600,30.72,30.81,-0.7651,61.5384615385
18,6/8/2012,30.88,31.25,30.78,31.16,4659600,30.63,30.57,-0.6926,61.5384615385
19,6/11/2012,31.3,31.42,31.02,31.22,5523800,30.66,30.5,-0.3141,69.2307692308
20,6/12/2012,31.34,31.41,30.91,31.25,5049500,30.76,30.56,-0.1686,69.2307692308
21,6/13/2012,31.24,31.24,30.78,30.88,4361500,30.95,30.82,-0.4881,69.2307692308
22,6/14/2012,30.95,31.8,30.85,31.67,5850400,31.0,30.94,0.885,69.2307692308
