id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,82.27,82.46,81.96,82.12,12675900,82.12,82.12,-0.0,0.0
1,5/15/2012,82.0,82.73,81.53,81.79,15757400,81.84,81.8,-0.1052,0.0
2,5/16/2012,81.96,83.15,81.79,82.17,15034500,82.11,82.15,0.2458,50.0
3,5/17/2012,82.15,82.61,81.68,81.91,17698200,81.96,81.93,-0.1855,33.3333333333
4,5/18/2012,82.37,82.72,81.03,81.47,21747200,81.77,81.66,-0.6939,25.0
5,5/21/2012,81.42,82.13,81.07,82.04,13730400,81.93,82.0,-0.6425,40.0
6,5/22/2012,82.14,82.84,81.52,81.95,13790000,81.92,81.95,0.1853,33.3333333333
7,5/23/2012,81.79,82.08,79.96,82.04,17582200,81.92,81.95,-1.8797,42.8571428571
8,5/24/2012,82.29,82.78,81.71,82.61,14113600,81.91,81.89,1.4213,50.0
9,5/25/2012,82.86,82.96,81.68,82.08,12756500,82.03,81.95,0.9573,44.4444444444
10,5/29/2012,82.64,82.64,81.32,81.93,15931100,82.01,81.91,-0.2095,40.0
11,5/30/2012,81.08,81.38,79.59,79.79,19593100,82.02,81.94,-7.3619,36.3636363636
12,5/31/2012,79.88,80.14,78.41,78.63,38954600,81.78,82.02,-12.2324,33.3333333333
13,6/1/2012,77.87,78.56,77.47,77.92,22870900,81.29,81.83,-16.7337,30.7692307692
14,6/4/2012,78.09,78.25,77.2,77.83,17711200,80.71,81.52,-17.7176,30.7692307692
15,6/5/2012,77.59,78.29,77.13,77.6,17715600,80.11,81.04,-18.2082,23.0769230769
16,6/6/2012,78.37,80.24,78.08,80.18,23880900,79.4,80.24,-8.1829,30.7692307692
17,6/7/2012,80.98,81.23,80.35,80.69,18409400,79.13,79.5,-0.5765,38.4615384615
18,6/8/2012,80.08,80.92,79.46,80.84,18150000,78.95,78.75,-2.8536,38.4615384615
19,6/11/2012,81.62,81.85,80.17,80.27,18031800,79.1,78.58,-0.3912,38.4615384615
20,6/12/2012,80.74,81.51,80.62,81.26,14162100,79.33,78.76,2.6704,38.4615384615
21,6/13/2012,80.94,81.64,80.28,80.63,15098100,79.81,79.23,1.0229,30.7692307692
22,6/14/2012,80.86,82.5,80.73,82.13,16942300,80.21,79.82,7.891,38.4615384615
23,6/15/2012,82.57,83.45,82.22,83.22,27342800,80.86,80.64,15.9526,46.1538461538
24,6/18/2012,82.51,83.18,82.35,83.11,13885100,81.29,80.92,15.024,46.1538461538
25,6/19/2012,83.73,84.63,83.31,84.48,21053300,81.64,81.15,23.3246,53.8461538462
26,6/20/2012,84.4,85.39,84.06,84.97,23274300,82.16,81.48,27.4826,61.5384615385
27,6/21/2012,85.04,85.37,82.05,82.11,33751900,82.83,82.12,15.2585,61.5384615385
28,6/22/2012,82.68,83.22,82.11,82.11,84747800,82.95,82.54,10.0533,66.6666666667
29,6/25/2012,81.22,81.43,79.78,81.24,28761600,83.16,83.18,-1.7954,58.3333333333
30,6/26/2012,81.51,82.97,81.21,82.4,22853700,83.03,83.4,8.3335,58.3333333333
31,6/27/2012,82.81,83.66,82.71,83.2,15301400,82.92,83.33,14.8045,58.3333333333
32,6/28/2012,82.66,83.46,82.02,83.1,19140300,82.93,83.28,11.1518,58.3333333333
33,6/29/2012,84.78,85.7,84.46,85.57,24906300,82.73,82.85,27.4073,58.3333333333
34,7/2/2012,85.44,85.47,84.54,85.34,14447800,82.82,82.31,24.6114,58.3333333333
35,7/3/2012,85.69,86.28,85.62,86.28,9787700,83.28,82.6,30.346,58.3333333333
36,7/5/2012,85.33,86.04,85.15,85.57,10797100,83.88,83.04,24.6388,50.0
37,7/6/2012,84.26,85.04,84.2,84.8,13259400,84.49,83.85,15.1868,50.0
38,7/9/2012,84.52,84.55,83.02,83.65,22361600,84.84,84.46,4.9474,41.6666666667
39,7/10/2012,84.08,84.39,82.83,83.11,14106100,84.9,84.89,0.8731,33.3333333333
40,7/11/2012,83.48,84.68,83.24,84.38,18337600,84.9,85.34,5.9944,41.6666666667
