id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,33.42,33.56,33.05,33.53,30006400,33.53,33.53,0.0,0.0
1,5/15/2012,33.31,33.6,33.25,33.35,28024400,33.38,33.36,0.0,0.0
2,5/16/2012,33.47,33.55,33.17,33.19,22541800,33.26,33.22,-0.2864,0.0
3,5/17/2012,33.17,33.52,33.11,33.29,23399200,33.32,33.32,-0.5765,33.3333333333
4,5/18/2012,33.41,33.81,33.4,33.66,38876800,33.48,33.56,2.752,50.0
5,5/21/2012,33.71,33.94,33.56,33.63,24667800,33.47,33.5,4.3291,40.0
6,5/22/2012,33.56,33.81,33.44,33.54,28027300,33.46,33.44,2.3713,33.3333333333
7,5/23/2012,33.34,33.65,33.08,33.36,25725200,33.46,33.42,-1.672,28.5714285714
8,5/24/2012,33.38,33.7,33.36,33.64,24082600,33.43,33.39,2.3183,37.5
9,5/25/2012,33.66,33.85,33.52,33.69,22284100,33.47,33.42,5.0665,44.4444444444
10,5/29/2012,33.89,33.98,33.7,33.94,22911100,33.54,33.51,11.3724,50.0
11,5/30/2012,33.72,34.11,33.7,33.84,30160800,33.64,33.6,11.4686,45.4545454545
12,5/31/2012,33.82,34.41,33.79,34.17,32259000,33.66,33.6,21.5715,50.0
13,6/1/2012,34.1,34.21,33.78,33.9,29091800,33.74,33.63,14.2054,46.1538461538
14,6/4/2012,33.91,34.27,33.85,34.15,26700400,33.79,33.69,20.3842,53.8461538462
15,6/5/2012,34.09,34.26,33.95,34.06,24424900,33.9,33.83,20.3842,53.8461538462
16,6/6/2012,34.19,34.56,34.05,34.56,27729800,33.96,33.91,37.0379,53.8461538462
17,6/7/2012,34.72,34.74,34.16,34.16,42417600,34.09,34.01,35.034,46.1538461538
18,6/8/2012,34.13,34.66,34.11,34.55,27959400,34.12,34.05,40.1767,53.8461538462
19,6/11/2012,34.72,35.0,34.56,34.59,26192000,34.22,34.15,57.5448,61.5384615385
20,6/12/2012,34.63,34.99,34.42,34.98,27812900,34.28,34.18,62.2776,69.2307692308
21,6/13/2012,34.94,35.06,34.72,34.98,26546000,34.44,34.31,70.8624,66.6666666667
22,6/14/2012,34.92,35.92,34.88,35.69,31612200,34.55,34.41,117.525,66.6666666667
23,6/15/2012,35.93,36.0,35.61,35.71,41585800,34.79,34.59,150.821,66.6666666667
24,6/18/2012,35.66,35.98,35.6,35.63,22627200,34.95,34.69,161.9531,66.6666666667
25,6/19/2012,35.78,35.8,35.19,35.47,26838900,35.16,34.94,149.6314,58.3333333333
26,6/20/2012,35.38,35.63,35.2,35.41,23353100,35.29,35.13,158.1086,58.3333333333
27,6/21/2012,35.44,35.65,34.98,35.03,28404000,35.41,35.33,148.415,50.0
28,6/22/2012,35.21,35.33,34.99,35.17,87136400,35.42,35.44,166.1379,58.3333333333
29,6/25/2012,34.96,35.05,34.77,34.95,87787000,35.44,35.56,97.6622,50.0
30,6/26/2012,34.93,35.12,34.85,34.98,20488400,35.34,35.47,179.0766,58.3333333333
31,6/27/2012,35.05,35.28,35.02,35.19,16185100,35.23,35.35,1744.499,58.3333333333
32,6/28/2012,35.03,35.4,34.95,35.39,21426600,35.17,35.24,607.7737,58.3333333333
33,6/29/2012,35.7,35.73,35.44,35.66,30458800,35.16,35.16,394.9672,58.3333333333
34,7/2/2012,35.7,36.2,35.64,36.2,24801600,35.2,35.1,341.5606,61.5384615385
35,7/3/2012,36.21,36.21,35.79,36.0,15479800,35.36,35.19,196.7416,53.8461538462
36,7/5/2012,35.96,35.97,35.53,35.77,22817200,35.48,35.27,95.4039,46.1538461538
37,7/6/2012,35.04,35.5,34.9,35.44,22049600,35.6,35.43,-4.464,46.1538461538
38,7/9/2012,35.38,35.54,35.23,35.54,17414000,35.66,35.6,11.8391,53.8461538462
39,7/10/2012,35.7,35.73,35.39,35.44,21606900,35.71,35.73,16.4133,53.8461538462
40,7/11/2012,35.42,35.48,35.1,35.26,20684700,35.72,35.81,-17.6048,53.8461538462
41,7/12/2012,35.04,35.1,34.65,34.87,24143600,35.66,35.81,-65.3788,46.1538461538
42,7/13/2012,34.93,35.35,34.85,35.35,19190100,35.47,35.63,-27.5737,53.8461538462
43,7/16/2012,35.22,35.56,35.19,35.42,17691300,35.38,35.48,1.2869,53.8461538462
44,7/17/2012,35.34,35.9,35.25,35.82,21328400,35.33,35.37,37.6184,53.8461538462
45,7/18/2012,35.74,36.19,35.63,36.19,25449900,35.39,35.35,83.1104,53.8461538462
46,7/19/2012,35.85,35.87,35.2,35.48,30349500,35.48,35.34,12.9759,46.1538461538
47,7/20/2012,35.34,35.5,35.1,35.29,26677300,35.48,35.35,-14.7345,38.4615384615
48,7/23/2012,35.0,35.5,34.89,35.38,27252700,35.49,35.41,-20.3434,46.1538461538
49,7/24/2012,35.46,35.65,34.24,34.63,38629700,35.56,35.58,-69.158,46.1538461538
50,7/25/2012,34.84,35.52,34.73,35.33,31936700,35.46,35.61,-28.4493,53.8461538462
51,7/26/2012,35.84,36.43,35.83,36.3,34751200,35.45,35.61,86.1169,53.8461538462
52,7/27/2012,36.47,37.35,36.44,37.14,45572900,35.51,35.54,157.8137,61.5384615385
53,7/30/2012,37.08,37.69,37.03,37.43,24892300,35.65,35.4,174.1419,69.2307692308
54,7/31/2012,37.3,38.11,37.3,37.92,36692300,35.93,35.51,186.3363,76.9230769231
55,8/1/2012,38.14,38.28,37.64,37.64,28003600,36.3,35.77,163.0776,69.2307692308
56,8/2/2012,37.52,37.76,37.33,37.54,24657600,36.63,36.08,116.1069,61.5384615385
57,8/3/2012,37.87,38.0,37.47,37.58,24292000,37.04,36.68,104.6322,61.5384615385
58,8/6/2012,37.58,37.97,37.57,37.61,16362500,37.36,37.19,90.8737,61.5384615385
59,8/7/2012,37.72,37.8,37.41,37.44,21769500,37.55,37.5,68.2718,61.5384615385
60,8/8/2012,37.33,37.51,37.03,37.43,22446800,37.59,37.62,46.6536,61.5384615385
61,8/9/2012,37.32,37.39,37.05,37.23,21159700,37.59,37.66,33.0934,53.8461538462
62,8/10/2012,37.18,37.5,37.04,37.49,16589500,37.5,37.55,31.3318,61.5384615385
63,8/13/2012,37.41,37.51,37.32,37.39,13117500,37.47,37.51,28.2124,53.8461538462
64,8/14/2012,37.44,37.52,37.17,37.25,20275700,37.45,37.49,20.3523,46.1538461538
65,8/15/2012,37.11,37.27,36.97,37.1,21046300,37.41,37.45,10.3809,38.4615384615
66,8/16/2012,37.08,37.32,36.63,37.24,23110400,37.33,37.38,5.6979,38.4615384615
67,8/17/2012,37.1,37.27,37.07,37.17,17824500,37.3,37.34,5.639,30.7692307692
68,8/20/2012,37.03,37.04,36.81,36.89,25286800,37.27,37.3,-5.2862,30.7692307692
69,8/21/2012,36.86,36.89,36.57,36.59,24900000,37.22,37.3,-14.7323,30.7692307692
70,8/22/2012,36.54,36.73,36.45,36.56,21678700,37.09,37.2,-19.1028,23.0769230769
71,8/23/2012,36.57,36.7,36.43,36.56,20946000,36.97,37.09,-20.1438,16.6666666667
72,8/24/2012,36.46,37.04,36.45,36.95,23211700,36.87,37.0,-12.6429,25.0
73,8/27/2012,36.83,36.99,36.75,36.87,22007300,36.85,36.94,-10.3727,25.0
74,8/28/2012,36.73,37.0,36.59,36.64,20301100,36.8,36.83,-13.0214,25.0
75,8/29/2012,36.66,37.05,36.66,36.82,15925700,36.72,36.72,-8.682,25.0
76,8/30/2012,36.7,36.84,36.57,36.69,15792600,36.71,36.67,-11.9153,25.0
77,8/31/2012,36.9,36.97,36.56,36.64,20144800,36.73,36.71,-9.9532,25.0
78,9/4/2012,36.58,36.92,36.54,36.81,23824200,36.74,36.75,-7.5875,33.3333333333
79,9/5/2012,36.78,37.02,36.7,36.93,22805800,36.77,36.8,-2.4362,33.3333333333
80,9/6/2012,37.18,37.54,37.11,37.44,24345400,36.77,36.76,13.9693,41.6666666667
81,9/7/2012,37.46,37.46,36.91,37.3,20811600,36.85,36.76,9.0898,41.6666666667
82,9/10/2012,37.32,37.64,37.22,37.42,18279800,36.95,36.83,16.011,50.0
83,9/11/2012,37.44,37.8,37.44,37.62,18771700,37.03,36.89,22.2434,58.3333333333
84,9/12/2012,37.65,38.11,37.5,37.72,23510400,37.17,37.0,26.3939,61.5384615385
85,9/13/2012,37.69,38.21,37.63,38.15,26496300,37.32,37.17,31.5368,61.5384615385
86,9/14/2012,37.74,37.88,37.05,37.26,41113300,37.51,37.35,11.275,61.5384615385
87,9/17/2012,37.14,37.65,37.11,37.6,28919500,37.56,37.51,12.2891,69.2307692308
88,9/18/2012,37.52,37.74,37.23,37.66,23035700,37.58,37.54,14.2913,69.2307692308
89,9/19/2012,37.55,37.96,37.52,37.76,21093900,37.63,37.63,18.5019,76.9230769231
90,9/20/2012,37.72,38.11,37.6,37.94,23253600,37.68,37.69,20.2279,84.6153846154
91,9/21/2012,38.04,38.58,38.04,38.08,36093800,37.73,37.72,27.4518,84.6153846154
92,9/24/2012,38.3,38.49,38.22,38.25,20126200,37.78,37.73,26.742,84.6153846154
93,9/25/2012,38.34,38.57,38.04,38.06,17693700,37.79,37.64,21.6266,76.9230769231
94,9/26/2012,38.08,38.38,38.0,38.08,24688900,37.91,37.8,17.1461,84.6153846154
95,9/27/2012,38.13,38.29,37.9,37.99,28532800,37.98,37.9,12.6487,76.9230769231
96,9/28/2012,37.91,37.97,37.6,37.7,59909900,38.02,37.99,3.3035,69.2307692308
97,10/1/2012,37.63,37.97,37.6,37.75,53520100,38.01,38.05,2.4533,69.2307692308
98,10/2/2012,37.93,38.1,37.68,37.81,20509500,37.99,38.06,3.0993,69.2307692308
99,10/3/2012,37.89,38.33,37.67,38.17,21572900,37.95,38.03,6.3209,76.9230769231
100,10/4/2012,38.33,38.43,38.22,38.34,20322700,37.94,37.95,11.4942,76.9230769231
101,10/5/2012,38.2,38.29,37.75,37.86,20824800,37.98,37.93,2.1424,69.2307692308
102,10/8/2012,37.71,37.88,37.5,37.66,15015300,37.95,37.9,-4.8277,61.5384615385
103,10/9/2012,37.66,37.69,37.13,37.14,23385100,37.9,37.88,-12.9045,53.8461538462
104,10/10/2012,37.09,37.15,36.85,36.92,19894500,37.82,37.91,-20.0278,46.1538461538
105,10/11/2012,37.01,37.1,36.26,36.26,29416800,37.7,37.89,-28.9755,38.4615384615
106,10/12/2012,36.25,36.27,35.4,35.63,37074200,37.48,37.81,-45.9976,38.4615384615
107,10/15/2012,35.4,35.43,34.83,35.21,46233400,37.12,37.55,-59.7197,30.7692307692
108,10/16/2012,35.23,35.67,35.11,35.4,28296900,36.67,37.13,-53.5856,38.4615384615
109,10/17/2012,35.6,35.88,35.44,35.72,22662400,36.32,36.74,-45.5129,46.1538461538
110,10/18/2012,35.85,36.57,35.82,36.02,26911000,36.04,36.34,-32.2345,46.1538461538
111,10/19/2012,36.1,36.1,35.29,35.32,27580100,35.88,36.02,-46.6492,38.4615384615
112,10/22/2012,35.24,35.39,35.05,35.26,20800800,35.65,35.71,-55.4543,30.7692307692
113,10/23/2012,35.01,35.47,34.91,35.0,23734100,35.51,35.52,-58.0923,23.0769230769
