id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12
0,5/14/2012,54.51,54.61,53.64,53.67,11794600,53.67,53.67
1,5/15/2012,53.8,54.1,53.08,53.34,19779800,53.39,53.35
2,5/16/2012,53.59,54.05,52.84,53.02,15818000,53.16,53.08
3,5/17/2012,53.19,53.2,51.63,51.67,17960000,52.39,52.05
4,5/18/2012,52.02,53.17,51.43,51.53,22738200,52.33,52.14
5,5/21/2012,51.71,53.74,51.53,53.7,20695000,52.95,53.35
6,5/22/2012,53.81,54.4,53.07,53.37,15757000,52.9,53.08
7,5/23/2012,53.96,55.48,53.9,55.29,18498400,52.9,52.96
8,5/24/2012,55.82,56.39,53.93,54.76,20236800,53.13,52.83
9,5/25/2012,54.87,55.06,54.29,54.56,10169400,53.33,52.82
10,5/29/2012,54.99,55.85,54.8,55.58,12982000,53.55,52.96
11,5/30/2012,54.86,55.12,54.41,54.73,10412600,54.11,53.57
12,5/31/2012,54.83,55.08,53.91,54.89,15055200,54.57,54.33
13,6/1/2012,53.11,54.06,52.04,52.15,17456400,54.74,54.59
14,6/4/2012,52,53.97,51.49,53.9,24502800,54.57,54.89
15,6/5/2012,52.35,52.68,51.63,52.41,22337600,54.37,54.66
16,6/6/2012,53.09,53.6,52.88,53.47,13980400,54.03,54.47
17,6/7/2012,54.07,54.38,53.28,53.44,14475600,53.88,54.3
18,6/8/2012,52.84,53.76,52.39,53.59,12509800,53.57,53.8
19,6/11/2012,54.15,54.17,52.75,52.83,9770000,53.41,53.47
20,6/12/2012,53,53.43,51.87,53.04,21075400,53.11,53.03
21,6/13/2012,52.84,53.36,51.03,51.27,21445600,53.24,53.3
22,6/14/2012,51.43,52.48,51.1,52.33,16009600,52.86,53.04
23,6/15/2012,51.77,52.59,51.55,52.54,20108800,52.85,53.15
24,6/18/2012,52.34,54.29,52.25,54.18,15911000,52.72,52.96
25,6/19/2012,54.71,55.55,54.53,55.12,15032400,52.83,52.81
26,6/20/2012,55.3,55.91,55,55.64,14967200,53.04,52.67
27,6/21/2012,55.82,55.97,54,54.07,12379800,53.45,52.83
28,6/22/2012,54.27,54.73,54.04,54.64,9148800,53.59,52.96
29,6/25/2012,54.16,54.24,53.01,53.29,10005800,54.07,53.67
30,6/26/2012,53.27,54.1,53,53.95,9467000,54.21,54.14
31,6/27/2012,53.88,54.1,52.36,52.75,14015800,54.41,54.6
32,6/28/2012,52.53,52.59,51.25,52.09,15650200,54.21,54.61
33,6/29/2012,53.19,53.41,52.83,53.32,16983200,53.78,54.28
34,7/2/2012,53.44,53.44,52.15,52.79,10270800,53.44,53.73
35,7/3/2012,52.47,52.6,51.72,51.94,9112800,53.26,53.52
36,7/5/2012,52.04,52.8,51.97,52.4,8752200,52.88,53.08
37,7/6/2012,52.15,52.2,51.3,51.97,12096200,52.75,52.95
38,7/9/2012,51.77,52.4,51.72,52.39,9328600,52.47,52.58
39,7/10/2012,52.75,53.01,52.05,52.34,10558200,52.41,52.49
40,7/11/2012,52.18,52.38,51.7,52.16,8700000,52.45,52.58
41,7/12/2012,51.6,52.95,51.44,52.68,10980800,52.28,52.32
42,7/13/2012,52.43,53.69,52.16,53.61,11089600,52.27,52.19
43,7/16/2012,53.46,53.86,52.76,52.9,9318800,52.51,52.34
44,7/17/2012,53.29,53.92,52.94,53.73,8470000,52.58,52.38
45,7/18/2012,52.83,53.59,52.27,53.3,11023400,52.83,52.59
46,7/19/2012,53.33,54.28,52.9,54.2,10426200,52.96,52.74
47,7/20/2012,53.32,53.39,51.54,51.96,23471400,53.23,52.96
48,7/23/2012,51.13,51.17,49.6,50.6,21166200,53.2,53.22
49,7/24/2012,50.53,51.16,50.08,50.48,12079200,52.9,53.27
50,7/25/2012,50.5,50.7,49.86,50.41,13157800,52.45,52.98
51,7/26/2012,51.71,52.89,51.38,52.4,28380400,52.1,52.78
52,7/27/2012,46.9,48.2,46.12,47.47,56945200,51.91,52.33
53,7/30/2012,47.45,47.73,46.69,46.88,17497200,51.07,51.77
