observation_date,IC4WSA
2012-04-28,381500
2012-05-05,377250
2012-05-12,373250
2012-05-19,370250
2012-05-26,373000
2012-06-02,374500
2012-06-09,378750
2012-06-16,381250
2012-06-23,381250
2012-06-30,380000
2012-07-07,374500
2012-07-14,375500
2012-07-21,371750
2012-07-28,371250
2012-08-04,374000
2012-08-11,369500
2012-08-18,372000
2012-08-25,373500
2012-09-01,373500
2012-09-08,379250
2012-09-15,382750
2012-09-22,382750
2012-09-29,383500
2012-10-06,372000
2012-10-13,370250
2012-10-20,369000
2012-10-27,366000
2012-11-03,371250
2012-11-10,386250
2012-11-17,394250
2012-11-24,400250
2012-12-01,402750
2012-12-08,377000
2012-12-15,365250
2012-12-22,359500
2012-12-29,356000
2013-01-05,363250
2013-01-12,359250
2013-01-19,354250
2013-01-26,354500
2013-02-02,353000
2013-02-09,354250
2013-02-16,359250
2013-02-23,354250
2013-03-02,349750
2013-03-09,348750
2013-03-16,344000
2013-03-23,348250
2013-03-30,355250
2013-04-06,359250
2013-04-13,361750
2013-04-20,357250
2013-04-27,345500
2013-05-04,339500
2013-05-11,339000
2013-05-18,339250
2013-05-25,346500
2013-06-01,349750
2013-06-08,345750
2013-06-15,347750
2013-06-22,345500
2013-06-29,344500
2013-07-06,349250
2013-07-13,346250
2013-07-20,347750
2013-07-27,345250
2013-08-03,341500
2013-08-10,337750
2013-08-17,335000
2013-08-24,335500
2013-08-31,332000
2013-09-07,326500
2013-09-14,322000
2013-09-21,317250
2013-09-28,315500
2013-10-05,331000
2013-10-12,341000
2013-10-19,349250
2013-10-26,355500
2013-11-02,350500
2013-11-09,344250
2013-11-16,339750
2013-11-23,332000
2013-11-30,324750
2013-12-07,328500
2013-12-14,337750
2013-12-21,343750
2013-12-28,349000
2014-01-04,342250
2014-01-11,329250
2014-01-18,326750
2014-01-25,328500
2014-02-01,330250
2014-02-08,335750
2014-02-15,337000
2014-02-22,337000
2014-03-01,335750
2014-03-08,332000
2014-03-15,330000
2014-03-22,323000
2014-03-29,323250
2014-04-05,320000
2014-04-12,316000
2014-04-19,319500
2014-04-26,321500
2014-05-03,324750
2014-05-10,321500
2014-05-17,320250
2014-05-24,312750
2014-05-31,310500
2014-06-07,315750
2014-06-14,312750
2014-06-21,314250
2014-06-28,314000
2014-07-05,311500
2014-07-12,309000
2014-07-19,303000
2014-07-26,300250
2014-08-02,297750
2014-08-09,299000
2014-08-16,302500
2014-08-23,301250
2014-08-30,303250
2014-09-06,303500
2014-09-13,300000
2014-09-20,299500
2014-09-27,296250
2014-10-04,291250
2014-10-11,287500
2014-10-18,285500
2014-10-25,284250
2014-11-01,282750
2014-11-08,286500
2014-11-15,287750
2014-11-22,291750
2014-11-29,295000
2014-12-06,295000
2014-12-13,294250
2014-12-20,288500
2014-12-27,287750
2015-01-03,289250
2015-01-10,293000
2015-01-17,298250
2015-01-24,291750
2015-01-31,289000
2015-02-07,288500
2015-02-14,284500
2015-02-21,294750
2015-02-28,305500
2015-03-07,303250
2015-03-14,305250
2015-03-21,300250
2015-03-28,285250
2015-04-04,282500
2015-04-11,283000
2015-04-18,285000
2015-04-25,283750
2015-05-02,279500
2015-05-09,271750
2015-05-16,266500
2015-05-23,272000
2015-05-30,275000
2015-06-06,278750
2015-06-13,277000
2015-06-20,273750
2015-06-27,275000
2015-07-04,279250
2015-07-11,282500
2015-07-18,278500
2015-07-25,274750
2015-08-01,268000
2015-08-08,266000
2015-08-15,271500
2015-08-22,272250
2015-08-29,275250
2015-09-05,275750
2015-09-12,272500
2015-09-19,271750
2015-09-26,270500
