Date,Open,High,Low,Close,Volume,Adj Close
29/09/2015,31.99,32.18,31.85,32.07,33758700,32.07
28/09/2015,32.259998,32.34,31.879999,31.9,35802300,31.9
25/09/2015,32.27,32.700001,32.16,32.330002,27002100,32.330002
24/09/2015,32.02,32.23,31.950001,32.110001,24334700,32.110001
23/09/2015,32.290001,32.34,32.040001,32.200001,15696000,32.200001
22/09/2015,32.32,32.450001,32.130001,32.27,25464200,32.27
21/09/2015,32.549999,32.689999,32.450001,32.560001,19861600,32.560001
18/09/2015,32.68,32.790001,32.41,32.549999,43688500,32.549999
17/09/2015,32.73,33.139999,32.41,32.779999,37591600,32.779999
16/09/2015,32.860001,33.099998,32.759998,32.939999,23475100,32.939999
15/09/2015,32.68,32.93,32.540001,32.860001,22335100,32.860001
14/09/2015,32.740002,32.779999,32.509998,32.549999,18260900,32.549999
11/09/2015,32.73,32.779999,32.560001,32.720001,17613900,32.720001
10/09/2015,32.77,32.84,32.549999,32.75,25551200,32.75
09/09/2015,33.400002,33.5,32.720001,32.779999,22417800,32.779999
08/09/2015,32.950001,33.189999,32.810001,33.139999,18657600,33.139999
04/09/2015,32.68,32.779999,32.349998,32.560001,29310900,32.560001
03/09/2015,32.970001,33.240002,32.919998,33.040001,22813500,33.040001
02/09/2015,32.970001,32.970001,32.5,32.82,23972900,32.82
01/09/2015,32.599998,32.790001,32.16,32.32,32919400,32.32
31/08/2015,33.200001,33.279999,33.009998,33.200001,22215500,33.200001
28/08/2015,33.34,33.450001,33.099998,33.290001,24141300,33.290001
27/08/2015,33.009998,33.490002,32.82,33.439999,41918300,33.439999
26/08/2015,32.360001,32.849998,32.009998,32.689999,46296100,32.689999
25/08/2015,33.110001,33.110001,31.77,31.799999,50232700,31.799999
24/08/2015,32.18,32.689999,30.969999,32.369999,75966100,32.369999
21/08/2015,33.700001,33.950001,33.380001,33.380001,41507600,33.380001
20/08/2015,34.169998,34.459999,33.950001,33.950001,38293700,33.950001
19/08/2015,34.299999,34.5,34.07,34.360001,21046100,34.360001
18/08/2015,34.16,34.43,34.119999,34.349998,20538200,34.349998
17/08/2015,33.959999,34.23,33.900002,34.23,20452700,34.23
14/08/2015,33.91,34.049999,33.779999,34.049999,22725700,34.049999
13/08/2015,34.009998,34.169998,33.790001,33.810001,35169100,33.810001
12/08/2015,33.860001,34.07,33.450001,34.02,61974500,34.02
11/08/2015,34.599998,34.959999,34.57,34.650002,35374400,34.650002
10/08/2015,34.299999,34.779999,34.200001,34.779999,29136400,34.779999
07/08/2015,34.110001,34.259998,34.040001,34.209999,25612900,34.209999
06/08/2015,34.549999,34.59,33.950001,34.240002,32698200,34.240002
05/08/2015,34.790001,34.830002,34.509998,34.57,22777900,34.57
04/08/2015,34.790001,34.799999,34.5,34.580002,25945800,34.580002
03/08/2015,34.950001,35.02,34.5,34.66,29655200,34.66
31/07/2015,34.939999,34.990002,34.720001,34.740002,29820600,34.740002
30/07/2015,34.860001,34.889999,34.68,34.799999,25958800,34.799999
29/07/2015,34.470001,34.91,34.369999,34.689999,42986100,34.689999
28/07/2015,34.57,34.580002,34.220001,34.330002,52260700,34.330002
27/07/2015,34.220001,34.66,34.02,34.32,50226300,34.32
24/07/2015,34.66,35.09,34.290001,34.290001,86858600,34.290001
23/07/2015,34.279999,34.34,33.860001,33.93,34225400,33.93
22/07/2015,34.25,34.349998,34.02,34.27,51719500,34.27
21/07/2015,34.669998,34.669998,34.389999,34.57,27142800,34.57
20/07/2015,35.040001,35.060001,34.709999,34.900002,22212600,34.900002
17/07/2015,35.099998,35.240002,34.900002,35.009998,20301700,35.009998
16/07/2015,34.849998,35.189999,34.849998,35.16,18428700,35.16
15/07/2015,35.099998,35.130001,34.68,34.73,29016600,34.73
14/07/2015,34.740002,35.130001,34.66,35.119999,24825900,35.119999
13/07/2015,34.75,34.970001,34.669998,34.880001,26803200,34.880001
10/07/2015,34.619999,34.849998,34.549999,34.650002,30999200,34.650002
09/07/2015,35.02,35.040001,34.330002,34.389999,33071300,34.389999
08/07/2015,35.279999,35.32,34.740002,34.790001,31591700,34.790001
07/07/2015,35.790001,35.849998,35.369999,35.77,27143900,35.300001
06/07/2015,35.599998,35.66,35.470001,35.610001,25640300,35.142103
02/07/2015,35.849998,35.93,35.639999,35.73,22254300,35.260526
01/07/2015,35.59,35.630001,35.27,35.57,36972200,35.102628
30/06/2015,36.029999,36.150002,35.459999,35.52,31390100,35.053286
29/06/2015,35.869999,36.23,35.75,35.77,28999200,35.300001
26/06/2015,36.380001,36.400002,35.91,36.119999,30005900,35.645401
25/06/2015,36.130001,36.450001,36.040001,36.18,47585200,35.704614
24/06/2015,35.919998,35.950001,35.68,35.779999,33443200,35.309868
23/06/2015,35.57,36.25,35.509998,35.91,69970900,35.438161
22/06/2015,35.099998,35.150002,35,35.040001,23586500,34.579593
19/06/2015,34.919998,35.060001,34.880001,34.990002,35661000,34.530251
18/06/2015,34.799999,35.099998,34.759998,35.02,37333200,34.559856
17/06/2015,34.720001,34.849998,34.540001,34.799999,30455900,34.342745
16/06/2015,34.299999,34.75,34.259998,34.669998,29729800,34.214452
15/06/2015,34.540001,34.57,34.400002,34.41,24465500,33.95787
12/06/2015,34.75,34.959999,34.639999,34.650002,25869100,34.194718
11/06/2015,34.82,34.98,34.779999,34.880001,30440800,34.421696
10/06/2015,34.59,34.759998,34.59,34.720001,31312300,34.263798
09/06/2015,34.59,34.790001,34.5,34.509998,23986600,34.056555
08/06/2015,34.5,34.720001,34.490002,34.59,25928800,34.135505
05/06/2015,35.16,35.169998,34.5,34.57,36713200,34.115768
04/06/2015,34.919998,35.48,34.779999,35.27,56219000,34.806571
03/06/2015,34.450001,35.169998,34.360001,35.029999,39115900,34.569723
02/06/2015,34.369999,34.529999,34.279999,34.360001,19508800,33.908528
01/06/2015,34.529999,34.599998,34.240002,34.349998,28235700,33.898657
29/05/2015,34.75,34.82,34.540001,34.540001,29885100,34.086163
28/05/2015,34.959999,34.970001,34.639999,34.799999,19591700,34.342745
27/05/2015,34.75,35.099998,34.599998,34.950001,36633600,34.490776
26/05/2015,34.599998,34.759998,34.259998,34.669998,40655000,34.214452
22/05/2015,34.889999,35.029999,34.619999,34.709999,26349200,34.253928
21/05/2015,34.549999,35.220001,34.52,35.07,41576000,34.609198
20/05/2015,34.43,34.709999,34.290001,34.619999,27280100,34.16511
19/05/2015,34.790001,34.849998,34.169998,34.369999,38270700,33.918395
18/05/2015,34.279999,35.02,34.259998,34.869999,59611900,34.411825
15/05/2015,34.110001,34.389999,34.009998,34.330002,28264100,33.878923
14/05/2015,34.080002,34.200001,34,34.130001,23908700,33.68155
13/05/2015,33.630001,34.139999,33.57,33.900002,34748800,33.454573
12/05/2015,33.310001,33.939999,33.029999,33.66,41281600,33.217725
11/05/2015,33.650002,33.700001,33.380001,33.490002,21479700,33.04996
08/05/2015,33.720001,33.830002,33.59,33.689999,27681400,33.247329
07/05/2015,33.25,33.560001,33.110001,33.369999,22643500,32.931534
06/05/2015,33.709999,33.790001,33.080002,33.380001,30701500,32.941405
05/05/2015,34.490002,34.580002,33.66,33.720001,31805000,33.276938
04/05/2015,34.41,34.709999,34.25,34.529999,21305000,34.076292
01/05/2015,34.560001,34.720001,34.130001,34.419998,34167600,33.967737
30/04/2015,34.700001,34.900002,34.549999,34.639999,29693200,34.184848
29/04/2015,34.580002,35.23,34.540001,34.759998,40722500,34.30327
28/04/2015,34.279999,34.990002,34.169998,34.860001,48688400,34.401958
27/04/2015,34.049999,34.299999,34.040001,34.09,24468900,33.642075
24/04/2015,34.209999,34.32,33.959999,34.009998,42046900,33.563124
23/04/2015,33.450001,34.400002,33.330002,34.23,91372900,33.780235
22/04/2015,32.779999,32.889999,32.549999,32.860001,29775500,32.428237
21/04/2015,32.84,32.849998,32.580002,32.66,19720400,32.230864
20/04/2015,32.650002,32.869999,32.650002,32.830002,24314600,32.398632
17/04/2015,32.650002,32.700001,32.369999,32.509998,29716200,32.082834
16/04/2015,32.759998,32.900002,32.700001,32.75,17597300,32.319682
15/04/2015,32.709999,32.959999,32.639999,32.889999,19856000,32.457842
14/04/2015,32.919998,32.93,32.619999,32.689999,18265100,32.260469
13/04/2015,32.759998,33.07,32.700001,32.880001,22731000,32.447975
10/04/2015,32.77,32.830002,32.650002,32.77,15063600,32.339419
09/04/2015,32.580002,32.790001,32.439999,32.689999,21073700,32.260469
08/04/2015,32.73,32.849998,32.57,32.650002,21381200,32.220997
07/04/2015,33.349998,33.450001,33.16,33.16,24005000,32.26047
06/04/2015,33.150002,33.41,33.060001,33.330002,22972500,32.42586
02/04/2015,32.900002,33.23,32.82,33.130001,19273900,32.231285
01/04/2015,32.619999,32.91,32.540001,32.889999,25365000,31.997793
31/03/2015,32.970001,33.029999,32.650002,32.650002,27900200,31.764306
30/03/2015,32.82,33.040001,32.799999,32.970001,18904300,32.075625
27/03/2015,32.939999,32.950001,32.700001,32.75,20852700,31.861592
26/03/2015,32.630001,33.130001,32.610001,32.82,30624200,31.929693
25/03/2015,33.02,33.110001,32.619999,32.619999,29163100,31.735117
24/03/2015,33.23,33.419998,33.07,33.07,20127200,32.172911
23/03/2015,33.369999,33.68,33.279999,33.279999,23983800,32.377213
20/03/2015,33.27,33.599998,33.209999,33.23,38651800,32.32857
19/03/2015,33.509998,33.509998,33.18,33.200001,19913700,32.299385
18/03/2015,32.93,33.59,32.689999,33.59,47849300,32.678805
17/03/2015,32.849998,33.119999,32.77,32.900002,23903200,32.007524
16/03/2015,32.790001,33.099998,32.68,33.060001,20531500,32.163184
13/03/2015,32.990002,33.029999,32.599998,32.759998,26808000,31.871319
12/03/2015,32.84,33.209999,32.700001,33.130001,27016800,32.231285
11/03/2015,32.880001,32.889999,32.52,32.619999,29021600,31.735117
10/03/2015,33.259998,33.259998,32.75,32.779999,32469500,31.890777
09/03/2015,33.450001,33.59,33.310001,33.349998,19465200,32.445314
06/03/2015,33.580002,33.77,33.369999,33.48,39761500,32.571789
05/03/2015,34.150002,34.200001,33.990002,34,14524100,33.077683
04/03/2015,34.450001,34.450001,33.970001,34,23392300,33.077683
03/03/2015,34.529999,34.650002,34.349998,34.41,20202400,33.476561
02/03/2015,34.560001,34.650002,34.209999,34.639999,21637600,33.700321
27/02/2015,34.419998,34.580002,34.380001,34.560001,19863600,33.622493
26/02/2015,34.119999,34.59,34.060001,34.5,23156200,33.56412
25/02/2015,34.130001,34.220001,33.98,34.209999,17838200,33.281986
24/02/2015,33.75,34.119999,33.599998,34.049999,19382000,33.126326
23/02/2015,33.970001,34.049999,33.740002,33.849998,23418800,32.931751
20/02/2015,34.060001,34.080002,33.82,34.080002,21282000,33.155515
19/02/2015,34.48,34.48,34.029999,34.09,18916000,33.165242
18/02/2015,34.73,34.73,34.349998,34.490002,17098600,33.554393
17/02/2015,34.599998,34.73,34.450001,34.709999,19254600,33.768422
13/02/2015,34.549999,34.73,34.369999,34.66,16082400,33.719779
12/02/2015,34.41,34.619999,34.240002,34.610001,19865600,33.671136
11/02/2015,34.790001,34.830002,34.25,34.389999,31904300,33.457103
10/02/2015,34.860001,35.07,34.790001,34.849998,19874100,33.904624
09/02/2015,34.709999,34.91,34.59,34.639999,20110600,33.700321
06/02/2015,34.490002,35.049999,34.41,34.869999,27513600,33.924082
05/02/2015,34.490002,34.599998,34.32,34.540001,19076400,33.603035
04/02/2015,34.330002,34.75,34.23,34.41,29862300,33.476561
03/02/2015,33.66,34.34,33.650002,34.34,41631400,33.40846
02/02/2015,33.310001,33.619999,32.799999,33.560001,37289500,32.64962
30/01/2015,32.77,33.43,32.720001,32.919998,56280900,32.026978
29/01/2015,32.68,33.099998,32.41,32.959999,31071400,32.065894
28/01/2015,33.470001,33.639999,32.639999,32.68,45847700,31.793491
27/01/2015,33.09,33.119999,32.810001,32.810001,30806100,31.919966
26/01/2015,33.32,33.34,33.049999,33.18,28533500,32.279928
23/01/2015,33.799999,33.799999,33.34,33.369999,25450000,32.464772
22/01/2015,33.84,33.93,33.290001,33.790001,34756100,32.873381
