observation_date,UNRATE
2012-05-01,8.2
2012-06-01,8.2
2012-07-01,8.2
2012-08-01,8.0
2012-09-01,7.8
2012-10-01,7.8
2012-11-01,7.7
2012-12-01,7.9
2013-01-01,8.0
2013-02-01,7.7
2013-03-01,7.5
2013-04-01,7.6
2013-05-01,7.5
2013-06-01,7.5
2013-07-01,7.3
2013-08-01,7.2
2013-09-01,7.2
2013-10-01,7.2
2013-11-01,7.0
2013-12-01,6.7
2014-01-01,6.6
2014-02-01,6.7
2014-03-01,6.6
2014-04-01,6.2
2014-05-01,6.3
2014-06-01,6.1
2014-07-01,6.2
2014-08-01,6.1
2014-09-01,5.9
2014-10-01,5.7
2014-11-01,5.8
2014-12-01,5.6
2015-01-01,5.7
2015-02-01,5.5
2015-03-01,5.5
2015-04-01,5.4
2015-05-01,5.5
2015-06-01,5.3
2015-07-01,5.3
2015-08-01,5.1
