id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,562.570,567.510,557.600,558.220,88156600,558.220,558.220,0.000,0.000
1,5/15/2012,561.450,563.220,551.750,553.170,119084000,553.890,553.350,-0.095,0.000
2,5/16/2012,554.050,556.890,541.040,546.080,140224000,548.830,547.200,-0.420,0.000
3,5/17/2012,545.310,547.500,530.120,530.120,179305000,539.710,535.350,-1.208,0.000
4,5/18/2012,533.960,543.410,522.180,530.380,183073100,539.820,537.910,-1.565,25.000
5,5/21/2012,534.500,561.540,534.050,561.280,157776500,548.650,554.620,0.555,40.000
6,5/22/2012,569.550,573.880,552.580,556.970,173717600,548.030,550.380,1.547,33.333
7,5/23/2012,557.500,572.800,553.230,570.560,146224400,548.030,548.150,2.098,42.857
8,5/24/2012,575.870,576.500,561.230,565.320,124057500,549.790,546.040,2.403,37.500
9,5/25/2012,564.590,565.850,558.470,562.290,82126800,551.530,545.630,1.509,33.333
10,5/29/2012,570.900,574.000,565.310,572.270,95127200,553.850,547.570,3.015,40.000
11,5/30/2012,569.200,579.990,566.560,579.170,132357400,559.870,555.010,3.933,45.455
12,5/31/2012,580.740,581.500,571.460,577.730,122918600,566.840,564.120,4.283,41.667
13,6/1/2012,569.160,572.650,560.520,560.990,130246900,569.190,566.100,1.426,38.462
14,6/4/2012,561.500,567.500,548.500,564.290,139248900,569.760,569.300,0.226,46.154
15,6/5/2012,561.270,566.470,558.330,562.830,97053600,568.870,568.870,0.908,46.154
16,6/6/2012,567.770,573.850,565.500,571.460,100363900,568.510,569.670,3.193,53.846
17,6/7/2012,577.290,577.320,570.500,571.720,94941700,569.820,571.550,4.106,53.846
18,6/8/2012,571.600,580.580,569.000,580.320,86879100,569.740,570.920,5.248,53.846
19,6/11/2012,587.720,588.500,570.630,571.170,147816200,569.910,568.610,5.295,53.846
20,6/12/2012,574.460,576.620,566.700,576.160,108845100,568.970,566.420,3.724,53.846
21,6/13/2012,574.520,578.480,570.380,572.160,73395000,571.140,568.950,3.572,53.846
22,6/14/2012,571.240,573.500,567.260,571.530,86393300,572.260,570.940,2.075,53.846
23,6/15/2012,571.000,574.620,569.550,574.130,83813800,573.500,573.610,2.111,53.846
24,6/18/2012,570.960,587.890,570.370,585.780,110103000,573.880,574.220,4.269,53.846
25,6/19/2012,583.400,590.000,583.100,587.410,90351100,575.890,575.260,5.566,61.538
26,6/20/2012,588.210,589.250,580.800,585.740,89735800,576.910,574.410,4.553,61.538
27,6/21/2012,585.440,588.220,577.440,577.670,81587800,578.990,576.360,2.805,53.846
28,6/22/2012,579.040,582.190,575.420,582.100,71117900,579.200,577.120,2.161,61.538
29,6/25/2012,577.300,579.800,570.370,570.770,76095600,580.620,579.240,-0.215,53.846
30,6/26/2012,571.330,574.490,567.330,572.030,69134100,580.510,581.490,-1.045,53.846
31,6/27/2012,575.000,576.740,571.920,574.500,50749300,580.210,583.010,0.042,53.846
32,6/28/2012,571.670,574.000,565.610,569.050,70709100,578.600,581.210,-1.505,53.846
33,6/29/2012,578.000,584.000,574.250,584.000,105375200,575.980,578.350,2.097,53.846
34,7/2/2012,584.730,593.470,583.600,592.520,100023000,575.730,575.850,4.713,61.538
35,7/3/2012,594.880,600.000,594.000,599.410,60428200,577.850,575.900,6.796,69.231
36,7/5/2012,600.560,614.340,599.650,609.940,121095800,580.330,575.450,9.565,69.231
37,7/6/2012,607.090,608.440,601.580,605.880,104732600,585.920,579.240,8.039,61.538
38,7/9/2012,605.300,613.900,604.110,613.890,94851400,590.760,583.920,9.196,61.538
39,7/10/2012,617.970,619.870,605.310,608.210,127989400,596.380,589.390,8.714,61.538
40,7/11/2012,606.120,607.660,597.220,604.430,117330500,601.980,597.630,5.503,61.538
41,7/12/2012,600.240,603.470,592.680,598.900,107010400,604.900,602.850,3.510,53.846
42,7/13/2012,602.950,607.190,600.000,604.970,77856800,605.810,606.170,4.796,61.538
43,7/16/2012,605.120,611.620,605.020,606.910,75315100,606.600,607.970,5.415,61.538
44,7/17/2012,610.790,611.500,603.150,606.940,73406200,606.170,607.030,4.758,61.538
45,7/18/2012,606.590,608.340,603.560,606.260,63175000,606.320,607.140,4.066,61.538
46,7/19/2012,611.280,615.350,606.000,614.320,109215400,605.230,604.980,5.473,61.538
47,7/20/2012,613.030,614.440,603.700,604.300,99367800,606.100,604.450,3.634,53.846
48,7/23/2012,594.400,605.900,587.710,603.830,121993900,606.090,604.860,0.710,46.154
49,7/24/2012,607.380,609.680,598.510,600.920,141283100,606.790,606.840,1.458,38.462
50,7/25/2012,574.460,580.800,570.000,574.970,219328200,606.210,607.150,-7.170,38.462
51,7/26/2012,579.760,580.400,570.360,574.880,101658200,601.650,605.830,-7.193,30.769
52,7/27/2012,575.010,585.830,571.590,585.160,100984100,597.070,603.360,-5.622,38.462
53,7/30/2012,590.920,599.440,587.820,595.030,94785600,594.050,600.310,-1.759,46.154
54,7/31/2012,603.230,611.700,602.720,610.760,115581900,591.300,594.560,2.350,53.846
55,8/1/2012,615.910,616.400,603.000,606.810,96125400,592.220,591.540,2.281,46.154
56,8/2/2012,602.840,610.690,600.250,607.790,83039600,592.650,588.740,1.543,46.154
57,8/3/2012,613.630,617.980,611.560,615.700,86230200,593.630,586.920,4.099,46.154
58,8/6/2012,617.290,624.870,615.260,622.550,75525800,599.450,593.040,5.718,53.846
59,8/7/2012,622.770,625.000,618.040,620.910,72611700,606.260,600.880,5.680,46.154
60,8/8/2012,619.390,623.880,617.100,619.860,61176500,611.360,607.430,5.080,46.154
61,8/9/2012,617.850,621.730,617.800,620.730,55410600,614.910,612.400,4.666,53.846
62,8/10/2012,618.710,621.760,618.700,621.700,48734700,616.340,613.800,4.590,61.538
63,8/13/2012,623.390,630.000,623.250,630.000,69708100,618.460,616.710,6.389,69.231
64,8/14/2012,631.870,638.610,630.210,631.690,85042300,621.640,620.170,7.688,76.923
65,8/15/2012,631.300,634.000,627.750,630.830,64335600,623.920,622.230,6.488,69.231
66,8/16/2012,631.210,636.760,630.500,636.340,63633500,625.100,622.860,7.212,69.231
67,8/17/2012,640.000,648.190,638.810,648.110,110690300,627.310,624.460,9.706,69.231
68,8/20/2012,650.010,665.150,649.900,665.150,153346200,631.340,627.330,13.101,76.923
69,8/21/2012,670.820,674.880,650.330,656.060,203179900,637.690,631.570,12.218,69.231
70,8/22/2012,654.420,669.000,648.110,668.870,141330700,642.600,636.800,11.213,69.231
71,8/23/2012,666.110,669.900,661.150,662.630,105032200,648.150,641.340,10.485,61.538
72,8/24/2012,659.510,669.480,655.550,663.220,109335100,652.570,646.560,8.694,69.231
73,8/27/2012,679.990,680.870,673.540,675.680,106752100,657.200,653.150,11.215,76.923
74,8/28/2012,674.980,676.100,670.670,674.800,66854200,662.820,659.770,9.439,69.231
75,8/29/2012,675.250,677.670,672.600,673.470,50701700,666.630,664.400,8.648,61.538
76,8/30/2012,670.640,671.550,662.850,663.870,75674900,667.820,665.060,5.565,53.846
77,8/31/2012,667.250,668.600,657.250,665.240,84580300,668.930,668.280,4.275,53.846
78,9/4/2012,665.760,675.140,664.500,674.970,91973000,668.420,668.170,5.588,61.538
79,9/5/2012,675.570,676.350,669.600,670.230,84093800,670.180,670.060,5.030,53.846
80,9/6/2012,673.170,678.290,670.800,676.270,97799100,671.180,672.050,5.059,53.846
81,9/7/2012,678.050,682.480,675.770,680.440,82416600,671.260,670.940,5.371,53.846
82,9/10/2012,680.450,683.290,662.100,662.740,121999500,672.070,670.260,2.236,53.846
83,9/11/2012,665.110,670.100,656.500,660.590,125995800,670.540,669.530,0.112,46.154
84,9/12/2012,666.850,669.900,656.000,669.790,178058300,670.070,671.080,0.412,53.846
85,9/13/2012,677.370,685.500,674.770,682.980,149590000,670.720,672.450,3.600,53.846
86,9/14/2012,689.960,696.980,687.890,691.280,150118500,671.860,671.670,5.490,53.846
87,9/17/2012,699.350,699.800,694.610,699.780,99507800,674.870,672.830,6.236,61.538
88,9/18/2012,699.880,702.330,696.420,701.910,93375800,678.230,673.320,6.229,69.231
89,9/19/2012,700.260,703.990,699.570,702.100,81718700,681.300,673.530,6.090,76.923
90,9/20/2012,699.160,700.060,693.620,698.700,84142100,686.920,679.580,4.620,69.231
91,9/21/2012,702.410,705.070,699.360,700.090,142897300,692.360,687.520,5.098,69.231
92,9/24/2012,686.860,695.120,683.000,690.790,159941600,696.690,694.250,2.056,69.231
93,9/25/2012,688.260,692.780,673.000,673.540,129697400,697.810,697.950,-0.224,61.538
94,9/26/2012,668.740,672.690,661.200,665.180,144125800,695.270,698.950,-3.182,53.846
95,9/27/2012,664.290,682.170,660.350,681.320,148522500,690.330,696.590,-1.312,61.538
96,9/28/2012,678.750,681.110,666.750,667.100,133777700,687.390,692.960,-2.045,61.538
97,10/1/2012,671.160,676.750,656.500,659.390,135898700,682.390,688.030,-3.734,53.846
98,10/2/2012,661.810,666.350,650.650,661.310,156998100,676.770,682.550,-4.684,53.846
99,10/3/2012,664.860,671.860,662.630,671.450,106070300,671.230,675.330,-2.562,53.846
100,10/4/2012,671.250,674.250,665.550,666.800,92681400,668.470,669.750,-2.444,46.154
101,10/5/2012,665.200,666.000,651.280,652.590,148501500,667.510,668.250,-4.977,38.462
102,10/8/2012,646.880,647.560,636.110,638.170,159498500,665.710,668.380,-8.319,30.769
103,10/9/2012,638.650,640.490,623.550,635.850,209649300,659.540,662.930,-9.696,30.769
104,10/10/2012,639.740,644.980,637.000,640.910,127589000,655.080,659.930,-7.701,30.769
105,10/11/2012,646.500,647.200,628.100,628.100,136520300,652.440,658.190,-8.721,30.769
106,10/12/2012,629.560,635.380,625.300,629.710,115003700,647.700,654.790,-9.100,38.462
107,10/15/2012,632.350,635.130,623.850,634.760,108125500,641.730,647.360,-8.153,46.154
108,10/16/2012,635.370,650.300,631.000,649.790,137442900,637.160,639.950,-4.582,46.154
109,10/17/2012,648.870,652.790,644.000,644.610,97259400,636.760,635.990,-3.129,46.154
110,10/18/2012,639.590,642.060,630.000,632.640,119156100,637.680,635.870,-5.393,46.154
111,10/19/2012,631.050,631.770,609.620,609.840,186021500,637.220,636.210,-8.835,38.462
112,10/22/2012,612.420,635.380,610.760,634.030,136682700,632.780,634.170,-5.737,38.462
113,10/23/2012,631.000,633.900,611.700,613.360,176786400,633.630,635.560,-6.828,38.462
114,10/24/2012,621.440,626.550,610.640,616.830,139631800,631.290,635.950,-6.691,46.154
115,10/25/2012,620.000,622.000,605.550,609.540,164081400,628.730,634.440,-7.421,46.154
116,10/26/2012,609.430,614.000,591.000,604.000,254608200,622.980,627.740,-9.064,46.154
117,10/31/2012,594.880,601.960,587.700,595.320,127500800,617.180,620.880,-10.381,38.462
118,11/1/2012,598.220,603.000,594.170,596.540,90324500,611.850,615.680,-8.907,46.154
119,11/2/2012,595.890,596.950,574.750,576.800,149843400,609.950,615.710,-11.975,38.462
120,11/5/2012,583.520,587.770,577.600,584.620,132283900,601.770,607.640,-10.866,38.462
121,11/6/2012,590.230,590.740,580.090,582.850,93729300,597.660,603.720,-9.671,30.769
122,11/7/2012,573.840,574.540,555.750,558.000,198412200,592.810,597.720,-14.897,30.769
123,11/8/2012,560.630,562.230,535.290,537.750,264036500,585.450,591.690,-18.970,30.769
124,11/9/2012,540.420,554.880,533.720,547.060,232478400,575.980,584.690,-17.918,38.462
125,11/12/2012,554.150,554.500,538.650,542.830,128950500,569.090,578.130,-16.901,30.769
126,11/13/2012,538.910,550.480,536.360,542.900,133237300,561.420,569.350,-16.536,38.462
