+ACI-Date+ACI-,+ACI-Open+ACI-,+ACI-High+ACI-,+ACI-Low+ACI-,+ACI-Close+ACI-,+ACI-Volume+ACI-,+ACI-Adj Close+ACI-
01/06/12,569.159996,572.650009,560.520012,560.989983,130246900,74.940263
01/08/12,615.910011,616.400009,603.000023,606.80999,96125400,81.061163
01/10/12,671.159981,676.750015,656.499992,659.389992,135898700,88.463295
01/11/12,598.219994,603.000023,594.170021,596.540009,90324500,80.031385
02/07/12,584.730019,593.469978,583.600006,592.519997,100023000,79.152224
02/08/12,602.840019,610.690025,600.25,607.789986,83039600,81.192077
02/10/12,661.81002,666.349991,650.649979,661.309982,156998100,88.720879
02/11/12,595.890007,596.950005,574.749977,576.800011,149843400,77.383081
03/07/12,594.879997,600.000008,593.999977,599.409981,60428200,80.072627
03/08/12,613.630013,617.980019,611.560005,615.70002,86230200,82.248744
03/10/12,664.860023,671.860023,662.630013,671.449974,106070300,90.081253
03/12/12,593.650009,594.590004,585.500023,586.190025,91070000,79.002029
04/06/12,561.500008,567.499985,548.499977,564.289978,139248900,75.381096
04/09/12,665.760017,675.139992,664.500015,674.970001,91973000,90.553498
04/10/12,671.250023,674.249985,665.550026,666.799988,92681400,89.457415
04/12/12,581.800018,581.800018,572.129997,575.849976,139267100,77.608479
05/06/12,561.269989,566.470001,558.330002,562.830025,97053600,75.186067
05/07/12,600.56002,614.339989,599.649986,609.939995,121095800,81.479287
05/09/12,675.570015,676.350006,669.599998,670.230026,84093800,89.917586
05/10/12,665.200005,666.000023,651.280006,652.589996,148501500,87.551012
05/11/12,583.520004,587.769981,577.599976,584.620003,132283900,78.432206
05/12/12,568.910004,569.249985,538.769981,538.790009,261159500,72.613831
06/06/12,567.770004,573.849983,565.499992,571.460022,100363900,76.338911
06/07/12,607.089996,608.439987,601.580017,605.879982,104732600,80.936927
06/08/12,617.290016,624.870003,615.26001,622.550003,75525800,83.163804
06/09/12,673.170013,678.290024,670.800026,676.270004,97799100,90.727905
06/11/12,590.230011,590.739983,580.090019,582.849976,93729300,78.19474
06/12/12,528.94001,553.31002,518.629974,547.239975,294303100,73.752651
07/06/12,577.290009,577.320023,570.5,571.720001,94941700,76.373641
07/08/12,622.769981,624.999992,618.039993,620.910019,72611700,82.944726
07/09/12,678.050018,682.480026,675.77002,680.43998,82416600,91.287346
07/11/12,573.839996,574.539986,555.750023,558.000008,198412200,75.202802
07/12/12,553.400009,555.199997,530.000008,533.250015,196760200,71.867195
