id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-10,TP-SMA-20
0,29/09/2015,112.830002,113.510,107.860,109.060,73135900,109.060,109.060,110.143
1,28/09/2015,113.849998,114.570,112.440,112.440,51723900,112.018,112.252,113.000
2,25/09/2015,116.440002,116.690,114.020,114.710,55842200,113.720,114.113,114.791
3,24/09/2015,113.25,115.500,112.370,115.000,49810600,113.901,114.111,114.068
4,23/09/2015,113.629997,114.720,113.300,114.320,35645700,113.561,113.451,113.927
5,22/09/2015,113.379997,114.180,112.520,113.400,49809000,113.216,112.873,113.367
6,21/09/2015,113.669998,115.370,113.660,115.210,46554300,113.669,113.285,114.333
7,18/09/2015,112.209999,114.300,111.870,113.450,73419000,113.449,112.894,113.332
8,17/09/2015,115.660004,116.490,113.720,113.920,63462700,114.056,114.004,114.234
9,16/09/2015,116.25,116.540,115.440,116.410,36910000,114.552,114.473,115.015
10,15/09/2015,115.93,116.530,114.420,116.280,43004100,114.749,114.482,114.821
11,14/09/2015,116.580002,116.890,114.860,115.310,58201900,114.787,114.435,114.796
12,11/09/2015,111.790001,114.210,111.760,114.210,49441800,114.774,114.536,113.879
13,10/09/2015,110.269997,113.280,109.900,112.570,62675200,114.670,114.818,113.362
14,09/09/2015,113.760002,114.020,109.770,110.150,84344400,114.037,114.557,113.181
15,08/09/2015,111.75,112.560,110.320,112.310,54114200,113.895,114.656,113.285
16,04/09/2015,108.970001,110.450,108.510,109.270,49963900,113.314,114.521,112.821
17,03/09/2015,112.489998,112.780,110.040,110.370,52906400,112.559,113.666,113.069
18,02/09/2015,110.230003,112.340,109.130,112.340,61888800,112.066,112.729,113.090
19,01/09/2015,110.150002,111.880,107.360,107.720,76845900,111.117,111.797,112.975
20,31/08/2015,112.029999,114.530,112.000,112.760,56229300,110.936,111.070,113.123
21,28/08/2015,112.169998,113.310,111.540,113.290,53164400,111.026,110.727,113.101
22,27/08/2015,112.230003,113.240,110.020,112.920,84616100,111.372,110.999,112.947
23,26/08/2015,107.089996,109.890,105.050,109.690,96774600,111.045,110.717,112.643
24,25/08/2015,111.110001,111.110,103.500,103.740,103601600,110.354,110.958,112.243
25,24/08/2015,94.870003,108.800,92.000,103.120,162206300,109.448,110.753,111.640
26,21/08/2015,110.43,111.900,105.650,105.760,128275500,108.625,109.928,111.292
27,20/08/2015,114.080002,114.350,111.630,112.650,68501600,109.241,110.266,111.275
28,19/08/2015,116.099998,116.520,114.680,115.010,47445700,109.523,109.546,111.310
29,18/08/2015,116.43,117.440,116.010,116.500,34560700,109.924,108.798,111.336
30,17/08/2015,116.040001,117.650,115.500,117.160,40884700,110.454,108.250,111.387
31,14/08/2015,114.32,116.310,114.010,115.960,42929500,111.238,108.594,111.374
32,13/08/2015,116.040001,116.400,114.540,115.150,48535800,112.664,110.577,111.473
33,12/08/2015,112.529999,115.420,109.630,115.240,101217500,114.179,113.035,111.548
34,11/08/2015,117.809998,118.180,113.330,113.490,97082800,115.145,115.120,111.733
35,10/08/2015,116.529999,119.990,116.530,119.720,54951600,116.029,115.871,112.083
36,07/08/2015,114.580002,116.250,114.500,115.520,38670400,116.092,116.112,112.384
37,06/08/2015,115.970001,116.500,114.120,115.130,52903000,115.921,115.983,112.593
38,05/08/2015,112.949997,117.440,112.100,115.400,99312600,115.701,115.659,112.779
39,04/08/2015,117.419998,117.700,113.250,114.640,124138600,115.536,115.565,113.090
40,03/08/2015,121.5,122.570,117.520,118.440,69976000,115.947,115.742,113.410
41,31/07/2015,122.599998,122.640,120.910,121.300,42885000,116.705,116.067,113.855
42,30/07/2015,122.32,122.570,121.710,122.370,33628300,117.815,117.029,114.363
43,29/07/2015,123.150002,123.500,122.270,122.990,37011700,118.224,116.696,115.099
44,28/07/2015,123.379997,123.910,122.550,123.380,33618100,119.206,117.515,115.957
45,27/07/2015,123.089996,123.610,122.120,122.770,44455500,120.161,118.633,117.033
46,24/07/2015,125.32,125.740,123.900,124.500,42162300,121.299,119.944,117.880
47,23/07/2015,126.199997,127.090,125.060,125.160,50999500,122.614,121.716,118.525
48,22/07/2015,121.989998,125.500,121.990,125.220,115450600,123.461,122.832,118.967
49,21/07/2015,132.850006,132.920,130.320,130.750,76756400,124.642,123.575,119.701
50,20/07/2015,130.970001,132.970,130.700,132.070,58900200,125.855,124.349,120.458
51,17/07/2015,129.080002,129.620,128.310,129.620,46164700,126.684,125.170,121.146
52,16/07/2015,127.739998,128.570,127.350,128.510,36222400,127.325,126.047,121.785
53,15/07/2015,125.720001,127.150,125.580,126.820,33649200,127.831,127.171,122.439
54,14/07/2015,126.040001,126.370,125.040,125.610,31768100,127.970,127.943,122.973
55,13/07/2015,125.029999,125.760,124.320,125.660,41440500,128.033,128.581,123.298
56,10/07/2015,121.940002,123.850,121.210,123.280,61354500,127.790,129.152,123.666
57,09/07/2015,123.849998,124.060,119.220,120.070,77821600,126.455,128.198,123.959
58,08/07/2015,124.480003,124.640,122.540,122.570,60761600,125.267,126.686,124.372
59,07/07/2015,125.889999,126.150,123.770,125.690,46946800,124.776,125.609,124.873
60,06/07/2015,124.940002,126.230,124.850,126.000,28060400,124.463,124.710,125.182
61,02/07/2015,126.43,126.690,125.770,126.440,27211000,124.415,124.176,125.416
62,01/07/2015,126.900002,126.940,125.990,126.600,30238800,124.539,123.938,125.631
63,30/06/2015,125.57,126.120,124.860,125.430,44370700,124.510,123.682,125.758
64,29/06/2015,125.459999,126.470,124.480,124.530,49161400,124.666,123.990,125.852
65,26/06/2015,127.669998,127.990,126.510,126.750,44066800,125.501,125.197,126.065
