id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,33.42,33.56,33.05,33.53,30006400,33.53,33.53,0.0,0.0
1,5/15/2012,33.31,33.6,33.25,33.35,28024400,33.38,33.36,0.0,-inf
2,5/16/2012,33.47,33.55,33.17,33.19,22541800,33.26,33.22,-0.286373613246,-inf
3,5/17/2012,33.17,33.52,33.11,33.29,23399200,33.32,33.32,-0.576461602814,-100.0
4,5/18/2012,33.41,33.81,33.4,33.66,38876800,33.48,33.56,2.75203305027,0.0
5,5/21/2012,33.71,33.94,33.56,33.63,24667800,33.47,33.5,4.32909516951,-50.0
6,5/22/2012,33.56,33.81,33.44,33.54,28027300,33.46,33.44,2.37132043776,-100.0
7,5/23/2012,33.34,33.65,33.08,33.36,25725200,33.46,33.42,-1.67201618968,-150.0
8,5/24/2012,33.38,33.7,33.36,33.64,24082600,33.43,33.39,2.31830927265,-66.6666666667
9,5/25/2012,33.66,33.85,33.52,33.69,22284100,33.47,33.42,5.06649011245,-25.0
10,5/29/2012,33.89,33.98,33.7,33.94,22911100,33.54,33.51,11.3723570076,0.0
11,5/30/2012,33.72,34.11,33.7,33.84,30160800,33.64,33.6,11.4685719462,-20.0
12,5/31/2012,33.82,34.41,33.79,34.17,32259000,33.66,33.6,21.5715322541,0.0
13,6/1/2012,34.1,34.21,33.78,33.9,29091800,33.74,33.63,14.2054198423,-16.6666666667
14,6/4/2012,33.91,34.27,33.85,34.15,26700400,33.79,33.69,20.3841669397,14.2857142857
15,6/5/2012,34.09,34.26,33.95,34.06,24424900,33.9,33.83,20.3841669397,14.2857142857
16,6/6/2012,34.19,34.56,34.05,34.56,27729800,33.96,33.91,37.0379386402,14.2857142857
17,6/7/2012,34.72,34.74,34.16,34.16,42417600,34.09,34.01,35.0340123626,-16.6666666667
18,6/8/2012,34.13,34.66,34.11,34.55,27959400,34.12,34.05,40.1767469995,14.2857142857
19,6/11/2012,34.72,35.0,34.56,34.59,26192000,34.22,34.15,57.5448199212,37.5
20,6/12/2012,34.63,34.99,34.42,34.98,27812900,34.28,34.18,62.2776086439,55.5555555556
21,6/13/2012,34.94,35.06,34.72,34.98,26546000,34.44,34.31,70.8624352111,50.0
22,6/14/2012,34.92,35.92,34.88,35.69,31612200,34.55,34.41,117.525019264,50.0
23,6/15/2012,35.93,36.0,35.61,35.71,41585800,34.79,34.59,150.82103588,50.0
24,6/18/2012,35.66,35.98,35.6,35.63,22627200,34.95,34.69,161.953101165,50.0
25,6/19/2012,35.78,35.8,35.19,35.47,26838900,35.16,34.94,149.631433015,28.5714285714
26,6/20/2012,35.38,35.63,35.2,35.41,23353100,35.29,35.13,158.108564598,28.5714285714
27,6/21/2012,35.44,35.65,34.98,35.03,28404000,35.41,35.33,148.41496626,0.0
28,6/22/2012,35.21,35.33,34.99,35.17,87136400,35.42,35.44,166.137873969,28.5714285714
29,6/25/2012,34.96,35.05,34.77,34.95,87787000,35.44,35.56,97.6622245966,0.0
30,6/26/2012,34.93,35.12,34.85,34.98,20488400,35.34,35.47,179.076643991,28.5714285714
31,6/27/2012,35.05,35.28,35.02,35.19,16185100,35.23,35.35,1744.49896413,28.5714285714
32,6/28/2012,35.03,35.4,34.95,35.39,21426600,35.17,35.24,607.773657465,28.5714285714
33,6/29/2012,35.7,35.73,35.44,35.66,30458800,35.16,35.16,394.967185177,28.5714285714
34,7/2/2012,35.7,36.2,35.64,36.2,24801600,35.2,35.1,341.560596907,37.5
35,7/3/2012,36.21,36.21,35.79,36.0,15479800,35.36,35.19,196.74159901,14.2857142857
