id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-10,TP-SMA-20
0,29/09/2015,31.99,32.180,31.850,32.070,33758700,32.070,32.070,32.033
1,28/09/2015,32.259998,32.340,31.880,31.900,35802300,31.921,31.909,32.040
2,25/09/2015,32.27,32.700,32.160,32.330,27002100,32.244,32.284,32.361
3,24/09/2015,32.02,32.230,31.950,32.110,24334700,32.106,32.100,32.106
4,23/09/2015,32.290001,32.340,32.040,32.200,15696000,32.151,32.154,32.183
5,22/09/2015,32.32,32.450,32.130,32.270,25464200,32.178,32.175,32.251
6,21/09/2015,32.549999,32.690,32.450,32.560,19861600,32.250,32.227,32.449
7,18/09/2015,32.68,32.790,32.410,32.550,43688500,32.249,32.158,32.460
8,17/09/2015,32.73,33.140,32.410,32.780,37591600,32.338,32.217,32.576
9,16/09/2015,32.860001,33.100,32.760,32.940,23475100,32.468,32.343,32.662
10,15/09/2015,32.68,32.930,32.540,32.860,22335100,32.534,32.388,32.584
11,14/09/2015,32.740002,32.780,32.510,32.550,18260900,32.589,32.495,32.510
12,11/09/2015,32.73,32.780,32.560,32.720,17613900,32.654,32.596,32.539
13,10/09/2015,32.77,32.840,32.550,32.750,25551200,32.714,32.694,32.549
14,09/09/2015,33.400002,33.500,32.720,32.780,22417800,32.741,32.734,32.635
15,08/09/2015,32.950001,33.190,32.810,33.140,18657600,32.815,32.793,32.646
16,04/09/2015,32.68,32.780,32.350,32.560,29310900,32.787,32.795,32.550
17,03/09/2015,32.970001,33.240,32.920,33.040,22813500,32.800,32.764,32.625
18,02/09/2015,32.970001,32.970,32.500,32.820,23972900,32.795,32.749,32.595
19,01/09/2015,32.599998,32.790,32.160,32.320,32919400,32.766,32.798,32.578
20,31/08/2015,33.200001,33.280,33.010,33.200,22215500,32.826,32.821,32.634
21,28/08/2015,33.34,33.450,33.100,33.290,24141300,32.894,32.853,32.696
22,27/08/2015,33.009998,33.490,32.820,33.440,41918300,32.976,32.897,32.739
23,26/08/2015,32.360001,32.850,32.010,32.690,46296100,32.920,32.848,32.760
24,25/08/2015,33.110001,33.110,31.770,31.800,50232700,32.825,32.907,32.762
25,24/08/2015,32.18,32.690,30.970,32.370,75966100,32.741,32.840,32.748
26,21/08/2015,33.700001,33.950,33.380,33.380,41507600,32.811,32.838,32.798
27,20/08/2015,34.169998,34.460,33.950,33.950,38293700,33.015,32.993,32.875
28,19/08/2015,34.299999,34.500,34.070,34.360,21046100,33.160,32.984,32.952
29,18/08/2015,34.16,34.430,34.120,34.350,20538200,33.292,32.984,33.020
30,17/08/2015,33.959999,34.230,33.900,34.230,20452700,33.391,32.974,33.087
31,14/08/2015,33.91,34.050,33.780,34.050,22725700,33.561,33.167,33.154
32,13/08/2015,34.009998,34.170,33.790,33.810,35169100,33.812,33.614,33.216
33,12/08/2015,33.860001,34.070,33.450,34.020,61974500,34.019,33.981,33.273
34,11/08/2015,34.599998,34.960,34.570,34.650,35374400,34.178,34.158,33.359
35,10/08/2015,34.299999,34.780,34.200,34.780,29136400,34.281,34.232,33.436
36,07/08/2015,34.110001,34.260,34.040,34.210,25612900,34.262,34.210,33.517
37,06/08/2015,34.549999,34.590,33.950,34.240,32698200,34.249,34.188,33.576
38,05/08/2015,34.790001,34.830,34.510,34.570,22777900,34.291,34.201,33.670
39,04/08/2015,34.790001,34.800,34.500,34.580,25945800,34.358,34.269,33.780
40,03/08/2015,34.950001,35.020,34.500,34.660,29655200,34.464,34.415,33.858
41,31/07/2015,34.939999,34.990,34.720,34.740,29820600,34.554,34.533,33.935
42,30/07/2015,34.860001,34.890,34.680,34.800,25958800,34.573,34.516,34.012
43,29/07/2015,34.470001,34.910,34.370,34.690,42986100,34.561,34.468,34.119
44,28/07/2015,34.57,34.580,34.220,34.330,52260700,34.576,34.549,34.227
45,27/07/2015,34.220001,34.660,34.020,34.320,50226300,34.586,34.626,34.343
46,24/07/2015,34.66,35.090,34.290,34.290,86858600,34.551,34.622,34.392
47,23/07/2015,34.279999,34.340,33.860,33.930,34225400,34.470,34.597,34.388
48,22/07/2015,34.25,34.350,34.020,34.270,51719500,34.421,34.544,34.384
49,21/07/2015,34.669998,34.670,34.390,34.570,27142800,34.400,34.469,34.396
50,20/07/2015,35.040001,35.060,34.710,34.900,22212600,34.413,34.383,34.434
51,17/07/2015,35.099998,35.240,34.900,35.010,20301700,34.453,34.330,34.489
52,16/07/2015,34.849998,35.190,34.850,35.160,18428700,34.556,34.380,34.546
53,15/07/2015,35.099998,35.130,34.680,34.730,29016600,34.608,34.444,34.596
54,14/07/2015,34.740002,35.130,34.660,35.120,24825900,34.711,34.538,34.608
55,13/07/2015,34.75,34.970,34.670,34.880,26803200,34.830,34.738,34.621
56,10/07/2015,34.619999,34.850,34.550,34.650,30999200,34.878,34.873,34.646
57,09/07/2015,35.02,35.040,34.330,34.390,33071300,34.855,34.936,34.663
58,08/07/2015,35.279999,35.320,34.740,34.790,31591700,34.841,34.923,34.678
59,07/07/2015,35.790001,35.850,35.370,35.770,27143900,34.936,34.906,34.730
60,06/07/2015,35.599998,35.660,35.470,35.610,25640300,34.993,34.869,34.773
61,02/07/2015,35.849998,35.930,35.640,35.730,22254300,35.118,34.955,34.820
62,01/07/2015,35.59,35.630,35.270,35.570,36972200,35.174,34.967,34.855
63,30/06/2015,36.029999,36.150,35.460,35.520,31390100,35.254,35.050,34.908
