id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,5/14/2012,72.89,73.79,72.35,73.12,3585700,73.12,73.12,-0.0055704799908,0.0
1,5/15/2012,73.0,73.67,72.42,72.58,3252300,72.66,72.6,-0.0166322246715,-inf
2,5/16/2012,72.82,73.51,72.29,72.35,3648100,72.49,72.41,-0.0552340492536,-inf
3,5/17/2012,72.31,72.48,69.46,69.73,6172200,71.0,70.39,-0.591848104573,-inf
4,5/18/2012,69.95,70.34,68.93,69.15,5597400,70.75,70.33,-0.926943666003,-inf
5,5/21/2012,70.46,71.85,70.14,71.78,4709700,71.5,71.95,-0.213712038096,-300.0
6,5/22/2012,71.65,72.21,71.08,71.48,4269400,71.46,71.81,-0.0322272677526,-400.0
7,5/23/2012,70.69,71.63,69.92,71.57,4222700,71.46,71.8,-0.367592719362,-150.0
8,5/24/2012,71.64,71.95,70.25,71.39,2942600,71.23,71.33,-0.26160855414,-200.0
9,5/25/2012,71.21,71.39,69.66,70.0,5163300,71.06,70.95,-0.887350140031,-250.0
10,5/29/2012,70.28,70.5,69.75,70.4,3973600,70.73,70.55,-1.00212162951,-133.333333333
11,5/30/2012,69.88,70.09,69.25,69.39,4677600,70.82,70.82,-1.57746277296,-166.666666667
12,5/31/2012,69.54,70.11,69.07,69.61,4191400,70.86,71.25,-1.56210894995,-100.0
13,6/1/2012,68.67,68.88,67.14,67.24,5592000,70.55,70.94,-3.48459538238,-125.0
14,6/4/2012,68.15,68.15,67.05,67.5,5478200,69.94,70.56,-3.69227126459,-60.0
15,6/5/2012,67.31,67.7,66.82,67.58,3747300,69.36,70.0,-3.93648496815,-16.6666666667
16,6/6/2012,67.97,69.02,67.96,69.02,4050300,68.82,69.36,-2.26044067676,14.2857142857
17,6/7/2012,69.57,70.33,69.43,69.95,4004600,68.68,69.03,-0.540827978156,37.5
18,6/8/2012,69.66,69.97,69.27,69.94,3933400,68.61,68.58,-0.800654066449,14.2857142857
19,6/11/2012,70.61,70.85,69.8,70.11,4369400,68.69,68.41,0.0207962095181,37.5
20,6/12/2012,70.93,72.82,70.74,72.58,6458100,68.76,68.2,3.04117118121,37.5
21,6/13/2012,72.41,72.7,71.57,72.06,4720300,69.53,68.77,3.21357473864,37.5
22,6/14/2012,72.08,72.3,71.39,71.85,5822900,70.18,69.44,2.84934547836,37.5
23,6/15/2012,72.09,72.38,71.58,71.99,5308300,70.79,70.24,2.95758771822,37.5
24,6/18/2012,71.69,72.34,71.25,71.9,3435200,71.21,70.79,2.52496725246,37.5
25,6/19/2012,72.36,73.22,72.02,72.92,4167200,71.49,71.17,3.86809497038,37.5
26,6/20/2012,72.7,73.46,72.35,73.01,3468700,71.92,71.67,4.12343773616,55.5555555556
27,6/21/2012,73.35,73.62,71.25,71.37,3659300,72.33,72.22,2.63016795358,37.5
28,6/22/2012,71.55,72.1,71.07,71.96,3267300,72.16,72.12,1.97494491019,37.5
29,6/25/2012,71.81,71.92,71.03,71.05,4111400,72.14,72.14,1.27693372572,14.2857142857
30,6/26/2012,71.3,71.63,70.48,70.93,2757600,72.03,72.18,0.681296214237,-16.6666666667
31,6/27/2012,70.98,72.04,70.95,71.87,2514600,71.88,72.15,1.51218614238,14.2857142857
32,6/28/2012,71.15,71.74,70.63,71.58,3144600,71.87,72.15,0.878934675537,-16.6666666667
33,6/29/2012,73.06,74.37,72.89,74.3,4419400,71.68,71.84,4.60486592311,-16.6666666667
34,7/2/2012,74.21,74.74,72.45,73.18,4893400,71.87,71.55,3.47964644804,-16.6666666667
35,7/3/2012,73.08,74.27,73.08,74.27,2166200,72.12,71.74,3.6622809114,14.2857142857
36,7/5/2012,74.38,74.74,73.85,74.44,2539000,72.45,71.86,4.01064293113,14.2857142857
37,7/6/2012,73.78,73.81,72.9,73.69,3579100,72.94,72.33,2.21282549072,14.2857142857
38,7/9/2012,74.27,74.85,73.8,74.03,4357700,73.33,72.93,3.14160021844,14.2857142857
39,7/10/2012,74.63,75.05,72.89,73.22,4756700,73.64,73.38,1.99310655458,-16.6666666667
40,7/11/2012,72.69,72.76,71.23,71.52,6072200,73.88,73.95,-1.26016147001,-16.6666666667
41,7/12/2012,71.2,72.02,70.85,71.71,5799800,73.48,73.75,-1.75498684903,-16.6666666667
42,7/13/2012,71.93,73.56,71.85,73.51,3616000,73.27,73.77,0.665355224645,14.2857142857
43,7/16/2012,73.13,73.19,72.25,72.97,3538400,73.16,73.49,0.302808837438,14.2857142857
