Date,Open,High,Low,Close,Volume,Adj Close
29/09/2015,128.110001,129.149994,127.470001,128.75,2926800,128.75
28/09/2015,130.440002,130.479996,128.029999,128.130005,4104000,128.130005
25/09/2015,131.570007,131.729996,129.279999,131.009995,4132600,131.009995
24/09/2015,130.720001,130.770004,127.18,129.75,5250400,129.75
23/09/2015,134.660004,135,131.610001,131.669998,4891300,131.669998
22/09/2015,134.490005,134.490005,132.520004,133.990005,3439800,133.990005
21/09/2015,136.419998,137.449997,134.940002,136.020004,2444900,136.020004
18/09/2015,135.75,137.690002,134.399994,136.089996,7240000,136.089996
17/09/2015,137.360001,139.910004,136.940002,137.449997,3362200,137.449997
16/09/2015,136.259995,137.429993,136.009995,137.199997,2492600,137.199997
15/09/2015,134.520004,137,134.520004,136.300003,3737200,136.300003
14/09/2015,134.720001,135.130005,133.729996,134.429993,2386800,134.429993
11/09/2015,133.160004,134.860001,132.889999,134.669998,2611800,134.669998
10/09/2015,132.339996,134.570007,132.270004,133.550003,2929500,133.550003
09/09/2015,135.589996,136.25,132.210007,132.649994,4695100,132.649994
08/09/2015,132.270004,133.990005,132,133.820007,3444000,133.820007
04/09/2015,129.550003,130.490005,128.660004,129.759995,3738600,129.759995
03/09/2015,132.309998,132.350006,130.479996,131.020004,3342800,131.020004
02/09/2015,128.710007,130.669998,127.739998,130.630005,4754800,130.630005
01/09/2015,128.160004,128.990005,126.940002,127.440002,5812000,127.440002
31/08/2015,132.369995,132.699997,130.389999,130.679993,4150800,130.679993
28/08/2015,131.429993,133.720001,130.860001,133.240005,4502100,133.240005
27/08/2015,131.080002,132.360001,129.460007,131.869995,5719200,131.869995
26/08/2015,129.339996,129.759995,125.230003,129.339996,6333100,129.339996
25/08/2015,130,130.720001,125.43,125.489998,7123600,125.489998
24/08/2015,123.639999,135.5,115.139999,127.190002,9355200,127.190002
21/08/2015,134.880005,135.089996,131.460007,131.710007,7881100,131.710007
20/08/2015,141.619995,141.899994,136.899994,137.020004,6577300,137.020004
19/08/2015,143.419998,144.479996,142.320007,142.720001,2957600,142.720001
18/08/2015,144.389999,145.210007,143.820007,144.600006,1952200,144.600006
17/08/2015,144.600006,144.860001,142.929993,144.440002,3740800,144.440002
14/08/2015,144.610001,145.470001,143.759995,145.089996,2924000,145.089996
13/08/2015,142.029999,145.449997,141.529999,144.809998,5100700,144.809998
12/08/2015,142.550003,143.009995,139.860001,142.429993,4355800,142.429993
11/08/2015,144.139999,144.929993,143.279999,144.050003,2811200,144.050003
10/08/2015,143.789993,146.770004,143.779999,145.860001,3403700,145.860001
07/08/2015,143.220001,143.839996,141.699997,142.419998,2845100,142.419998
06/08/2015,144.699997,145.25,143.419998,143.820007,2457000,143.820007
05/08/2015,143.899994,145.600006,143.770004,144.949997,2926100,144.949997
04/08/2015,143.550003,144.869995,143.039993,143.539993,1973000,142.629997
03/08/2015,144.440002,144.75,142.589996,143.690002,3088000,142.779055
31/07/2015,143.759995,144.919998,143.289993,144.169998,3163500,143.256008
30/07/2015,143.350006,143.919998,142.210007,143.009995,2644000,142.103358
29/07/2015,142.479996,144.610001,142.369995,144.139999,3260400,143.226199
28/07/2015,141.610001,142.169998,139.509995,141.809998,4138200,140.910969
27/07/2015,143.220001,143.350006,140.800003,141.029999,3532100,140.135915
24/07/2015,145.809998,146.470001,143.979996,144.059998,2455000,143.146705
23/07/2015,147,147.949997,145.789993,146.110001,4116000,145.183712
22/07/2015,148.899994,149.179993,145.110001,146.470001,6238400,145.54143
21/07/2015,146.589996,146.589996,144.220001,145,4452600,144.080748
20/07/2015,147.110001,147.199997,145.910004,146.720001,3016100,145.789845
17/07/2015,147.25,147.440002,146.020004,146.839996,3127100,145.909079
16/07/2015,147.789993,148.800003,147.770004,148.490005,2509600,147.548628
15/07/2015,147.75,147.75,146.479996,146.889999,2653900,145.958765
14/07/2015,146.759995,148.300003,146.449997,147.75,3388800,146.813314
13/07/2015,145.960007,146.75,145.600006,146.619995,2194200,145.690473
10/07/2015,144.139999,145.190002,143.869995,144.479996,2192100,143.56404
09/07/2015,143.889999,144.199997,142.729996,142.800003,2486800,141.894698
08/07/2015,142.5,143.149994,141.520004,141.919998,3386500,141.020272
07/07/2015,140.800003,143.440002,140.139999,143.149994,3712000,142.24247
06/07/2015,139.020004,140.729996,139,140.520004,2093400,139.629154
02/07/2015,141.289993,141.520004,139.880005,140.210007,2116500,139.321122
01/07/2015,140.479996,141.139999,140.020004,140.729996,3260900,139.837814
30/06/2015,140.059998,140.059998,138.440002,138.720001,3434800,137.840562
29/06/2015,140.960007,141.320007,138.580002,138.729996,3755500,137.850493
26/06/2015,143.029999,143.039993,141.889999,142.479996,3153300,141.57672
25/06/2015,143.270004,143.759995,142.339996,142.449997,2153800,141.546911
24/06/2015,143.759995,144.800003,142.509995,143,3989100,142.093427
23/06/2015,146.330002,146.449997,143.800003,144.429993,2864400,143.514354
22/06/2015,146.070007,146.210007,145.089996,145.699997,2086100,144.776307
19/06/2015,145.190002,146.100006,144.949997,145.130005,4837300,144.209929
18/06/2015,143.910004,146.529999,143.910004,145.380005,3728900,144.458344
17/06/2015,142.869995,144,141.899994,143.429993,2775400,142.520694
16/06/2015,141.419998,143.580002,141.419998,142.339996,2450600,141.437608
15/06/2015,142.039993,142.589996,141.279999,142.289993,2631400,141.387922
12/06/2015,142.619995,142.860001,141.089996,142.800003,2395200,141.894698
11/06/2015,142.009995,143.979996,141.75,142.960007,2924500,142.053688
10/06/2015,140.679993,142.600006,140.289993,141.619995,2784400,140.722171
09/06/2015,140.5,140.990005,139.899994,140.100006,2647600,139.211818
08/06/2015,140.240005,141.350006,140.199997,140.639999,2756600,139.748388
05/06/2015,141.039993,141.369995,140.050003,140.729996,3215600,139.837814
04/06/2015,143.220001,143.229996,140.949997,141.190002,3239500,140.294905
03/06/2015,143.779999,145.059998,142.889999,143.809998,3755800,142.89829
02/06/2015,141.440002,144.460007,140.630005,143.25,4986500,142.341842
01/06/2015,141.449997,142.050003,140.270004,141.25,3897000,140.354522
29/05/2015,142.259995,142.259995,140.320007,140.520004,6199200,139.629154
28/05/2015,142.509995,145.289993,141.580002,142.330002,3103200,141.427677
27/05/2015,143.419998,143.75,142.580002,143,2837100,142.093427
26/05/2015,144.339996,144.429993,142.160004,142.800003,3476800,141.894698
22/05/2015,147.259995,147.270004,144.800003,144.809998,3878000,143.89195
21/05/2015,146.559998,147.710007,146.100006,147.350006,2676400,146.415856
20/05/2015,147.139999,147.339996,146.100006,146.419998,2104000,145.491744
19/05/2015,147.179993,147.770004,146.729996,147.050003,2366400,146.117755
18/05/2015,146.880005,147.240005,146.300003,146.710007,2153200,145.779914
15/05/2015,148.050003,148.300003,146.339996,146.880005,3368900,145.948834
14/05/2015,146.880005,148.25,146.649994,147.960007,3495800,147.021989
13/05/2015,145.410004,146.529999,145.100006,145.619995,2679400,144.696813
