id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-10,TP-SMA-20
0,29/09/2015,128.110001,129.150,127.470,128.750,2926800,128.750,128.750,128.457
1,28/09/2015,130.440002,130.480,128.030,128.130,4104000,128.208,128.164,128.859
2,25/09/2015,131.570007,131.730,129.280,131.010,4132600,130.367,130.662,130.473
3,24/09/2015,130.720001,130.770,127.180,129.750,5250400,129.580,129.574,129.249
4,23/09/2015,134.660004,135.000,131.610,131.670,4891300,130.540,130.709,132.070
5,22/09/2015,134.490005,134.490,132.520,133.990,3439800,131.410,131.489,132.750
6,21/09/2015,136.419998,137.450,134.940,136.020,2444900,131.918,131.424,134.479
7,18/09/2015,135.75,137.690,134.400,136.090,7240000,131.926,130.514,134.429
8,17/09/2015,137.360001,139.910,136.940,137.450,3362200,133.014,131.461,135.653
9,16/09/2015,136.259995,137.430,136.010,137.200,2492600,134.147,132.799,134.982
10,15/09/2015,134.520004,137.000,134.520,136.300,3737200,134.809,133.643,134.512
11,14/09/2015,134.720001,135.130,133.730,134.430,2386800,135.394,134.897,133.833
12,11/09/2015,133.160004,134.860,132.890,134.670,2611800,135.769,135.808,133.717
13,10/09/2015,132.339996,134.570,132.270,133.550,2929500,135.714,136.191,133.480
14,09/09/2015,135.589996,136.250,132.210,132.650,4695100,135.292,136.029,133.552
15,08/09/2015,132.270004,133.990,132.000,133.820,3444000,135.009,135.789,133.444
16,04/09/2015,129.550003,130.490,128.660,129.760,3738600,134.047,135.033,132.717
17,03/09/2015,132.309998,132.350,130.480,131.020,3342800,133.275,134.161,132.964
18,02/09/2015,128.710007,130.670,127.740,130.630,4754800,132.566,133.331,132.804
19,01/09/2015,128.160004,128.990,126.940,127.440,5812000,131.693,132.723,132.709
20,31/08/2015,132.369995,132.700,130.390,130.680,4150800,131.194,131.950,132.849
21,28/08/2015,131.429993,133.720,130.860,133.240,4502100,131.155,131.418,133.036
22,27/08/2015,131.080002,132.360,129.460,131.870,5719200,131.058,131.064,133.063
23,26/08/2015,129.339996,129.760,125.230,129.340,6333100,130.497,130.326,133.007
24,25/08/2015,130,130.720,125.430,125.490,7123600,129.964,130.371,132.730
25,24/08/2015,123.639999,135.500,115.140,127.190,9355200,129.485,130.030,132.344
26,21/08/2015,134.880005,135.090,131.460,131.710,7881100,129.620,129.805,132.175
27,20/08/2015,141.619995,141.900,136.900,137.020,6577300,130.817,130.556,132.302
28,19/08/2015,143.419998,144.480,142.320,142.720,2957600,132.323,130.921,132.556
29,18/08/2015,144.389999,145.210,143.820,144.600,1952200,133.743,131.032,132.939
30,17/08/2015,144.600006,144.860,142.930,144.440,3740800,135.314,131.798,133.346
31,14/08/2015,144.610001,145.470,143.760,145.090,2924000,137.283,133.563,133.863
32,13/08/2015,142.029999,145.450,141.530,144.810,5100700,139.698,136.720,134.352
33,12/08/2015,142.550003,143.010,139.860,142.430,4355800,141.603,139.923,134.767
34,11/08/2015,144.139999,144.930,143.280,144.050,2811200,143.145,142.464,135.287
35,10/08/2015,143.789993,146.770,143.780,145.860,3403700,144.250,144.071,135.897
36,07/08/2015,143.220001,143.840,141.700,142.420,2845100,144.212,144.402,136.547
37,06/08/2015,144.699997,145.250,143.420,143.820,2457000,144.115,144.294,137.191
38,05/08/2015,143.899994,145.600,143.770,144.950,2926100,144.179,144.236,137.946
39,04/08/2015,143.550003,144.870,143.040,143.540,1973000,143.985,143.991,138.747
40,03/08/2015,144.440002,144.750,142.590,143.690,3088000,143.845,143.776,139.368
41,31/07/2015,143.759995,144.920,143.290,144.170,3163500,144.062,144.139,139.944
42,30/07/2015,143.350006,143.920,142.210,143.010,2644000,143.932,144.113,140.535
43,29/07/2015,142.479996,144.610,142.370,144.140,3260400,143.717,143.637,141.315
44,28/07/2015,141.610001,142.170,139.510,141.810,4138200,143.641,143.908,142.012
45,27/07/2015,143.220001,143.350,140.800,141.030,3532100,143.292,143.791,142.802
46,24/07/2015,145.809998,146.470,143.980,144.060,2455000,143.181,143.398,143.406
47,23/07/2015,147,147.950,145.790,146.110,4116000,143.502,143.390,143.806
48,22/07/2015,148.899994,149.180,145.110,146.470,6238400,143.850,143.425,143.994
49,21/07/2015,146.589996,146.590,144.220,145.000,4452600,143.954,143.377,144.030
50,20/07/2015,147.110001,147.200,145.910,146.720,3016100,144.417,143.690,144.157
51,17/07/2015,147.25,147.440,146.020,146.840,3127100,144.755,143.827,144.256
52,16/07/2015,147.789993,148.800,147.770,148.490,2509600,145.590,144.667,144.477
53,15/07/2015,147.75,147.750,146.480,146.890,2653900,146.323,145.843,144.741
54,14/07/2015,146.759995,148.300,146.450,147.750,3388800,146.784,146.448,144.912
55,13/07/2015,145.960007,146.750,145.600,146.620,2194200,146.847,146.612,144.954
56,10/07/2015,144.139999,145.190,143.870,144.480,2192100,146.599,146.641,145.047
57,09/07/2015,143.889999,144.200,142.730,142.800,2486800,146.324,146.935,145.001
58,08/07/2015,142.5,143.150,141.520,141.920,3386500,145.724,146.713,144.873
59,07/07/2015,140.800003,143.440,140.140,143.150,3712000,145.262,146.363,144.794
60,06/07/2015,139.020004,140.730,139.000,140.520,2093400,144.266,145.424,144.614
61,02/07/2015,141.289993,141.520,139.880,140.210,2116500,143.431,144.656,144.435
62,01/07/2015,140.479996,141.140,140.020,140.730,3260900,142.554,143.501,144.314
63,30/06/2015,140.059998,140.060,138.440,138.720,3434800,141.566,142.378,144.082
64,29/06/2015,140.960007,141.320,138.580,138.730,3755500,140.847,141.571,144.001
65,26/06/2015,143.029999,143.040,141.890,142.480,3153300,140.807,141.128,144.038
66,25/06/2015,143.270004,143.760,142.340,142.450,2153800,140.874,140.895,143.939
67,24/06/2015,143.759995,144.800,142.510,143.000,3989100,140.855,140.385,143.780
68,23/06/2015,146.330002,146.450,143.800,144.430,2864400,141.344,140.568,143.679
69,22/06/2015,146.070007,146.210,145.090,145.700,2086100,142.030,140.973,143.699
70,19/06/2015,145.190002,146.100,144.950,145.130,4837300,142.580,141.384,143.638
71,18/06/2015,143.910004,146.530,143.910,145.380,3728900,143.412,142.427,143.563
