Date,xCPIAUCSL
1/1/2006,199.300
2/1/2006,199.400
3/1/2006,199.700
4/1/2006,200.700
5/1/2006,201.300
6/1/2006,201.800
7/1/2006,202.900
8/1/2006,203.800
9/1/2006,202.800
10/1/2006,201.900
11/1/2006,202.000
12/1/2006,203.100
1/1/2007,203.437
2/1/2007,204.226
3/1/2007,205.288
4/1/2007,205.904
5/1/2007,206.755
6/1/2007,207.234
7/1/2007,207.603
8/1/2007,207.667
9/1/2007,208.547
10/1/2007,209.190
11/1/2007,210.834
12/1/2007,211.445
1/1/2008,212.174
2/1/2008,212.687
3/1/2008,213.448
4/1/2008,213.942
5/1/2008,215.208
6/1/2008,217.463
7/1/2008,219.016
8/1/2008,218.690
9/1/2008,218.877
10/1/2008,216.995
11/1/2008,213.153
12/1/2008,211.398
1/1/2009,211.933
2/1/2009,212.705
3/1/2009,212.495
4/1/2009,212.709
5/1/2009,213.022
6/1/2009,214.790
7/1/2009,214.726
8/1/2009,215.445
9/1/2009,215.861
10/1/2009,216.509
11/1/2009,217.234
12/1/2009,217.347
1/1/2010,217.488
2/1/2010,217.281
3/1/2010,217.353
4/1/2010,217.403
5/1/2010,217.290
6/1/2010,217.199
7/1/2010,217.605
8/1/2010,217.923
9/1/2010,218.275
10/1/2010,219.035
11/1/2010,219.590
12/1/2010,220.472
1/1/2011,221.148
2/1/2011,221.904
3/1/2011,223.044
4/1/2011,224.060
5/1/2011,224.869
6/1/2011,224.841
7/1/2011,225.419
8/1/2011,226.082
9/1/2011,226.676
10/1/2011,226.811
11/1/2011,227.157
12/1/2011,227.145
1/1/2012,227.759
2/1/2012,228.285
3/1/2012,228.866
4/1/2012,229.172
5/1/2012,228.785
6/1/2012,228.626
7/1/2012,228.584
8/1/2012,229.911
9/1/2012,231.104
10/1/2012,231.741
11/1/2012,231.202
12/1/2012,231.165
1/1/2013,231.444
2/1/2013,232.803
3/1/2013,232.245
4/1/2013,231.672
5/1/2013,231.990
6/1/2013,232.583
7/1/2013,232.980
8/1/2013,233.413
9/1/2013,233.773
10/1/2013,233.903
11/1/2013,234.038
12/1/2013,234.697
1/1/2014,235.128
2/1/2014,235.356
3/1/2014,235.790
4/1/2014,236.240
5/1/2014,236.950
6/1/2014,237.348
7/1/2014,237.596
8/1/2014,237.409
9/1/2014,237.626
10/1/2014,237.753
11/1/2014,237.067
12/1/2014,236.284
1/1/2015,234.677
2/1/2015,235.186
3/1/2015,235.740
4/1/2015,235.982
5/1/2015,237.031
6/1/2015,237.786
7/1/2015,238.099
8/1/2015,237.931
9/1/2015,237.566
10/1/2015,238.042
11/1/2015,238.111
