Date,HOUST
1/1/2006,2273
2/1/2006,2119
3/1/2006,1969
4/1/2006,1821
5/1/2006,1942
6/1/2006,1802
7/1/2006,1737
8/1/2006,1650
9/1/2006,1720
10/1/2006,1491
11/1/2006,1570
12/1/2006,1649
1/1/2007,1409
2/1/2007,1480
3/1/2007,1495
4/1/2007,1490
5/1/2007,1415
6/1/2007,1448
7/1/2007,1354
8/1/2007,1330
9/1/2007,1183
10/1/2007,1264
11/1/2007,1197
12/1/2007,1037
1/1/2008,1084
2/1/2008,1103
3/1/2008,1005
4/1/2008,1013
5/1/2008,973
6/1/2008,1046
7/1/2008,923
8/1/2008,844
9/1/2008,820
10/1/2008,777
11/1/2008,652
12/1/2008,560
1/1/2009,490
2/1/2009,582
3/1/2009,505
4/1/2009,478
5/1/2009,540
6/1/2009,585
7/1/2009,594
8/1/2009,586
9/1/2009,585
10/1/2009,534
11/1/2009,588
12/1/2009,581
1/1/2010,614
2/1/2010,604
3/1/2010,636
4/1/2010,687
5/1/2010,583
6/1/2010,536
7/1/2010,546
8/1/2010,599
9/1/2010,594
10/1/2010,543
11/1/2010,545
12/1/2010,539
1/1/2011,630
2/1/2011,517
3/1/2011,600
4/1/2011,554
5/1/2011,561
6/1/2011,608
7/1/2011,623
8/1/2011,585
9/1/2011,650
10/1/2011,610
11/1/2011,711
12/1/2011,694
1/1/2012,723
2/1/2012,704
3/1/2012,695
4/1/2012,753
5/1/2012,708
6/1/2012,757
7/1/2012,740
8/1/2012,754
9/1/2012,847
10/1/2012,915
11/1/2012,833
12/1/2012,976
1/1/2013,888
2/1/2013,970
3/1/2013,999
4/1/2013,826
5/1/2013,920
6/1/2013,852
7/1/2013,891
8/1/2013,898
9/1/2013,860
10/1/2013,921
11/1/2013,1104
12/1/2013,1010
1/1/2014,888
2/1/2014,951
3/1/2014,963
4/1/2014,1039
5/1/2014,986
6/1/2014,927
7/1/2014,1095
8/1/2014,966
9/1/2014,1026
10/1/2014,1079
11/1/2014,1007
12/1/2014,1080
1/1/2015,1080
2/1/2015,900
3/1/2015,954
4/1/2015,1190
5/1/2015,1072
6/1/2015,1211
7/1/2015,1152
8/1/2015,1116
9/1/2015,1207
10/1/2015,1062
11/1/2015,1173
