Date,IC4WSA
1/7/2006,315000
1/14/2006,308250
1/21/2006,300750
1/28/2006,295750
2/4/2006,286500
2/11/2006,289750
2/18/2006,288000
2/25/2006,290750
3/4/2006,294000
3/11/2006,296250
3/18/2006,301250
3/25/2006,301750
4/1/2006,299000
4/8/2006,297000
4/15/2006,296000
4/22/2006,299250
4/29/2006,306750
5/6/2006,318750
5/13/2006,327750
5/20/2006,330500
5/27/2006,332750
6/3/2006,322750
6/10/2006,313500
6/17/2006,310750
6/24/2006,305500
7/1/2006,307750
7/8/2006,319000
7/15/2006,321500
7/22/2006,320750
7/29/2006,319500
8/5/2006,313250
8/12/2006,311250
8/19/2006,313500
8/26/2006,314250
9/2/2006,313500
9/9/2006,314500
9/16/2006,316750
9/23/2006,318000
9/30/2006,316500
10/7/2006,317000
10/14/2006,312250
10/21/2006,310750
10/28/2006,315500
11/4/2006,316250
11/11/2006,317750
11/18/2006,321000
11/25/2006,326250
12/2/2006,328250
12/9/2006,328250
12/16/2006,326250
12/23/2006,319750
12/30/2006,323250
1/6/2007,328000
1/13/2007,322500
1/20/2007,325500
1/27/2007,317250
2/3/2007,312250
2/10/2007,322750
2/17/2007,319250
2/24/2007,322750
3/3/2007,325250
3/10/2007,317750
3/17/2007,314750
3/24/2007,310000
3/31/2007,306750
4/7/2007,312750
4/14/2007,317250
4/21/2007,321750
4/28/2007,320250
5/5/2007,312250
5/12/2007,304750
5/19/2007,302000
5/26/2007,304250
6/2/2007,307500
6/9/2007,311500
6/16/2007,314000
6/23/2007,314750
6/30/2007,315750
7/7/2007,317750
7/14/2007,317000
7/21/2007,316250
7/28/2007,313250
8/4/2007,311500
8/11/2007,311250
8/18/2007,314000
8/25/2007,320000
9/1/2007,320000
9/8/2007,321250
9/15/2007,319250
9/22/2007,312500
9/29/2007,313250
10/6/2007,312000
10/13/2007,317500
10/20/2007,325500
10/27/2007,328250
11/3/2007,331000
11/10/2007,330500
11/17/2007,330000
11/24/2007,336000
12/1/2007,340250
12/8/2007,340000
12/15/2007,344500
12/22/2007,345250
12/29/2007,349250
1/5/2008,352750
1/12/2008,345750
1/19/2008,337250
1/26/2008,338750
2/2/2008,339750
2/9/2008,345250
2/16/2008,349750
2/23/2008,346750
3/1/2008,345500
3/8/2008,346500
3/15/2008,354000
3/22/2008,357500
3/29/2008,368000
4/5/2008,369500
4/12/2008,368500
4/19/2008,363750
4/26/2008,359500
5/3/2008,363500
5/10/2008,363750
5/17/2008,368250
5/24/2008,368000
5/31/2008,366000
6/7/2008,370000
6/14/2008,372750
6/21/2008,375750
6/28/2008,383250
7/5/2008,380500
7/12/2008,382250
7/19/2008,387500
7/26/2008,398000
8/2/2008,417250
8/9/2008,428500
8/16/2008,434000
8/23/2008,430750
8/30/2008,429250
9/6/2008,432000
9/13/2008,438250
9/20/2008,453750
9/27/2008,464000
10/4/2008,474250
10/11/2008,477250
10/18/2008,476000
10/25/2008,475250
11/1/2008,477250
11/8/2008,490000
11/15/2008,504500
11/22/2008,517500
11/29/2008,527250
12/6/2008,541750
12/13/2008,549250
12/20/2008,563000
12/27/2008,564000
1/3/2009,547250
1/10/2009,543500
1/17/2009,544500
1/24/2009,557750
1/31/2009,589250
2/7/2009,610750
2/14/2009,621000
2/21/2009,638250
2/28/2009,644000
3/7/2009,649750
3/14/2009,654500
3/21/2009,656000
3/28/2009,659250
4/4/2009,657500
4/11/2009,644500
4/18/2009,639000
4/25/2009,627750
5/2/2009,615000
5/9/2009,621500
5/16/2009,616750
5/23/2009,613250
5/30/2009,614500
6/6/2009,607250
6/13/2009,601000
6/20/2009,601500
6/27/2009,598250
7/4/2009,592500
7/11/2009,580250
7/18/2009,568250
7/25/2009,566500
8/1/2009,562000
8/8/2009,564250
8/15/2009,564750
8/22/2009,558000
8/29/2009,560250
9/5/2009,561000
9/12/2009,556000
9/19/2009,550000
9/26/2009,547500
10/3/2009,541250
10/10/2009,533500
