Date,PSAVERT
1/1/2006,3.8
2/1/2006,3.8
3/1/2006,3.8
4/1/2006,3.4
5/1/2006,3.2
6/1/2006,3.4
7/1/2006,2.9
8/1/2006,3.0
9/1/2006,3.0
10/1/2006,3.1
11/1/2006,3.2
12/1/2006,3.0
1/1/2007,3.0
2/1/2007,3.3
3/1/2007,3.6
4/1/2007,3.2
5/1/2007,3.0
6/1/2007,2.8
7/1/2007,2.8
8/1/2007,2.6
9/1/2007,2.8
10/1/2007,2.8
11/1/2007,2.5
12/1/2007,3.0
1/1/2008,3.3
2/1/2008,3.8
3/1/2008,3.9
4/1/2008,3.5
5/1/2008,7.9
6/1/2008,5.5
7/1/2008,4.4
8/1/2008,3.7
9/1/2008,4.4
10/1/2008,5.4
11/1/2008,6.2
12/1/2008,6.4
1/1/2009,6.4
2/1/2009,5.9
3/1/2009,6.1
4/1/2009,6.7
5/1/2009,8.1
6/1/2009,6.6
7/1/2009,6.0
8/1/2009,4.9
9/1/2009,5.9
10/1/2009,5.4
11/1/2009,5.7
12/1/2009,5.7
1/1/2010,5.6
2/1/2010,5.2
3/1/2010,5.0
4/1/2010,5.6
5/1/2010,6.0
6/1/2010,5.9
7/1/2010,5.9
8/1/2010,5.8
9/1/2010,5.6
10/1/2010,5.4
11/1/2010,5.3
12/1/2010,5.9
1/1/2011,6.3
2/1/2011,6.4
3/1/2011,6.1
4/1/2011,5.8
5/1/2011,5.9
6/1/2011,6.1
7/1/2011,6.2
8/1/2011,6.2
9/1/2011,5.7
10/1/2011,5.5
11/1/2011,5.6
12/1/2011,6.4
1/1/2012,6.6
2/1/2012,6.7
3/1/2012,7.0
4/1/2012,7.2
5/1/2012,7.3
6/1/2012,7.6
7/1/2012,7.1
8/1/2012,7.1
9/1/2012,7.2
10/1/2012,7.8
11/1/2012,8.8
12/1/2012,11.0
1/1/2013,4.6
2/1/2013,4.6
3/1/2013,4.7
4/1/2013,4.7
5/1/2013,5.0
6/1/2013,5.1
7/1/2013,5.0
8/1/2013,5.2
9/1/2013,5.0
10/1/2013,4.5
11/1/2013,4.4
12/1/2013,4.3
1/1/2014,5.1
2/1/2014,5.0
3/1/2014,4.9
4/1/2014,4.8
5/1/2014,4.9
6/1/2014,4.8
7/1/2014,4.8
8/1/2014,4.6
9/1/2014,4.6
10/1/2014,4.5
11/1/2014,4.6
12/1/2014,5.0
1/1/2015,5.3
2/1/2015,5.4
3/1/2015,4.9
4/1/2015,5.1
5/1/2015,4.8
6/1/2015,5.0
7/1/2015,5.1
8/1/2015,5.2
9/1/2015,5.2
10/1/2015,5.6
11/1/2015,5.5
