Date,xA191RL1Q225SBEA
1/1/2006,4.9
4/1/2006,1.2
7/1/2006,0.4
10/1/2006,3.2
1/1/2007,0.2
4/1/2007,3.1
7/1/2007,2.7
10/1/2007,1.4
1/1/2008,-2.7
4/1/2008,2.0
7/1/2008,-1.9
10/1/2008,-8.2
1/1/2009,-5.4
4/1/2009,-0.5
7/1/2009,1.3
10/1/2009,3.9
1/1/2010,1.7
4/1/2010,3.9
7/1/2010,2.7
10/1/2010,2.5
1/1/2011,-1.5
4/1/2011,2.9
7/1/2011,0.8
10/1/2011,4.6
1/1/2012,2.7
4/1/2012,1.9
7/1/2012,0.5
10/1/2012,0.1
1/1/2013,1.9
4/1/2013,1.1
7/1/2013,3.0
10/1/2013,3.8
1/1/2014,-0.9
4/1/2014,4.6
7/1/2014,4.3
10/1/2014,2.1
1/1/2015,0.6
4/1/2015,3.9
