id,Actual,SVM,ANN
0,129.09,66.8056371604,70.8253061967
1,126.79,67.1201127833,70.8347359896
2,126.79,65.0591128944,70.7121917394
3,126.79,64.0612071093,64.109829741
4,128.09,64.1933677564,65.0895418583
5,129.52,64.8367454806,70.8223534106
6,129.1,66.8599554014,70.8696334697
7,127.42,66.1887400917,70.8412383175
8,125.88,64.5254022428,70.8330256498
9,127.64,62.6910790788,61.2261647764
10,128.3,64.3494591427,70.7970170172
11,129.74,65.0024412991,70.8292024847
12,126.71,66.7745938788,71.5580602792
13,124.4,64.5410661499,70.8331692606
14,123.2,63.8982592702,68.9767991339
15,123.06,64.7549080363,59.644461399
16,122.32,65.4441231955,58.5653055154
17,122.29,65.7453502857,54.5878799065
18,120.48,66.9915811786,54.5826998062
19,120.38,71.168051508,54.5800039689
20,119.93,70.6500477291,49.2750383603
21,121.27,71.0781293168,49.2784583286
22,118.34,68.5462807954,49.3143249932
23,119.84,72.9099163081,49.2714672323
24,120.63,71.4696634152,49.2715999633
25,120.8,69.8782738785,49.2729122418
26,120.47,66.7881108212,49.3083675737
27,121.98,66.7762372767,49.2961748663
28,124.11,64.2652029818,50.0783887105
29,123.16,63.6754546768,57.8667726464
30,124.98,62.2894261978,54.8035452017
31,125.58,62.3039891499,69.4083878933
32,127.35,62.9952013936,70.4888367855
33,127.5,65.0716518304,70.4887706559
34,127.46,64.7244655138,70.4652186752
35,128.33,64.5363338019,70.4886793465
36,128.6,76.4418340947,69.4805320151
37,128.2,65.5062594463,70.2447520063
38,127.11,64.8995058532,70.4806713433
39,126.8,62.693764882,70.4887500941
40,125.48,61.6375587348,70.4885955044
41,125.94,58.8874157074,70.4114630231
42,125.46,59.359629206,70.4528799047
43,124.69,59.1552742552,70.3802358494
44,127.98,59.15779549,56.9089634371
45,128.21,61.5341807667,69.2650552182
46,128.22,62.0875143576,69.2651855668
47,127.64,61.6561549334,69.2651963431
48,126.95,61.1061858048,69.2645324706
49,126.31,61.1248407727,54.6161445635
50,127.32,63.082213426,54.5728581049
51,127.76,62.5657445727,54.5826261374
52,128.58,62.5950948164,69.2721186595
53,129.35,63.1951617498,70.4877629993
54,128.61,62.8503995218,70.3289637277
55,127.38,62.7189382812,70.4885832619
56,128.58,61.1681316194,64.8932428924
57,127.14,61.4677546651,70.4720152537
58,128.69,60.4590883438,60.893621868
59,128.77,61.5431412377,70.3428144198
60,127.38,63.066930978,70.4666976714
61,124.67,62.1249895023,70.6357557704
62,124.17,71.6580117106,49.271027403
63,126.36,74.8660114654,49.2711103997
64,126.26,73.6258087939,49.2711089356
65,123.32,76.953000672,49.2711035363
66,124.98,80.0937803488,49.2711017107
67,122.76,80.287086389,49.2710851137
68,121.5,80.5054147283,49.2711056428
69,120.45,80.7368266365,49.2711085466
70,122.29,80.3203987854,51.8499853376
71,120.19,81.2067233301,49.2711089851
72,120.29,80.6682799544,49.2711069884
73,123.24,80.9121960774,49.2711095367
74,124.31,80.9342731123,49.2711101327
75,127.12,80.402261694,49.2711103007
76,121.45,77.8227099417,49.2846724221
77,122.03,78.3227011113,49.2711085127
78,122.24,79.0887387246,49.2711101618
79,122.12,75.755381709,49.2711105335
80,123.61,79.2222060105,49.2711093646
81,123.08,75.0475120269,49.2796756207
82,123.82,74.1268215113,51.1877780939
83,124.91,71.5217557486,51.3644346756
84,126.03,70.498359545,59.6234110003
85,125.84,65.4175695527,61.8527525179
86,124.22,67.7782112725,61.849832248
87,124.58,71.0927529874,55.9921807723
88,124.45,71.8642472684,51.3295600836
89,124.64,75.5858374173,49.4187479982
90,125.36,70.3012703742,51.321725222
91,125.87,80.0589475145,61.6649496559
92,128.53,70.2873551142,55.3837628655
93,128.86,67.584906288,61.8513171221
94,128.42,67.4174059046,61.8553339624
95,130.66,66.2817055703,61.8529722699
96,131.61,68.6451811412,70.9931527275
97,131.7,69.9349423149,73.0823603828
98,132.78,69.3284249926,73.0822959517
99,134.61,70.467135998,73.2210057666
100,134.81,72.5049373928,74.2134003469
101,134.78,72.976567027,74.2165013554
102,134.36,72.6638061628,74.217216282
103,132.39,71.3242417537,73.5418574136
104,132.28,67.4985454537,69.940248594
105,131.97,72.1140072323,73.9040813047
106,131.32,71.7144966425,59.735733089
107,132.21,71.000994836,52.4532682247
108,130.28,71.9275452936,52.9856129579
109,129.66,70.5285901953,49.2475297503
110,124.64,73.4539912658,49.2339115755
111,123.37,76.1290890623,49.2631935835
112,120.77,80.8268417325,50.109642353
113,122.08,84.1153906684,51.3932710404
114,124.25,83.5572842719,50.4777478729
115,125.06,80.8634248386,49.2789318312
116,125.67,78.8590149978,49.2646272794
117,126.23,75.5038321204,49.260207152
118,128.22,75.4200121447,49.265593661
119,130.03,74.2238667107,49.2673470076
120,131.24,71.7940736494,49.2780184896
121,131.63,71.6789588127,55.8113534439
122,132.29,79.3179672854,65.3397285862
123,131.83,73.2771815103,74.2072478184
124,129.98,72.5813552477,74.2022113935
125,129.95,71.2502583361,70.6987486936
126,129.05,72.1162474981,62.3302857126
127,127.53,70.729813356,61.6057862013
128,129.51,70.4664514799,51.0966065921
129,131.8,72.7327447496,51.0977113179
130,131.54,75.9266216631,53.324061542
131,130.87,76.7114927653,49.1883112074
132,131.17,76.230971447,49.2710456694
133,130.38,75.9688145989,49.2709999592
134,130.14,76.0136039763,49.2710997768
135,130.78,76.8277474287,49.271062209
