id,Actual,SVM,ANN
0,44.3,27.2928724122,25.6015081287
1,44.24,26.5729162594,25.2550337832
2,44.52,26.1684539649,24.6572419684
3,44.61,26.9441934979,25.3715913202
4,45.54,26.9342197697,25.4677570635
5,45.62,28.092489684,25.7614588403
6,45.76,28.8676395387,26.0918604329
7,46.66,28.7456763796,26.1497484053
8,46.62,30.2379202877,26.5707851541
9,46.92,30.0170866471,26.607939113
10,47.28,31.0249075701,26.7009792098
11,45.54,31.1633881381,26.8685738065
12,46.11,30.7168031559,26.4004641821
13,45.94,32.0136356952,26.6888630054
14,45.35,32.3995963495,26.7212621572
15,45.34,31.7386311218,26.3875215122
16,46.29,29.9452184183,26.0279030678
17,46.88,30.6914379534,26.1840412171
18,46.7,31.1382541703,26.354522613
19,46.81,29.0968685559,26.2124957086
20,47.54,28.4162896944,25.9292138575
21,47.58,28.8578059273,26.0790300861
22,46.62,29.0659861568,26.8092889331
23,46.74,29.1135230224,26.0050726813
24,47.33,29.1527840682,25.8941486571
25,46.41,29.7695142411,26.5565632047
26,46.74,29.910821002,25.9183584527
27,46.73,29.6436220515,26.1274514033
28,47.0,30.2161831283,26.2804989377
29,47.32,29.9744097984,26.4807945326
30,47.27,26.9289738863,26.8217064049
31,46.61,27.0765950074,26.4420774021
32,45.66,26.9356667265,26.1423719724
33,43.07,26.5357189457,25.479928043
34,41.68,28.2942576274,24.5216931451
35,40.47,30.4343749759,24.0378575853
36,42.71,31.0137414839,24.0579297475
37,43.9,31.4943948644,24.1440636452
38,43.93,31.3487659353,24.3088916024
39,43.52,29.6822425898,24.9862598884
40,41.82,30.0945954862,24.3638118639
41,43.36,28.7802965236,25.646949633
42,43.5,28.9859225827,25.6519645259
43,42.61,28.2792264247,25.674175381
44,43.89,28.2767133434,25.6414448334
45,43.07,27.4043797286,25.691123249
46,43.29,26.9426859203,25.6819805399
47,43.48,26.5341412894,25.6861240829
48,43.04,26.1028211186,25.6899338023
49,43.98,26.7909703472,25.6858615137
50,44.3,27.287701844,25.7015459802
51,44.25,27.5677632375,25.7949376824
52,43.48,27.128386404,25.7774876903
53,44.11,26.1981342918,25.6965393271
54,43.9,26.7770686484,25.7434067456
55,43.87,26.4955541551,25.6979585834
56,43.91,27.0684681529,25.6992938678
57,43.94,26.4822109127,25.7007874507
58,43.29,26.4399632596,25.7247937001
59,43.44,26.8569075703,25.6838519865
60,44.26,26.842861176,25.6869017008
61,44.61,26.5715459539,25.7081060672
62,45.57,26.6376217482,25.7468155983
63,46.63,29.7104490161,25.0909231336
64,46.75,31.8015572555,25.4837860772
65,46.8,32.3065130426,26.184282271
66,47.45,31.4728616718,27.1312562624
67,47.11,30.5711335951,27.7871854161
68,47.0,30.8290422693,28.2051351052
69,46.89,30.0005985148,27.2632379101
70,46.68,33.1689297842,27.5101044609
71,47.01,33.7853961103,27.1029768049
72,47.51,32.6335291705,28.0596896557
73,47.62,32.3830181246,28.5741615097
74,47.77,33.0561250302,28.8361489426
75,47.2,32.9539414361,28.8096938162
76,48.03,34.3375604357,28.2308183795
77,52.87,33.2957723387,29.0633458458
78,54.25,29.722390353,31.2433540601
79,53.69,29.7037067283,31.4558327281
80,53.98,29.6691600957,31.4185134514
81,53.36,29.202341193,31.6335827549
82,52.64,29.4278562389,31.672678918
83,53.24,29.8371295279,31.6427888906
84,54.15,35.2619754026,31.8012849164
85,54.4,34.3305159587,31.805525335
86,54.38,34.093897584,31.8068550841
87,54.92,34.2342749486,31.775405794
88,54.16,35.3045959313,31.7718040094
89,53.51,33.5703943319,31.7772250151
90,53.65,35.1655457341,31.743616076
91,53.32,30.6260139529,31.5545793199
92,52.84,38.600191088,31.6864330004
93,53.77,40.0715919191,31.6048722875
94,52.97,38.6777059332,31.5920623702
95,53.85,39.274480419,31.5939437022
96,53.94,37.4302040253,31.7001324471
97,54.19,37.0030111027,31.7255182371
98,54.19,37.1906654798,31.729346773
99,54.25,37.6963874153,31.7247556775
100,53.69,35.799573912,31.7673540904
101,53.93,37.5739855402,31.724372079
102,54.35,35.8511533096,31.760817817
103,55.22,35.5841814069,31.7933736285
104,55.21,35.2668130724,31.8059496725
105,54.2,34.4776804187,31.7847210926
106,55.91,33.818676069,31.7353283788
107,55.81,33.9421594168,31.7688574472
108,55.79,33.6156840186,31.7771307432
109,54.98,34.3051234123,31.7447953172
110,55.27,34.9678554243,31.6971841542
111,54.06,34.7660568338,31.6984863315
112,55.14,34.5774367998,31.5772291551
113,55.2,34.6096745696,31.5895300765
114,56.13,33.8425805864,31.6808747366
115,55.7,33.9115966452,31.6882718485
116,54.13,33.3309644537,31.6623560459
117,54.83,33.0109347053,31.5872890749
118,55.35,32.7994629558,31.6021593925
119,55.82,32.534021787,31.6312586775
120,55.67,32.4909042965,31.6576649046
121,55.95,32.5788012352,31.6664591852
122,56.55,30.2588217741,31.5163455055
123,56.31,31.1472713782,31.725448051
124,55.48,31.3265262553,31.6887987841
