id,Actual,SVM,ANN
0,31.16,22.0751943565,18.089673499
1,31.42,22.9241232108,17.4458392719
2,31.85,23.3731168822,18.1592611918
3,32.5,22.7921372613,18.4231027718
4,32.65,21.8107562437,18.6457546969
5,32.77,21.6919725851,18.6688694729
6,32.44,21.9872871439,18.6836630831
7,32.48,21.6293956352,18.6662751299
8,32.4,21.1838967338,18.6939563226
9,32.8,22.60605858,18.6868438855
10,33.1,21.0578192215,18.8420185178
11,32.64,19.9968804258,19.0721714094
12,32.81,19.7170916822,18.9405644951
13,32.45,19.4315967056,18.965600434
14,32.8,19.4882275613,18.8464958756
15,32.6,19.4757919586,18.9534739698
16,31.95,20.6789031031,18.8888953602
17,31.83,23.3043086062,18.5448436443
18,31.25,24.9961683692,17.7398712634
19,31.65,26.0006841888,16.8948409441
20,32.02,23.917908772,16.8845228136
21,32.07,21.9088270566,17.273192492
22,32.99,20.5617696327,17.6166485767
23,33.17,19.4838889072,19.4077494659
24,33.07,19.4904765895,19.6421418014
25,34.15,19.7313586527,19.6613326859
26,34.25,21.9215567699,21.326407535
27,34.87,22.1370828524,21.9024360171
28,34.64,23.3773673913,23.0453410582
29,34.58,23.6773459739,23.62623949
30,34.48,23.5657693069,24.0010987889
31,34.41,23.3776163476,23.9666139217
32,34.56,22.9792073039,23.9781359793
33,34.39,23.4376652011,24.3389333028
34,34.34,23.5353959474,24.3369047918
35,34.66,23.7906548261,24.4261273889
36,34.59,23.9358765135,24.636099044
37,34.32,23.9733634416,24.8069485216
38,34.77,23.9115897896,24.6573164434
39,34.56,23.8427837346,24.7771575435
40,34.64,23.7884680073,24.9235084065
41,34.47,23.30667907,25.0837634992
42,33.97,23.242132693,25.1040297671
43,34.03,22.7976082557,24.580903111
44,33.78,22.7757770154,24.2724371984
45,33.63,22.3862991664,23.761087988
46,34.0,22.3856123176,23.4825426381
47,34.0,22.3210418488,23.9134389647
48,34.44,21.8951498491,23.7176367397
49,34.17,21.8288864168,24.6150554675
50,34.38,21.6583716706,24.2398267721
51,34.15,21.7857895775,24.3702419408
52,34.25,21.7064804662,24.4528423941
53,35.05,22.0876611408,24.5212075224
54,34.52,23.5642635979,25.2415908255
55,34.3,23.0402428551,25.1221762173
56,34.16,23.2055841579,24.9599938891
57,34.53,23.1565334905,24.4906328537
58,35.0,23.3274507371,24.8614272555
59,34.79,22.7707766318,25.351948017
