id,Actual,SVM,ANN
0,78.69,36.6000286868,44.8742084835
1,78.56,36.9027545365,44.8653567415
2,79.45,36.8766642854,44.6373377986
3,78.85,37.0479898046,44.7491934425
4,78.6,36.8757415631,44.635682935
5,78.56,37.1418630824,44.5594499542
6,78.89,37.4976278186,44.6287667204
7,78.73,37.4322813118,44.6162276358
8,77.24,37.5790156721,44.6753845111
9,77.94,37.3411861727,44.4624926567
10,77.61,37.5223548964,44.6188599139
11,78.74,37.813485477,44.7343017724
12,79.14,38.1183885083,44.8687038734
13,80.45,38.1902243194,44.8887684179
14,78.74,38.1393523023,44.9165430489
15,78.36,38.0662930949,44.8958025359
16,78.65,38.1350017358,44.8815171868
17,78.9,38.174579996,44.9075909109
18,77.68,37.8972375017,44.897244699
19,76.98,37.1769369331,44.845936134
20,77.53,38.1268688722,44.6305767732
21,76.79,38.2938700411,44.7633610747
22,77.13,38.0168703878,44.5804438852
23,76.71,38.0717676929,44.5632407197
24,77.62,37.8745823916,44.4820480299
25,77.87,38.1788049063,44.6431652371
26,77.82,37.9689551147,44.6887870666
27,77.24,38.411517569,44.64648092
28,76.62,38.7121242241,44.7023413793
29,76.91,38.8972702402,44.6982986017
30,77.59,38.922662662,44.718193934
31,78.12,38.5661946589,44.7416027498
32,78.03,37.9668727163,44.8167419304
33,77.47,38.0594604939,44.8469775739
34,77.28,38.9247805634,44.80792442
35,77.97,38.8831281161,44.7819347769
36,77.79,37.9712319459,44.1567006081
37,77.92,39.1883656857,44.8925337289
38,77.81,39.230598744,44.8910459912
39,77.81,39.5676648192,44.8264313568
40,77.48,39.6094226304,44.8695017424
41,76.79,39.5925283804,45.0147326135
42,77.16,39.550443587,45.0027842494
43,77.95,39.4487650022,44.9763074959
44,77.67,39.6625488509,45.0047784239
45,77.12,39.5204791363,44.9536007658
46,77.21,39.1012110467,44.8330351607
47,76.12,38.8638885841,44.9192163198
48,75.47,38.7484436894,44.8786164605
49,74.92,37.7816711218,44.5763308103
50,75.09,37.797977839,44.6283842965
51,75.34,38.0140925698,44.7357664149
52,75.73,38.4182590003,44.8784623372
53,76.07,38.6522688031,44.9149848438
54,74.6,38.7723137266,44.946749027
55,73.96,38.3243199283,44.894803543
56,75.32,38.0412727033,44.5685870629
57,74.12,38.4429170564,44.8029485157
58,75.17,37.9866322201,44.5041487956
59,75.27,38.1250879328,44.7518626349
60,75.46,38.7056614711,44.8864078433
61,74.61,37.6272258516,44.9082203327
62,74.45,40.4214507427,42.1625125596
63,75.89,37.4588809866,40.4946804087
64,75.15,38.2757364827,42.6181721278
65,74.05,39.9791163843,43.23830114
66,75.26,39.6422679184,41.6376195807
67,74.48,40.2660754747,42.9352217363
68,74.46,39.561937801,41.5032959801
69,72.19,38.9983825678,38.9519822351
70,72.74,36.0467824283,37.1128098478
71,72.38,38.662231795,36.2672595967
72,72.64,38.5594295512,35.4178246336
73,73.54,38.4672991504,35.0761203093
74,74.7,38.954860386,36.9451155369
75,74.36,39.3511691447,38.1157637639
76,74.6,39.9006025239,41.4956954312
77,74.84,39.9259583774,40.3781478547
78,75.81,39.6715127576,42.4457989692
79,75.97,38.51252165,43.5391991239
80,77.05,38.4451215489,44.0970025223
81,76.54,37.1292901555,44.5121285241
