id,Actual,SVM,ANN
0,73.98,57.1032483035,51.4962745776
1,73.97,57.6781086241,46.4291583975
2,76.77,57.4434429158,46.1442821415
3,77.13,58.7013423697,46.2572696827
4,76.43,57.5073009065,50.7554995488
5,76.63,57.3783457051,47.3010036179
6,75.95,57.6290434262,46.2077329263
7,74.33,57.7924099757,46.1413902349
8,75.67,58.6638335002,46.1363652459
9,74.94,58.2154175046,46.1390073025
10,73.67,60.6832370659,46.0679908602
11,73.95,60.6681845136,40.6971738155
12,75.77,60.3671205607,40.6301829824
13,75.29,60.7907808289,46.0884903427
14,75.25,61.5866395019,46.1022511814
15,74.76,62.660777325,44.9387779844
16,74.26,62.1554487738,40.6925867259
17,75.49,61.5768447153,40.6229265203
18,73.61,62.2060208447,40.682144314
19,74.25,61.590637128,40.4679909347
20,75.87,63.067032641,40.3567007261
21,75.61,63.8216025898,40.3612177447
22,75.95,64.1416587375,40.3636521642
23,76.36,63.7599519023,46.1246034955
24,75.39,61.7272828518,51.2339911642
25,76.65,61.8514868693,48.7135831085
26,76.42,61.3275174836,49.7756834422
27,76.87,61.0884389654,51.0176863407
28,76.12,59.5011184953,51.3908594273
29,76.64,58.1458080571,50.0312243344
30,77.35,56.2557295452,51.1660429665
31,76.68,57.6233439171,51.4771716772
32,76.87,56.4493301923,51.4880513491
33,76.69,55.5879677524,51.4069211331
34,76.95,56.7724416856,51.4175671363
35,77.15,57.0493033812,51.4837050587
36,76.9,57.4325269763,51.5124520312
37,76.83,56.9158838161,51.4103255328
38,77.68,57.3486219297,51.3976373192
39,78.0,57.0190273125,51.5168321129
40,77.72,56.9175331538,51.4995285557
41,78.2,55.9882923391,46.5931019299
42,77.21,56.3799092178,46.597579116
43,78.57,54.6937830172,46.1648604979
44,77.67,56.1184876525,46.2384685462
45,77.78,56.0042520648,46.1742195533
46,79.3,57.1551604586,46.1723673349
47,79.18,56.7477476722,46.3985832743
48,80.49,55.6333387898,47.9483570989
49,81.03,54.7211320819,49.9808273873
50,81.06,54.9849626883,49.952275998
51,80.6,55.7019503517,49.9469703325
52,81.31,54.8268530757,49.9388511459
53,81.23,55.156431478,50.0393741977
54,82.0,55.0254325679,52.6796022019
55,81.62,55.0351393208,51.7179310709
56,80.44,54.9930335701,53.2982707875
57,81.56,54.0936168552,52.8584865876
58,82.14,54.5518745794,52.8345332085
59,82.07,54.6658039217,57.6257673125
60,82.09,54.8316038973,57.6632655801
61,82.67,49.1208696352,57.7106229095
62,83.34,48.6303853821,57.7121050873
63,82.61,55.98537873,57.7137909009
64,83.14,50.6843171713,57.7108821217
65,83.29,49.0968987856,57.7127009784
66,83.57,48.5783560962,57.7114232534
67,82.96,49.1091815365,57.7123596501
68,83.06,49.1383321049,57.7102710057
69,81.96,48.9972617206,57.713104508
70,81.92,49.4146572042,57.7122875497
71,80.02,48.6306189089,57.7106289086
72,80.93,51.4698433795,57.7119392887
73,81.25,50.7323594487,57.713601434
74,81.34,50.3642629071,57.7137206677
75,81.93,50.148326927,57.7137489215
76,82.7,49.9967495281,57.7127503478
77,81.38,51.0212153519,57.7137377767
78,81.51,50.1126974634,57.7132741575
79,78.87,49.9885854613,57.7138639855
80,78.83,53.4800159287,57.7140345736
81,79.65,59.1112842986,57.7115018421
82,80.18,57.0435618155,57.7137269242
83,78.97,55.0309927444,57.712077826
84,79.12,59.5047911231,57.7102899103
85,80.11,57.3014865166,57.7062983165
86,80.74,54.8653295329,57.7068161688
87,80.61,52.4517778257,57.7101669437
88,80.81,53.0378032704,57.7133855103
89,79.81,52.550827945,57.7131035008
90,77.26,55.0203556278,57.7108934315
91,78.53,60.452809699,57.7104985806
92,78.36,58.1576648694,57.7135421182
93,77.92,57.623139514,57.7117216178
94,78.18,58.6553138851,57.7116467143
95,79.39,58.6319709398,57.7113594413
96,79.29,56.8666594122,57.7101461283
97,79.08,56.4639861126,57.7102746901
98,80.3,61.031829181,57.7115052167
99,80.05,58.77864886,57.7089921689
100,79.32,59.76545515,57.7082891239
101,79.51,60.4138095773,57.7086742364
102,80.0,55.5465045878,57.7126798519
103,80.34,52.1297339739,57.7153375703
104,79.96,49.4411655317,57.704668366
105,79.2,51.7683938143,57.7064096826
106,78.89,53.4206821811,57.7055005151
107,78.9,56.1735930829,57.7130084762
108,79.67,55.8612924725,57.7161704415
109,80.07,52.3211258071,57.71469059
110,79.47,50.8917545252,57.7064984987
111,80.45,52.3181643401,57.7077300381
112,80.97,50.9219429307,57.70665614
113,82.1,49.4636873134,57.7073360909
114,83.19,49.4058468771,57.7081982507
115,83.35,48.8132832995,57.7080289429
116,84.23,49.700881248,57.7079915637
117,84.76,50.8199533087,57.7078751429
118,84.34,52.6593948689,57.7081296974
119,84.5,51.8176685286,57.7081305425
120,84.08,52.3016765077,57.7081630878
121,82.09,51.3005290483,57.7081476448
122,81.63,48.3541144808,57.708123183
123,82.99,48.0748986704,57.7078986155
124,82.27,49.4806883528,57.7081129308
125,82.93,50.9733589088,57.7080595542
126,84.45,52.2292393126,57.707989265
127,83.48,53.4956073644,57.708094072
128,83.04,54.7937655459,57.7080424864
129,83.91,55.6118496419,57.707805374
130,84.1,56.5852336557,57.7078470452
131,84.1,58.2090737951,57.7078246188
132,84.46,56.3813501765,57.7077935644
133,85.01,57.1958427241,57.7076509982
