Date,Open,High,Low,Close,Volume,Adj Close
5/14/2012,53.650002,53.869999,52.310001,52.310001,4206300,49.919156
5/15/2012,51.93,52.48,51.16,51.279999,7022500,48.93623
5/16/2012,51.580002,52.009998,50.279999,50.299999,6592600,48.04787
5/17/2012,50.150002,50.689999,49.720001,49.799999,5340500,47.570257
5/18/2012,49.919998,50.060001,48.900002,49.130001,5198500,46.930258
5/21/2012,49.139999,50.130001,48.860001,49.880001,4339100,47.646677
5/22/2012,50.060001,51.48,49.889999,50.290001,4537000,48.03832
5/23/2012,49.68,50.459999,49.009998,50.34,4677000,48.08608
5/24/2012,50.98,51.720001,50.720001,51.720001,4834200,49.404293
5/25/2012,51.490002,51.919998,50.959999,51.130001,2822300,48.84071
5/29/2012,51.450001,52,50.919998,51.880001,2918000,49.557129
5/30/2012,51.43,51.43,50.450001,50.98,3987900,48.697424
5/31/2012,50.919998,51.810001,50.150002,51.369999,3733200,49.069962
6/1/2012,50.130001,50.189999,48.029999,48.400002,7070100,46.232943
6/4/2012,48.529999,49.259998,47.990002,48.68,5048300,46.500405
6/5/2012,48.599998,50.34,48.540001,50.27,5720100,48.019215
6/6/2012,50.82,51.200001,50.360001,50.610001,5408900,48.343992
6/7/2012,51.48,51.950001,50.82,51.169998,5182400,48.878916
6/8/2012,50.84,52.610001,50.77,52.59,4203100,50.235339
6/11/2012,53.25,53.310001,51.73,51.779999,4417900,49.461604
6/12/2012,52.169998,53.330002,51.459999,53.080002,4605700,50.703401
6/13/2012,52.740002,53.060001,51.75,52.07,5487800,49.738621
6/14/2012,52.32,53.360001,51.959999,53.009998,4395100,50.636532
6/15/2012,53.52,54.009998,53.09,53.810001,9432200,51.400716
6/18/2012,53.599998,54.349998,53.330002,54.110001,3457200,51.687283
6/19/2012,54.419998,55.290001,54.389999,55.049999,4147000,52.585194
6/20/2012,55.16,55.400002,54.040001,54.43,4547000,51.992955
6/21/2012,54.849998,54.93,52.93,53.029999,4282100,50.655637
6/22/2012,53.43,53.610001,52.75,52.93,7725500,50.560116
6/25/2012,51.740002,52.650002,51.639999,52.189999,3150100,49.853247
6/26/2012,52.299999,53.450001,52.16,53.139999,3399300,50.760712
6/27/2012,53.16,53.41,52.560001,53.169998,3162900,50.789368
6/28/2012,52.619999,53.5,52.27,53.459999,2883700,51.066384
6/29/2012,54.790001,54.91,54,54.66,3741000,52.212656
7/2/2012,54.869999,54.900002,53.82,54.75,2516100,52.298627
7/3/2012,54.59,55.34,54.540001,55.099998,1309500,52.632955
7/5/2012,54.740002,54.98,54.080002,54.529999,1870600,52.088476
7/6/2012,53.860001,54.169998,53.709999,54.02,1874100,51.601312
7/9/2012,53.889999,54.279999,53.459999,54.23,1683800,51.801909
7/10/2012,53.799999,54.84,53.310001,53.549999,2101000,51.152355
7/11/2012,53.599998,54.380001,53.23,54.040001,3051100,51.620417
7/12/2012,53.529999,53.689999,52.880001,53.360001,2489200,50.970863
7/13/2012,53.470001,54.580002,53.290001,54.419998,2323100,51.983401
7/16/2012,54.040001,55.799999,54.040001,55.09,4669100,52.623404
7/17/2012,55.650002,55.990002,54.650002,55.830002,2692700,53.330273
7/18/2012,55.619999,55.709999,54.419998,54.889999,4196800,52.432358
7/19/2012,55.700001,58.689999,55.610001,56.369999,11291500,53.846092
7/20/2012,56.130001,56.709999,55.43,55.880001,4140700,53.378033
7/23/2012,54.889999,55.540001,54.16,55.299999,3546900,52.824001
7/24/2012,55.369999,55.950001,54.560001,55,3576900,52.537434
7/25/2012,55.330002,55.709999,54.400002,54.869999,3534700,52.413253
7/26/2012,55.77,56.5,55.470001,56.360001,3540300,53.836542
7/27/2012,56.810001,57.98,56.200001,57.599998,3368300,55.02102
7/30/2012,57.5,57.560001,56.57,56.900002,2618100,54.352364
7/31/2012,56.84,56.849998,55.98,56.490002,2419800,53.960722
