Date,Open,High,Low,Close,Volume,Adj Close
5/14/2012,101.739998,102.300003,101.269997,101.940002,7021400,89.94855
5/15/2012,102.040001,102.660004,100.709999,100.900002,8421000,89.030887
5/16/2012,100.769997,101.779999,100.010002,100.099998,6423800,89.119915
5/17/2012,100.199997,101.410004,99.889999,100.139999,6527500,89.155528
5/18/2012,100.480003,100.75,98.239998,98.459999,11137700,87.659809
5/21/2012,98.809998,99.739998,98.349998,99.690002,6169400,88.754892
5/22/2012,99.93,100.68,98.730003,99.32,6089700,88.425475
5/23/2012,98.330002,99,96.699997,99,8013000,88.140577
5/24/2012,99.260002,100.120003,98.550003,100.059998,6322300,89.084302
5/25/2012,100.040001,100.239998,98.419998,98.860001,5561500,88.015934
5/29/2012,99.809998,100.849998,99.5,100.239998,5223200,89.244558
5/30/2012,99.110001,99.110001,97.5,97.629997,7284800,86.920851
5/31/2012,98.059998,99.160004,96.68,98.309998,9371100,87.526262
6/1/2012,96.650002,97.290001,96.019997,96.410004,9243000,85.83468
6/4/2012,96.480003,97.139999,95.730003,96.580002,6794500,85.986031
6/5/2012,96.389999,96.870003,95.779999,96.489998,5891600,85.9059
6/6/2012,97.889999,99.800003,97.580002,99.800003,7145800,88.852827
6/7/2012,100.980003,102,100.18,100.389999,7971600,89.378106
6/8/2012,99.889999,101,99.690002,100.839996,5769900,89.778742
6/11/2012,101.989998,102.330002,99.57,99.910004,7037100,88.950761
6/12/2012,100.199997,100.900002,99.559998,100.739998,5933400,89.689712
6/13/2012,100.68,101.400002,99.709999,100.129997,5189900,89.146623
6/14/2012,100.169998,102.169998,99.900002,101.919998,6540000,90.740277
6/15/2012,103,104.5,102.639999,104.330002,11091100,92.885925
6/18/2012,103.139999,103.970001,103,103.459999,6630300,92.111354
6/19/2012,103.989998,104.650002,103.769997,104.059998,6115500,92.645537
6/20/2012,104.040001,104.550003,102.589996,103.629997,7609200,92.262704
6/21/2012,103.459999,103.75,99.870003,100.019997,8492000,89.048689
6/22/2012,100.650002,101.120003,99.580002,100.440002,11708600,89.422624
6/25/2012,99.339996,99.559998,98.169998,99.080002,7091000,88.211803
6/26/2012,98.970001,101.290001,98.830002,100.949997,7616000,89.876676
6/27/2012,101.459999,102.900002,101.25,102.57,5740300,91.318979
6/28/2012,101.849998,103.650002,101.43,103.459999,7010200,92.111354
6/29/2012,105.32,105.510002,104.349998,105.5,10651500,93.927584
7/2/2012,105.589996,106.089996,104.690002,105.860001,5695600,94.248096
7/3/2012,106.290001,107.419998,106.220001,107.370003,4079900,95.592464
7/5/2012,106.269997,107.050003,105.730003,106.029999,5045600,94.399447
7/6/2012,104.989998,105.349998,104.389999,105.07,4609000,93.544751
7/9/2012,104.970001,105.040001,103.550003,104.459999,5233300,93.001662
7/10/2012,104.870003,105.389999,103.290001,103.879997,6424200,92.485282
7/11/2012,104.309998,105.629997,104.019997,104.849998,5931000,93.348882
7/12/2012,104.309998,106.080002,104.269997,105.029999,7871500,93.509138
7/13/2012,105.339996,106.190002,104.870003,106.010002,6771800,94.381644
7/16/2012,105.709999,107.25,105.5,106.779999,5185100,95.067179
7/17/2012,106.989998,107.5,105.580002,107.43,6668200,95.645881
7/18/2012,106.790001,107.980003,106.660004,107.879997,5519300,96.046517
