Date,Open,High,Low,Close,Volume,Adj Close
5/14/2012,10.41,10.53,10.3,10.32,50225200,9.356942
5/15/2012,10.34,10.34,10.1,10.15,41886500,9.202806
5/16/2012,10.23,10.43,10.15,10.16,44321300,9.211873
5/17/2012,10.16,10.25,10.01,10.01,49648900,9.075872
5/18/2012,10.08,10.18,9.96,10.01,50572000,9.075872
5/21/2012,10.02,10.23,10,10.2,38134900,9.248141
5/22/2012,10.25,10.4,10.15,10.19,44295700,9.239074
5/23/2012,10.32,10.45,10.22,10.41,75647800,9.438543
5/24/2012,10.5,10.62,10.38,10.59,45334100,9.601746
5/25/2012,10.61,10.68,10.51,10.6,30430800,9.610813
5/29/2012,10.69,10.88,10.68,10.84,43760600,9.828416
5/30/2012,10.73,10.75,10.52,10.66,44592100,9.665214
5/31/2012,10.62,10.68,10.4,10.56,54297000,9.574546
6/1/2012,10.33,10.37,10.06,10.12,68237000,9.175606
6/4/2012,10.15,10.18,9.91,10.04,57305600,9.103072
6/5/2012,10.01,10.24,9.97,10.19,38326200,9.239074
6/6/2012,10.29,10.58,10.27,10.57,50458000,9.583612
6/7/2012,10.73,10.78,10.52,10.55,33846100,9.565479
6/8/2012,10.48,10.68,10.38,10.66,30811600,9.665214
6/11/2012,10.77,10.8,10.45,10.45,35811400,9.474811
6/12/2012,10.47,10.55,10.31,10.5,35130800,9.520145
6/13/2012,10.39,10.49,10.22,10.3,41384200,9.338809
6/14/2012,10.27,10.45,10.21,10.41,37531800,9.438543
6/15/2012,10.4,10.42,10.26,10.35,39442000,9.384143
6/18/2012,10.35,10.4,10.26,10.34,27361000,9.375076
6/19/2012,10.37,10.64,10.35,10.56,37155900,9.574546
6/20/2012,10.58,10.74,10.52,10.65,40810100,9.656147
6/21/2012,10.65,10.68,10.25,10.27,40062800,9.311609
6/22/2012,10.35,10.4,10.18,10.19,56427300,9.239074
6/25/2012,10.13,10.18,9.95,10.01,44297600,9.075872
6/26/2012,10.06,10.08,9.96,10.01,31871900,9.075872
6/27/2012,10.05,10.1,9.97,10.02,33278900,9.084939
6/28/2012,9.93,10.09,9.93,10.09,38648400,9.148406
6/29/2012,9.95,9.98,9.46,9.59,138138600,8.695066
7/2/2012,9.5,9.6,9.3,9.39,63388600,8.51373
7/3/2012,9.53,9.79,9.49,9.6,49629300,8.704133
7/5/2012,9.67,9.74,9.53,9.57,31783900,8.676932
7/6/2012,9.47,9.52,9.4,9.5,30355400,8.613464
7/9/2012,9.46,9.47,9.31,9.45,37441600,8.56813
7/10/2012,9.5,9.55,9.28,9.35,33516600,8.477463
7/11/2012,9.33,9.38,9.26,9.33,32028700,8.459329
7/12/2012,9.26,9.28,9.12,9.13,55111000,8.277993
7/13/2012,9.16,9.32,9.14,9.27,30248300,8.404928
7/16/2012,9.22,9.32,9.15,9.26,28838200,8.395861
