Date,Open,High,Low,Close,Volume,Adj Close
5/14/2012,22.459999,22.77,22.42,22.59,31016800,20.229464
5/15/2012,22.559999,22.6,22.25,22.299999,37869500,19.969766
5/16/2012,22.32,22.68,22.299999,22.639999,39472700,20.274238
5/17/2012,22.620001,22.799999,22.530001,22.559999,38401200,20.202598
5/18/2012,22.610001,22.639999,22.34,22.57,41817300,20.211553
5/21/2012,22.549999,22.629999,22.469999,22.540001,36866800,20.184689
5/22/2012,22.48,22.68,22.219999,22.370001,35307900,20.032453
5/23/2012,22.379999,22.42,21.91,22.09,52062000,19.781711
5/24/2012,22.15,22.17,21.92,22.139999,26165200,19.826486
5/25/2012,22.15,22.33,21.959999,22.129999,19415200,19.81753
5/29/2012,22.18,22.42,22.129999,22.18,30743200,19.862307
5/30/2012,22.07,22.219999,22.01,22.040001,21540700,19.736937
5/31/2012,22.09,22.219999,21.85,21.870001,54902100,19.584701
6/1/2012,21.76,21.799999,21.440001,21.639999,43558600,19.378733
6/4/2012,21.540001,21.67,21.450001,21.610001,27525500,19.351869
6/5/2012,21.610001,21.639999,21.4,21.6,30825800,19.342914
6/6/2012,21.719999,21.93,21.549999,21.91,34786900,19.62052
6/7/2012,21.959999,22.15,21.9,21.940001,27802800,19.647386
6/8/2012,21.950001,22.18,21.799999,22.139999,21098400,19.826486
6/11/2012,22.25,22.379999,22.09,22.1,22684100,19.790666
6/12/2012,22.16,22.209999,21.93,22.190001,24631800,19.871262
6/13/2012,22.17,22.48,22.09,22.190001,23740600,19.871262
6/14/2012,22.15,22.74,22.15,22.559999,30812200,20.202598
6/15/2012,22.82,22.860001,22.549999,22.610001,39291300,20.247374
6/18/2012,22.57,22.719999,22.530001,22.620001,23087200,20.256329
6/19/2012,22.719999,22.82,22.639999,22.709999,22410000,20.336923
6/20/2012,22.76,22.790001,22.530001,22.67,21824000,20.301104
6/21/2012,22.76,22.940001,22.57,22.6,25415900,20.238419
6/22/2012,22.66,22.85,22.610001,22.73,25713200,20.354834
6/25/2012,22.049999,22.559999,22.049999,22.469999,27249800,20.122002
6/26/2012,22.530001,22.610001,22.41,22.440001,23660900,20.095138
6/27/2012,22.440001,22.709999,22.440001,22.610001,20807100,20.247374
6/28/2012,22.629999,22.700001,22.26,22.530001,23016600,20.175734
6/29/2012,22.83,23,22.709999,23,32583200,20.596621
7/2/2012,22.85,23.09,22.85,23,23181800,20.596621
7/3/2012,22.940001,23,22.76,22.870001,15620200,20.480206
7/5/2012,22.809999,22.889999,22.57,22.67,24559000,20.301104
7/6/2012,22.57,22.6,22.370001,22.540001,18983800,20.184689
7/9/2012,22.549999,22.68,22.450001,22.65,22597400,20.283194
7/10/2012,22.719999,22.77,22.389999,22.440001,24714900,20.095138
7/11/2012,22.389999,22.4,22,22.34,25999500,20.005587
7/12/2012,22.309999,22.780001,22.15,22.67,43230400,20.301104
7/13/2012,22.709999,22.9,22.700001,22.809999,28156800,20.426474
7/16/2012,22.719999,23.18,22.709999,23.129999,29287300,20.713036
7/17/2012,23.15,23.73,23.1,23.620001,41104200,21.151835
7/18/2012,23.530001,23.77,23.48,23.67,34895900,21.196609
7/19/2012,23.6,23.83,23.459999,23.799999,107223500,21.313024
7/20/2012,23.690001,23.870001,23.629999,23.700001,112295700,21.223475
7/23/2012,23.469999,23.67,23.379999,23.6,104776100,21.133924
7/24/2012,23.4,23.530001,23.07,23.379999,36630600,20.936912
7/25/2012,23.389999,23.51,23.1,23.33,28701600,20.892137
7/26/2012,23.540001,23.690001,23.43,23.49,25498100,21.035418
7/27/2012,23.67,23.940001,23.51,23.83,34561000,21.33989
7/30/2012,23.77,23.84,23.57,23.709999,29690700,21.232429
7/31/2012,23.91,24.49,23.9,24.040001,55303100,21.527947
8/1/2012,23.92,24.18,23.73,23.940001,42545900,21.636401
8/2/2012,23.809999,24,23.629999,23.92,30123500,21.618325
8/3/2012,24.1,24.33,24.09,24.280001,33075100,21.943685
8/6/2012,24.24,24.370001,24.200001,24.26,25840100,21.925609
8/7/2012,24,24.049999,23.73,23.74,56374400,21.455645
8/8/2012,23.709999,23.9,23.700001,23.83,30333000,21.536985
8/9/2012,23.83,24.059999,23.719999,23.870001,24557800,21.573136
8/10/2012,23.860001,23.940001,23.75,23.940001,19814200,21.636401
8/13/2012,23.809999,23.870001,23.66,23.719999,23039500,21.437569
8/14/2012,23.85,24.08,23.83,23.98,23737200,21.672551
8/15/2012,23.98,24.18,23.969999,24.040001,17845300,21.726778
8/16/2012,24.07,24.08,23.83,24.02,21251900,21.708703
8/17/2012,24.07,24.07,23.67,23.790001,29214000,21.500834
8/20/2012,23.709999,23.98,23.709999,23.91,23228100,21.609287
8/21/2012,23.9,23.969999,23.65,23.690001,21270600,21.410457
8/22/2012,23.59,23.780001,23.59,23.700001,19237300,21.419494
8/23/2012,23.77,23.83,23.700001,23.74,21102600,21.455645
8/24/2012,23.719999,24.1,23.719999,24.01,23084700,21.699665
8/27/2012,23.92,24.01,23.870001,23.889999,19340300,21.591211
8/28/2012,23.83,24.02,23.82,23.85,18304200,21.555061
8/29/2012,23.91,24.110001,23.799999,23.959999,18369600,21.654475
8/30/2012,23.870001,23.99,23.809999,23.84,19749200,21.546023
8/31/2012,23.879999,24.07,23.75,23.860001,26231800,21.564099
9/4/2012,23.790001,23.9,23.74,23.780001,34772400,21.491796
9/5/2012,23.91,23.950001,23.719999,23.92,23626200,21.618325
9/6/2012,24.1,24.379999,24.09,24.34,23554300,21.997911
9/7/2012,24.309999,24.360001,24.129999,24.24,22801400,21.907533
9/10/2012,24.200001,24.26,24.1,24.1,17110800,21.781005
9/11/2012,24.08,24.23,24.059999,24.17,20128600,21.844269
9/12/2012,24.16,24.209999,24.07,24.07,19959900,21.753891
9/13/2012,24.040001,24.26,23.85,24.25,30907900,21.916571
9/14/2012,24.18,24.18,23.629999,23.799999,59029500,21.509871
9/17/2012,23.68,24.049999,23.68,24.02,28379500,21.708703
9/18/2012,23.940001,24.09,23.91,24.01,25092900,21.699665
9/19/2012,24.040001,24.379999,24.02,24.16,27535000,21.835231
9/20/2012,24.129999,24.41,24.040001,24.41,27193600,22.061175
9/21/2012,24.459999,24.66,24.389999,24.52,45423300,22.160591
9/24/2012,24.450001,24.84,24.450001,24.75,26494000,22.368459
9/25/2012,24.84,25.15,24.799999,24.84,34225600,22.449799
9/26/2012,24.91,24.99,24.790001,24.83,28979600,22.440761
9/27/2012,24.870001,25.02,24.860001,24.959999,23091300,22.558251
9/28/2012,25,25,24.76,24.85,25329300,22.458837
10/1/2012,24.799999,25.15,24.799999,25.040001,22820800,22.630555
10/2/2012,25.18,25.41,24.969999,25.120001,30493000,22.702857
10/3/2012,25.110001,25.35,25.040001,25.32,22233000,22.883611
10/4/2012,25.42,25.469999,25.309999,25.35,25017400,22.910725
10/5/2012,25.459999,25.59,25.370001,25.52,24666400,23.064367
10/8/2012,25.459999,25.52,25.209999,25.4,18790000,22.955913
10/9/2012,25.309999,25.49,25.26,25.309999,21102700,22.874573
10/10/2012,25.34,25.4,25.01,25.16,21456700,22.739007
10/11/2012,25.280001,25.389999,25,25.120001,22868900,22.702857
10/12/2012,25.16,25.24,25.030001,25.120001,23160400,22.702857
10/15/2012,25.17,25.620001,25.139999,25.57,30911000,23.109555
10/16/2012,25.690001,25.93,25.65,25.799999,25743400,23.317423
10/17/2012,25.860001,25.93,25.719999,25.84,21704300,23.353575
10/18/2012,25.690001,26.09,25.68,26.040001,27315700,23.534331
10/19/2012,25.950001,26,25.6,25.76,40290000,23.281273
10/22/2012,25.68,25.74,25.370001,25.6,24345100,23.136669
10/23/2012,25.299999,25.360001,25.02,25.190001,27384000,22.766121
10/24/2012,25.27,25.549999,25.209999,25.309999,27934200,22.874573
10/25/2012,25.469999,25.66,25.360001,25.610001,26028000,23.145707
10/26/2012,25.48,25.66,25.379999,25.43,21041900,22.983027
10/31/2012,25.65,25.75,24.860001,24.870001,38285100,22.476913
11/1/2012,24.82,24.82,24.389999,24.549999,54437000,22.187703
11/2/2012,24.709999,24.870001,24.549999,24.549999,31113600,22.187703
11/5/2012,24.42,24.719999,24.42,24.58,20428300,22.214817
11/6/2012,24.610001,24.959999,24.57,24.709999,29795300,22.332307
11/7/2012,24.459999,24.620001,23.99,24.17,49394000,22.0405
11/8/2012,24.16,24.4,24.02,24.16,35681400,22.031381
11/9/2012,24.059999,24.42,24.02,24.17,32500000,22.0405
11/12/2012,24.15,24.379999,24.02,24.110001,23503800,21.985787
11/13/2012,24,24.33,23.85,24.049999,26120300,21.931072
11/14/2012,24.040001,24.1,23.74,23.809999,31377700,21.712217
11/15/2012,23.709999,23.92,23.549999,23.66,27409100,21.575434
11/16/2012,23.629999,23.879999,23.610001,23.860001,41918300,21.757813
11/19/2012,24.030001,24.24,23.870001,24.139999,35763900,22.013143
11/20/2012,24.120001,24.280001,23.93,24.280001,27184700,22.140809
11/21/2012,24.370001,24.379999,24.200001,24.35,27960900,22.204642
11/23/2012,24.41,24.530001,24.370001,24.530001,25226200,22.368783
11/26/2012,24.34,24.52,24.309999,24.49,35772100,22.332306
11/27/2012,24.26,24.450001,24.219999,24.25,30872700,22.113452
11/28/2012,24.23,24.690001,24.15,24.67,29565700,22.496448
11/29/2012,24.709999,24.93,24.709999,24.85,31644100,22.660589
11/30/2012,24.91,25.08,24.719999,25.02,37192500,22.815611
12/3/2012,25.040001,25.299999,25,25.09,28282100,22.879444
12/4/2012,25.040001,25.27,25.02,25.17,30320100,22.952395
12/5/2012,25.139999,25.790001,25.139999,25.639999,45533900,23.380985
12/6/2012,25.549999,25.780001,25.52,25.610001,31459600,23.353629
12/7/2012,25.530001,25.610001,25.16,25.559999,30767400,23.308034
12/10/2012,25.42,25.6,25.360001,25.41,26888800,23.17125
12/11/2012,25.530001,25.780001,25.52,25.639999,30687800,23.380985
12/12/2012,25.620001,25.75,25.440001,25.51,29837500,23.26244
12/13/2012,25.43,25.65,25.33,25.33,26458100,23.098298
12/14/2012,25.219999,25.370001,25.15,25.18,25918800,22.961514
12/17/2012,25.17,25.469999,25.15,25.360001,28599700,23.125656
12/18/2012,25.35,25.700001,25.27,25.639999,33083400,23.380985
12/19/2012,25.629999,25.790001,25.32,25.35,29285300,23.116537
12/20/2012,25.32,25.440001,25.25,25.43,25675000,23.189488
12/21/2012,25.389999,25.52,25.049999,25.08,61677900,22.870324
12/24/2012,25.01,25.209999,25,25.08,10851400,22.870324
12/26/2012,25.049999,25.33,25.040001,25.24,21858000,23.016228
12/27/2012,25.17,25.219999,24.809999,25.139999,24681700,22.925038
12/28/2012,25,25.18,24.879999,24.889999,21611800,22.697064
12/31/2012,24.67,25.1,24.629999,25.08,33722800,22.870324
1/2/2013,25.530001,25.91,25.33,25.91,33522200,23.627197
1/3/2013,25.98,25.99,25.559999,25.85,33757400,23.572484
1/4/2013,25.85,25.99,25.76,25.959999,28604900,23.672791
1/7/2013,25.91,26.049999,25.77,25.98,25779900,23.69103
1/8/2013,26,26.25,25.98,26.02,31057000,23.727506
