Date,Open,High,Low,Close,Volume,Adj Close
5/14/2012,33.009998,33.119999,32.779999,32.849998,5845600,30.366692
5/15/2012,32.759998,33.209999,32.75,32.880001,4991900,30.394427
5/16/2012,32.91,33.23,32.689999,32.779999,7097300,30.301984
5/17/2012,32.66,32.75,31.870001,31.870001,7747100,29.664394
5/18/2012,32,32.07,31.200001,31.309999,8852100,29.143148
5/21/2012,31.27,31.51,31.049999,31.35,6983100,29.180381
5/22/2012,31.41,31.51,31.139999,31.25,5909400,29.087301
5/23/2012,31.190001,31.290001,30.92,31.290001,5300000,29.124534
5/24/2012,31.35,31.49,30.950001,31.26,5119100,29.096609
5/25/2012,31.309999,31.559999,31.200001,31.360001,3155300,29.189689
5/29/2012,31.51,31.639999,31.309999,31.6,4359600,29.413079
5/30/2012,31.440001,31.48,30.780001,30.93,6341100,28.789448
5/31/2012,30.83,30.870001,30.34,30.52,7496200,28.407822
6/1/2012,30.52,30.639999,29.799999,29.93,8062200,27.858654
6/4/2012,30.4,30.52,29.940001,30.51,8056900,28.398514
6/5/2012,30.290001,30.629999,30.030001,30.58,6901800,28.46367
6/6/2012,30.57,30.959999,30.370001,30.959999,5502800,28.81737
6/7/2012,31.1,31.24,30.879999,30.98,7686600,28.835987
6/8/2012,30.879999,31.25,30.780001,31.16,4659600,29.00353
6/11/2012,31.299999,31.42,31.02,31.219999,5523800,29.059377
6/12/2012,31.34,31.41,30.91,31.25,5049500,29.087301
6/13/2012,31.24,31.24,30.780001,30.879999,4361500,28.742907
6/14/2012,30.950001,31.799999,30.85,31.67,5850400,29.478235
6/15/2012,31.870001,31.950001,31.540001,31.799999,6236900,29.599237
6/18/2012,31.700001,32.18,31.549999,31.959999,6011500,29.748164
6/19/2012,30.790001,30.9,29.860001,30.09,42165200,28.007581
6/20/2012,29.610001,29.629999,28.530001,29.209999,32955500,27.188481
6/21/2012,29.360001,29.530001,29.09,29.15,19444900,27.132634
6/22/2012,29.32,30.09,29.25,29.57,27778600,27.523568
6/25/2012,29.469999,29.57,28.82,28.99,12221500,26.983707
6/26/2012,29.08,29.26,28.92,29.09,7439000,27.076787
6/27/2012,29.15,29.530001,29.120001,29.42,6661200,27.383949
6/28/2012,29.25,29.360001,28.959999,29.040001,11591300,27.030248
6/29/2012,29.43,29.58,29.219999,29.58,10035400,27.532876
7/2/2012,29.690001,29.870001,29.35,29.860001,8855400,27.793499
7/3/2012,29.75,29.99,29.57,29.610001,3943400,27.5608
7/5/2012,29.379999,30.030001,29.35,29.870001,9739500,27.802807
7/6/2012,29.639999,29.76,29.41,29.620001,7801000,27.570108
7/9/2012,29.66,29.76,29.35,29.700001,5782700,27.644572
7/10/2012,29.73,29.950001,29.68,29.92,8705000,27.849346
7/11/2012,29.93,30.23,29.68,29.940001,9287800,27.867962
7/12/2012,29.82,30.23,29.82,30.1,9469200,28.016889
7/13/2012,30.17,30.65,30.110001,30.58,6761000,28.46367
7/16/2012,30.540001,30.58,30.27,30.5,5127600,28.389206
7/17/2012,30.51,30.82,30.4,30.700001,6600100,28.575366
7/18/2012,30.6,31.209999,30.6,30.969999,8395100,28.826678
7/19/2012,34.200001,35,34,34.619999,56225400,32.224075
7/20/2012,34.470001,34.599998,34.099998,34.599998,16941600,32.205459
7/23/2012,33.91,34.27,33.599998,33.919998,12241100,31.572519
7/24/2012,33.970001,34.150002,33.860001,34.110001,16297900,31.749372
7/25/2012,34.23,34.959999,34.16,34.650002,14505700,32.252001
7/26/2012,34.990002,35.119999,34.799999,34.970001,10021700,32.549855
