Date,Open,High,Low,Close,Volume,Adj Close
1/3/2006,39.830002,40.360001,39.299999,40.189999,12838600,31.064862
1/4/2006,39.779999,40.139999,39.419998,39.619999,13491500,30.885565
1/5/2006,39.610001,39.810001,39.5,39.740002,8109400,30.979113
1/6/2006,39.919998,40.240002,39.549999,40.02,7966900,31.197384
1/9/2006,39.880001,40.720001,39.880001,40.669998,16575200,31.704087
1/10/2006,40.5,40.75,40.07,40.73,16614800,31.750861
1/11/2006,40.73,40.869999,40.610001,40.700001,12332300,31.727475
1/12/2006,40.25,40.419998,39.900002,39.950001,12230000,31.142817
1/13/2006,39.779999,40.029999,39.650002,39.919998,10961200,31.119428
1/17/2006,39.48,39.82,39.41,39.709999,9941100,30.955724
1/18/2006,39.110001,39.709999,38.950001,39.279999,17813100,30.62052
1/19/2006,39.34,39.470001,38.799999,39.060001,12091800,30.449022
1/20/2006,38.810001,38.82,37.880001,38.049999,20902400,29.66168
1/23/2006,38.139999,38.700001,37.970001,38.27,13172300,29.833181
1/24/2006,38.27,38.529999,38.09,38.110001,9781500,29.708454
1/25/2006,38.16,38.68,38.060001,38.48,14248700,29.996885
1/26/2006,38.709999,39.810001,38.709999,39.59,16187900,30.86218
1/27/2006,39.25,40.040001,39.169998,39.75,12929400,30.986907
1/30/2006,39.52,39.970001,39.419998,39.849998,8701700,31.06486
1/31/2006,40.029999,40.189999,39.740002,39.75,15582100,30.986907
2/1/2006,39.880001,40.220001,39.669998,39.880001,11429800,31.088249
2/2/2006,39.880001,40.16,39.59,39.990002,10309100,31.173999
2/3/2006,39.450001,40.099998,39.400002,39.529999,10440700,30.815406
2/6/2006,39.400002,39.599998,39.310001,39.439999,6591800,30.745247
2/7/2006,39.200001,39.599998,39.049999,39.259998,8590500,30.604929
2/8/2006,39.279999,39.619999,39.25,39.599998,10065200,30.869974
2/9/2006,39.529999,40.029999,39.439999,39.77,8496300,31.002498
2/10/2006,39.619999,39.98,39.290001,39.919998,8790500,31.119428
2/13/2006,39.77,40.310001,39.610001,39.77,7791600,31.002498
2/14/2006,39.66,40.330002,39.650002,40.099998,12904100,31.259747
2/15/2006,39.970001,40.5,39.970001,40.32,12685700,31.431247
2/16/2006,40.450001,40.82,40.240002,40.82,11572000,31.82102
2/17/2006,40.66,40.82,40.400002,40.779999,11518600,31.789837
2/21/2006,40.630001,40.950001,40.549999,40.700001,7324500,31.727475
2/22/2006,40.889999,41.549999,40.740002,41.41,13151400,32.280951
2/23/2006,41.259998,41.57,41,41.110001,8739500,32.047088
2/24/2006,40.939999,41.830002,40.869999,41.66,9294300,32.475838
2/27/2006,41.549999,41.950001,41.549999,41.580002,8541700,32.413475
2/28/2006,41.59,41.599998,40.970001,41.139999,11716200,32.070474
3/1/2006,41.16,41.939999,41.130001,41.630001,10527700,32.452452
3/2/2006,41.630001,41.84,41.369999,41.66,10939800,32.475838
3/3/2006,41.5,42.09,41.43,41.59,12290600,32.42127
3/6/2006,41.48,41.810001,41.139999,41.43,9777800,32.296543
3/7/2006,41.02,41.66,41.02,41.48,9441300,32.335519
3/8/2006,41.490002,41.740002,41.200001,41.599998,9147100,32.429064
3/9/2006,41.5,41.740002,40.959999,41.049999,9767500,32.000315
3/10/2006,41.060001,41.400002,40.869999,41.130001,11175700,32.06268
3/13/2006,41.450001,41.48,40.98,41.060001,10626100,32.008112
3/14/2006,41.259998,41.5,41.25,41.380001,16221500,32.257566
3/15/2006,41.16,41.34,40.990002,41.220001,14011200,32.132839
3/16/2006,41.419998,41.529999,41.259998,41.32,10045600,32.210792
3/17/2006,41.349998,41.5,41.25,41.400002,13042300,32.273157
3/20/2006,41.310001,41.549999,41.150002,41.450001,9418000,32.312134
3/21/2006,41.27,41.709999,41.040001,41.200001,13473600,32.117248
3/22/2006,41.189999,42.200001,41,42.049999,13516100,32.77986
3/23/2006,42.049999,42.200001,41.82,42.040001,12986800,32.772065
3/24/2006,41.990002,42.43,41.91,42.099998,7212800,32.818836
3/27/2006,41.860001,42.200001,41.779999,42.110001,7836200,32.826633
3/28/2006,41.93,42.200001,41.5,41.560001,15562700,32.397884
3/29/2006,41.73,42.080002,41.310001,41.68,7822900,32.491429
3/30/2006,41.540001,42.040001,41.119999,41.529999,9323500,32.374496
3/31/2006,41.779999,41.939999,41.5,41.639999,10371300,32.460246
4/3/2006,41.950001,42.459999,41.880001,41.93,10872900,32.686315
4/4/2006,41.599998,42.459999,41.5,42.27,14008500,33.220739
4/5/2006,42.169998,42.66,42.040001,42.540001,9494600,33.432937
4/6/2006,42.389999,42.470001,42.02,42.290001,6226600,33.236458
4/7/2006,42.25,42.439999,41.630001,41.700001,10753900,32.772766
4/10/2006,41.93,42.259998,41.689999,41.880001,7409300,32.914232
4/11/2006,42,42.349998,41.48,41.610001,8828400,32.702033
4/12/2006,41.830002,41.98,41.700001,41.900002,5873900,32.92995
4/13/2006,41.959999,42.419998,41.91,42.189999,6554700,33.157864
4/17/2006,42.279999,42.380001,41.830002,42,7986200,33.008541
4/18/2006,42.220001,42.75,42.07,42.599998,11079200,33.48009
4/19/2006,42.400002,42.990002,42.299999,42.619999,9448100,33.495809
4/20/2006,42.5,42.950001,42.380001,42.599998,8435900,33.48009
4/21/2006,42.880001,42.880001,42.400002,42.5,13733100,33.4015
4/24/2006,42.509998,42.779999,42.16,42.68,9475900,33.542965
4/25/2006,42.529999,42.82,42.110001,42.220001,11649000,33.181444
4/26/2006,42.389999,42.740002,42.16,42.66,10647800,33.527246
4/27/2006,42.66,44.060001,42.529999,43.950001,17465000,34.541081
4/28/2006,44.099998,45.900002,44.099998,45.380001,28234900,35.664943
5/1/2006,45.380001,45.59,44.73,44.779999,16235100,35.193391
5/2/2006,45,45.509998,44.91,45.5,12964500,35.759253
5/3/2006,45.59,45.700001,45.220001,45.459999,15589600,35.727815
5/4/2006,45.509998,45.810001,45.5,45.689999,10550700,35.908576
5/5/2006,45.91,46.799999,45.689999,46.650002,17297800,36.663059
5/8/2006,46.599998,46.650002,46.040001,46.099998,10283900,36.230802
5/9/2006,45.939999,46.349998,45.849998,46.02,7931000,36.16793
5/10/2006,45.740002,46.119999,45.509998,45.919998,7213600,36.089337
5/11/2006,45.919998,45.959999,44.959999,45.150002,10532900,35.484183
5/12/2006,44.950001,44.959999,44.259998,44.32,18204900,34.83187
5/15/2006,44.330002,44.75,44.25,44.540001,11229400,35.004772
5/16/2006,44.599998,44.799999,44.130001,44.32,8263600,34.83187
