Date,Open,High,Low,Close,Volume,Adj Close
1/3/2006,34.290001,34.290001,33.200001,33.52,9250100,24.670453
1/4/2006,33.43,33.849998,33.419998,33.82,5990200,24.89125
1/5/2006,33.82,34.200001,33.73,33.860001,6245200,24.92069
1/6/2006,34.23,34.299999,33.810001,34.060001,5877100,25.067889
1/9/2006,34,34.740002,33.990002,34.709999,4659900,25.546282
1/10/2006,34.610001,34.849998,34.540001,34.740002,7021800,25.568364
1/11/2006,34.82,35.360001,34.799999,35.34,8209000,26.009958
1/12/2006,35.25,35.32,34.740002,34.790001,11593600,25.605163
1/13/2006,34.650002,34.740002,34.349998,34.470001,4807700,25.369646
1/17/2006,34.720001,35.16,34.52,34.59,5499100,25.457964
1/18/2006,34.580002,35.439999,34.41,34.990002,10550100,25.752362
1/19/2006,35.299999,35.369999,35,35.200001,9093800,25.906919
1/20/2006,35.200001,35.91,35.09,35.860001,11436800,26.392674
1/23/2006,35.860001,36.09,35.27,35.709999,6944500,26.282274
1/24/2006,35.939999,36.310001,35.669998,35.849998,9685600,26.385313
1/25/2006,36,36.139999,34.549999,35.16,21016500,25.877479
1/26/2006,35.5,35.700001,34.75,34.939999,12358000,25.71556
1/27/2006,34.939999,35.240002,34.919998,35.049999,7355400,25.79652
1/30/2006,34.900002,35.07,34.830002,35.02,8004200,25.774441
1/31/2006,35.040001,35.25,34.900002,35.009998,6988200,25.767079
2/1/2006,35.009998,35.709999,34.990002,35.669998,7186600,26.252834
2/2/2006,35.330002,35.810001,35.169998,35.450001,5409500,26.090917
2/3/2006,35.450001,36.080002,35.439999,35.970001,6852900,26.473634
2/6/2006,36,36.439999,35.900002,36.130001,7163500,26.591392
2/7/2006,36.299999,36.509998,36.060001,36.189999,4868600,26.63555
2/8/2006,36.599998,36.75,36.259998,36.360001,6444300,26.76067
2/9/2006,36.310001,36.490002,36.220001,36.299999,4889600,26.71651
2/10/2006,36.27,36.459999,36.110001,36.330002,5741200,26.738591
2/13/2006,36.41,36.59,36.16,36.360001,3421100,26.76067
2/14/2006,36.360001,36.549999,36.07,36.369999,5392300,26.768029
2/15/2006,36.259998,36.27,35.75,36.009998,7669400,26.503071
2/16/2006,35.990002,36.389999,35.860001,36.369999,3963500,26.768029
2/17/2006,36.369999,36.439999,36.009998,36.060001,4802300,26.539873
2/21/2006,35.880001,36,35.349998,35.66,5250300,26.245475
2/22/2006,35.75,36.080002,35.720001,35.950001,4323400,26.458913
2/23/2006,35.75,35.990002,35.5,35.59,3751800,26.193956
2/24/2006,35.490002,35.52,35.189999,35.34,4802800,26.009958
2/27/2006,35.299999,35.529999,35.110001,35.25,4262100,25.943719
2/28/2006,35.299999,35.470001,34.889999,34.91,5522700,25.693481
3/1/2006,35,35.18,34.43,34.93,5910300,25.708201
3/2/2006,34.93,34.990002,34.689999,34.939999,4566200,25.71556
3/3/2006,34.75,35.060001,34.639999,34.849998,5270700,25.649321
3/6/2006,34.610001,34.959999,34.57,34.669998,4145000,25.516842
3/7/2006,34.549999,34.779999,34.43,34.639999,7942300,25.494763
3/8/2006,34.669998,34.900002,34.650002,34.68,6588600,25.524203
3/9/2006,34.619999,34.73,34.389999,34.529999,5009600,25.413803
3/10/2006,34.599998,35.009998,34.540001,34.650002,3991100,25.502124
3/13/2006,34.529999,34.700001,34.110001,34.32,6117300,25.259246
3/14/2006,34.169998,34.41,34.119999,34.259998,5652900,25.215085
3/15/2006,34.209999,34.830002,34.189999,34.77,5235500,25.590443
3/16/2006,34.700001,35.139999,34.700001,35.060001,5637800,25.803881
3/17/2006,35.240002,35.25,35,35.099998,5983900,25.833319
3/20/2006,34.939999,35.07,34.669998,34.73,3983900,25.561002
3/21/2006,34.669998,35.139999,34.669998,34.900002,5700400,25.686122
3/22/2006,35.029999,35.130001,34.619999,34.799999,4218100,25.612522
3/23/2006,34.810001,34.810001,34.360001,34.540001,4451300,25.421165
3/24/2006,34.540001,34.860001,34.400002,34.700001,3230600,25.538923
3/27/2006,34.419998,34.650002,34.369999,34.549999,3338600,25.428524
3/28/2006,34.360001,34.77,34.279999,34.310001,4430800,25.251887
3/29/2006,34.200001,34.650002,34.16,34.599998,2583800,25.465323
3/30/2006,34.41,34.799999,34.18,34.549999,4039100,25.428524
3/31/2006,34.41,34.630001,34.259998,34.360001,4020100,25.288686
4/3/2006,34.450001,34.91,34.43,34.73,5750000,25.561002
4/4/2006,34.880001,34.91,34.57,34.66,4283000,25.509483
4/5/2006,34.580002,34.889999,34.43,34.810001,5667500,25.619883
4/6/2006,34.470001,34.91,34.470001,34.599998,4033800,25.465323
4/7/2006,34.630001,34.990002,34.48,34.880001,4716800,25.671402
4/10/2006,35,35.450001,34.950001,35.349998,6109500,26.017317
