Date,Open,High,Low,Close,Volume,Adj Close
1/3/2006,12.23,12.8,12.22,12.6,56073800,11.701414
1/4/2006,12.56,12.78,12.54,12.62,56412300,11.719987
1/5/2006,12.62,12.92,12.6,12.79,52657100,11.877864
1/6/2006,12.8,13.15,12.75,13.12,95067600,12.184329
1/9/2006,13.01,13.09,12.79,12.88,48177800,11.961445
1/10/2006,12.81,12.81,12.61,12.62,43903600,11.719987
1/11/2006,12.64,12.68,12.47,12.6,60810100,11.701414
1/12/2006,12.73,12.74,12.48,12.52,43749300,11.62712
1/13/2006,12.49,12.54,12.37,12.51,33247500,11.617833
1/17/2006,12.46,12.54,12.4,12.44,22593700,11.552824
1/18/2006,12.37,12.39,12.23,12.34,44744000,11.459956
1/19/2006,12.47,12.6,12.45,12.52,41646400,11.62712
1/20/2006,12.48,12.53,12.26,12.29,53853200,11.413522
1/23/2006,12.31,12.5,12.21,12.3,36996200,11.422809
1/24/2006,12.35,12.39,12.19,12.2,48399500,11.32994
1/25/2006,12.4,12.56,12.34,12.51,92994900,11.617833
1/26/2006,12.56,12.6,12.41,12.44,63482400,11.552824
1/27/2006,12.45,12.53,12.39,12.41,61590500,11.524964
1/30/2006,12.42,12.65,12.28,12.61,62092100,11.7107
1/31/2006,12.56,12.59,12.41,12.57,53373600,11.673553
2/1/2006,12.41,12.65,12.39,12.58,54206000,11.68284
2/2/2006,12.54,12.58,12.36,12.39,41926000,11.506391
2/3/2006,12.3,12.38,12.18,12.21,63619900,11.339227
2/6/2006,12.22,12.29,12.06,12.25,61768000,11.376375
2/7/2006,12.23,12.39,12.21,12.37,51162700,11.487817
2/8/2006,12.44,12.63,12.44,12.57,54270900,11.673553
2/9/2006,12.56,12.8,12.46,12.69,107351900,11.784995
2/10/2006,12.58,12.8,12.56,12.69,59674100,11.784995
2/13/2006,12.64,12.72,12.4,12.49,37636000,11.599258
2/14/2006,12.48,12.49,12.35,12.4,47912300,11.515677
2/15/2006,12.37,12.5,12.35,12.41,37630400,11.524964
2/16/2006,12.42,12.49,12.36,12.44,29399100,11.552824
2/17/2006,12.38,12.44,12.32,12.4,35536000,11.515677
2/21/2006,12.35,12.38,12.25,12.34,41343600,11.459956
2/22/2006,12.36,12.49,12.28,12.48,40641000,11.589971
2/23/2006,12.44,12.54,12.4,12.4,39913300,11.515677
2/24/2006,12.39,12.49,12.38,12.46,31299300,11.571398
2/27/2006,12.44,12.51,12.36,12.46,38585600,11.571398
2/28/2006,12.42,12.58,12.39,12.42,43399200,11.534251
3/1/2006,12.49,12.83,12.49,12.81,72471500,11.896438
3/2/2006,12.75,12.92,12.68,12.8,63229200,11.887151
3/3/2006,12.63,12.93,12.61,12.79,52363900,11.877864
3/6/2006,12.75,12.96,12.73,12.77,48553100,11.85929
3/7/2006,12.74,12.92,12.72,12.88,36177700,11.961445
3/8/2006,12.81,12.95,12.75,12.86,38942500,11.942871
3/9/2006,12.9,13,12.82,12.84,48773800,11.924298
3/10/2006,12.88,13,12.84,12.9,38438000,11.980019
3/13/2006,12.92,12.95,12.85,12.9,24297100,11.980019
3/14/2006,12.91,12.98,12.87,12.96,44498300,12.03574
3/15/2006,12.94,13.32,12.9,13.24,76106900,12.295771
3/16/2006,13.34,13.54,13.27,13.5,81957200,12.537229
3/17/2006,13.54,13.72,13.42,13.6,70639000,12.630098
3/20/2006,13.66,13.87,13.57,13.72,123796300,12.74154
3/21/2006,13.34,13.9,13.22,13.62,144515800,12.648671
3/22/2006,13.57,14,13.55,13.99,83106300,12.992284
3/23/2006,13.91,13.99,13.73,13.8,51106100,12.815834
3/24/2006,13.78,13.83,13.72,13.79,35174400,12.806547
3/27/2006,13.83,13.94,13.77,13.84,36646600,12.852982
3/28/2006,13.83,13.85,13.57,13.59,47533800,12.620811
3/29/2006,13.59,13.81,13.43,13.72,55889400,12.74154
3/30/2006,13.72,13.85,13.64,13.78,50501000,12.79726
3/31/2006,13.71,13.85,13.69,13.69,33305800,12.713679
4/3/2006,13.75,13.86,13.75,13.79,26912300,12.806547
4/4/2006,13.82,13.91,13.78,13.84,30831800,12.852982
4/5/2006,13.82,14,13.81,13.95,70984700,12.955137
4/6/2006,13.96,13.96,13.74,13.8,32788400,12.815834
4/7/2006,13.83,13.91,13.72,13.75,29517200,12.7694
4/10/2006,13.73,13.85,13.62,13.83,28928600,12.843695
4/11/2006,13.83,14,13.72,13.84,44219500,12.852982
4/12/2006,13.84,13.9,13.73,13.78,29217300,12.79726
4/13/2006,13.75,13.77,13.66,13.68,29693900,12.704392
4/17/2006,13.66,13.83,13.65,13.74,28970700,12.760113
4/18/2006,13.7,14.01,13.69,14,41113900,13.001571
4/19/2006,13.84,14.34,13.81,14.31,58050400,13.289463
4/20/2006,14.16,14.31,14.1,14.15,32815300,13.140873
4/21/2006,14.16,14.45,14.15,14.28,56187800,13.261602
4/24/2006,14.23,14.67,14.19,14.48,61354000,13.447339
4/25/2006,14.56,14.83,14.55,14.65,58690000,13.605215
4/26/2006,14.7,14.74,14.62,14.72,47345900,13.670223
4/27/2006,14.68,15.21,14.55,14.93,108692600,13.865247
4/28/2006,14.89,14.95,14.52,14.59,67677500,13.549494
5/1/2006,14.61,14.96,14.43,14.58,41422900,13.540207
5/2/2006,14.56,14.58,14.38,14.43,29045900,13.400905
5/3/2006,14.37,14.49,14.07,14.32,40839600,13.298749
5/4/2006,14.38,14.47,14.21,14.29,21837400,13.270889
5/5/2006,14.3,14.57,14.28,14.45,26398600,13.419478
5/8/2006,14.43,14.55,14.17,14.23,29683000,13.215168
5/9/2006,14.22,14.28,14.05,14.11,21975400,13.103726
5/10/2006,14.07,14.37,14.06,14.24,23581800,13.224455
5/11/2006,14.19,14.28,13.8,13.91,31474100,12.917989
