Date,Open,High,Low,Close,Volume,Adj Close
1/3/2006,30.57,31,29.9,30.870001,12794000,14.189203
1/4/2006,31.18,31.719999,30.879999,31.67,12183400,14.556918
1/5/2006,31.700001,31.99,31.389999,31.610001,8028400,14.529339
1/6/2006,31.66,31.75,31.27,31.620001,9210000,14.533936
1/9/2006,31.709999,31.73,31.190001,31.299999,8418000,14.386849
1/10/2006,31.200001,31.280001,30.99,31.02,7619000,14.258149
1/11/2006,30.9,31.299999,30.75,31.120001,7054000,14.304114
1/12/2006,31.02,31.23,30.940001,30.959999,6155600,14.23057
1/13/2006,31.139999,31.450001,30.969999,31.290001,5969800,14.382253
1/17/2006,31.08,31.49,31.059999,31.139999,7289800,14.313306
1/18/2006,31.01,31.549999,30.98,31.129999,6810600,14.30871
1/19/2006,31.110001,31.58,30.99,31.35,6644200,14.409832
1/20/2006,31.440001,31.530001,30.18,30.309999,12924800,13.931802
1/23/2006,30.42,30.75,29.91,30.24,6912000,13.899627
1/24/2006,30.24,30.75,30.200001,30.709999,7601000,14.115659
1/25/2006,30.68,30.76,30.190001,30.360001,7276600,13.954785
1/26/2006,30.83,31.52,30.5,31.49,9298400,14.474182
1/27/2006,31.59,32.310001,31.440001,31.950001,9404600,14.685618
1/30/2006,32.09,32.32,31.719999,31.870001,6701200,14.648847
1/31/2006,31.959999,32.029999,31.33,31.700001,9070200,14.570707
2/1/2006,31.280001,32.029999,31.139999,31.360001,13563200,14.414428
2/2/2006,33.150002,34.849998,33,34.400002,41156200,15.811746
2/3/2006,34.200001,34.560001,33.630001,33.880001,18720600,15.572731
2/6/2006,33.5,34.509998,33.490002,34.490002,12475000,15.853114
2/7/2006,34.400002,34.560001,34.049999,34.32,14700200,15.774973
2/8/2006,34.509998,35,34.200001,34.720001,12809800,15.958832
2/9/2006,35.110001,35.330002,34.720001,35.189999,13998400,16.174863
2/10/2006,35.360001,35.630001,35,35.5,10493600,16.317353
2/13/2006,34.360001,34.709999,34.07,34.57,13833800,15.889884
2/14/2006,34.799999,34.91,34.439999,34.669998,11034600,15.935848
2/15/2006,34.709999,35.299999,34.07,35.18,9871200,16.170267
2/16/2006,35.32,35.849998,35.099998,35.849998,10433400,16.478228
2/17/2006,35.560001,35.919998,35.369999,35.389999,8056800,16.266792
2/21/2006,35.450001,36.049999,34.919998,35.259998,8661800,16.207038
2/22/2006,35.400002,36.369999,35.360001,36.02,10431400,16.556368
2/23/2006,36.009998,36.869999,35.919998,36.169998,10974400,16.625314
2/24/2006,36.299999,36.369999,35.580002,35.919998,9034600,16.510403
2/27/2006,35.869999,36.779999,35.82,36.700001,8077800,16.868926
2/28/2006,36.540001,36.689999,35.939999,36.32,9875800,16.694261
3/1/2006,36.330002,36.619999,35.849998,36.279999,8642600,16.675875
3/2/2006,36.16,36.310001,35.32,35.450001,14728800,16.294371
3/3/2006,36.040001,36.43,35.5,35.580002,11562000,16.354126
3/6/2006,35.669998,36.459999,35.200001,35.91,11609600,16.505807
3/7/2006,35.849998,36.240002,35.380001,35.549999,8586400,16.340335
3/8/2006,35.919998,35.939999,34.790001,35.349998,8145800,16.248406
3/9/2006,35.299999,35.639999,34.849998,34.919998,7071400,16.050759
3/10/2006,35.150002,35.73,34.73,35.389999,12333000,16.266792
3/13/2006,35.049999,35.52,34.900002,35.029999,7956600,16.10132
3/14/2006,35.009998,36.400002,34.830002,36.25,11344600,16.662086
3/15/2006,36.25,36.619999,36.16,36.509998,9688800,16.781593
3/16/2006,36.610001,36.720001,36.099998,36.18,6637600,16.629911
3/17/2006,36.310001,37.099998,36.200001,36.610001,16265000,16.827558
3/20/2006,36.790001,37.349998,36.73,36.889999,10075600,16.956258
3/21/2006,36.279999,37.369999,36.240002,36.279999,9509200,16.675875
3/22/2006,36.34,36.740002,36.169998,36.560001,7431200,16.804576
3/23/2006,36.299999,36.490002,35.82,36.130001,7370200,16.606929
3/24/2006,36.279999,36.889999,36.139999,36.619999,7344800,16.832154
3/27/2006,36.599998,36.919998,36.32,36.59,8815800,16.818365
3/28/2006,36.740002,37.220001,36.330002,36.599998,9723000,16.822961
3/29/2006,36.93,37.77,36.639999,37.529999,12899800,17.250429
3/30/2006,37.630001,38.110001,37.200001,37.529999,9633600,17.250429
3/31/2006,37.52,37.93,37.439999,37.630001,8581200,17.296395
4/3/2006,37.98,38.5,37.75,37.990002,15231200,17.461867
4/4/2006,38.25,38.48,37.970001,38.330002,9335000,17.618146
4/5/2006,38.290001,38.349998,37.25,37.490002,11467000,17.232045
4/6/2006,37.450001,37.880001,37.049999,37.450001,9241400,17.213659
4/7/2006,38.5,38.959999,37.75,37.860001,13841800,17.402113
4/10/2006,38.110001,38.25,37.860001,37.970001,5561200,17.452674
4/11/2006,38.25,38.310001,37.490002,37.57,7913000,17.268816
4/12/2006,37.810001,38.110001,37.689999,38.009998,5279600,17.471058
4/13/2006,38.189999,38.68,37.900002,38.290001,7647200,17.59976
4/17/2006,38.68,38.689999,37.490002,37.860001,9663600,17.402113
4/18/2006,38.209999,38.919998,37.98,38.57,11339000,17.728459
