Date,Open,High,Low,Close,Volume,Adj Close
1/3/2006,24.49,24.870001,24.24,24.709999,16350500,14.390008
1/4/2006,24.66,25.059999,24.639999,24.889999,14824800,14.494832
1/5/2006,24.91,25.1,24.9,24.950001,10802900,14.529775
1/6/2006,24.799999,25.030001,24.6,24.93,11802600,14.714517
1/9/2006,24.780001,25.120001,24.690001,25.02,18037700,14.767638
1/10/2006,24.950001,24.98,24.73,24.870001,10713400,14.679103
1/11/2006,24.870001,25.09,24.76,25.07,11400400,14.797149
1/12/2006,25.120001,25.200001,24.870001,24.959999,13113000,14.732223
1/13/2006,24.98,25.08,24.809999,24.99,10137700,14.749931
1/17/2006,24.799999,24.889999,24.620001,24.84,9102600,14.661396
1/18/2006,24.700001,24.870001,24.66,24.82,12442900,14.649591
1/19/2006,24.82,24.98,24.82,24.9,10346800,14.69681
1/20/2006,24.75,24.870001,24.610001,24.709999,13527100,14.584665
1/23/2006,24.68,24.75,24.389999,24.450001,10938100,14.431205
1/24/2006,24.5,25,24.5,24.66,9999600,14.555154
1/25/2006,24.530001,25.23,24.52,25.209999,15592300,14.879782
1/26/2006,25.389999,25.66,25.26,25.51,15638100,15.056852
1/27/2006,25.620001,26,25.52,25.889999,16098700,15.28114
1/30/2006,25.870001,26.16,25.85,26.049999,13101800,15.375578
1/31/2006,26.059999,26.209999,25.870001,25.950001,16168800,15.316555
2/1/2006,26,26.610001,25.889999,26.549999,18626900,15.670694
2/2/2006,26.75,26.76,26.299999,26.52,14939000,15.652988
2/3/2006,26.52,26.93,26.4,26.790001,21797800,15.812351
2/6/2006,26.799999,27.120001,26.74,27.049999,17962900,15.965811
2/7/2006,27.120001,27.209999,26.77,26.92,14165700,15.889081
2/8/2006,26.93,27.139999,26.67,27.129999,13627600,16.01303
2/9/2006,27.299999,27.389999,27.02,27.129999,14174200,16.01303
2/10/2006,27.030001,27.620001,27.01,27.48,16476400,16.219612
2/13/2006,27.6,27.82,27.450001,27.65,16690800,16.319951
2/14/2006,27.66,28.82,27.66,28.290001,23060000,16.697701
2/15/2006,28.120001,28.389999,27.93,28.32,14123800,16.715408
2/16/2006,28.5,28.65,28.219999,28.450001,14127900,16.792139
2/17/2006,28.5,28.549999,28.17,28.280001,15812700,16.691799
2/21/2006,28.25,28.469999,28.129999,28.15,13868500,16.615068
2/22/2006,28.370001,28.370001,28.059999,28.25,9494100,16.674091
2/23/2006,28.139999,28.219999,27.75,27.940001,11205500,16.491119
2/24/2006,27.959999,28.07,27.42,27.57,13175100,16.272733
2/27/2006,27.52,27.98,27.48,27.77,11821000,16.39078
2/28/2006,27.65,27.77,27.540001,27.59,10429500,16.284538
3/1/2006,27.6,28.18,27.6,28.09,13455300,16.579654
3/2/2006,28.09,28.389999,27.959999,28.280001,14677300,16.691799
3/3/2006,28.190001,28.200001,27.85,27.99,10971000,16.520631
3/6/2006,27.34,27.700001,26.780001,27.02,62623900,15.948105
3/7/2006,27.02,27.02,26.110001,26.530001,40720900,15.658891
3/8/2006,26.75,26.82,26.34,26.790001,21259700,15.812351
3/9/2006,26.799999,27.139999,26.780001,26.950001,20351500,15.906789
3/10/2006,26.99,27.25,26.809999,27.23,29054400,16.072053
3/13/2006,27.24,27.389999,27.07,27.120001,21282800,16.007128
3/14/2006,27.120001,27.41,27.08,27.32,19076100,16.125174
3/15/2006,27.24,27.35,27,27.309999,9808900,16.119272
3/16/2006,27.18,27.35,26.879999,27.110001,18302200,16.001226
3/17/2006,27.200001,27.25,26.870001,27,21617800,15.9363
3/20/2006,27.16,27.16,26.700001,26.82,14822800,15.830058
3/21/2006,26.82,26.860001,26.59,26.719999,16658800,15.771034
3/22/2006,26.32,26.950001,26.32,26.92,17601400,15.889081
3/23/2006,26.92,27.01,26.9,27,23436300,15.9363
3/24/2006,27.1,27.4,27.08,27.370001,28412500,16.154687
3/27/2006,27.370001,27.42,27.280001,27.309999,18772800,16.119272
3/28/2006,27.25,27.4,26.940001,27.02,17855100,15.948105
3/29/2006,27.040001,27.41,27.040001,27.26,12516300,16.089761
3/30/2006,27.26,27.370001,27,27.02,17119700,15.948105
3/31/2006,27.030001,27.290001,27.02,27.040001,14832800,15.95991
4/3/2006,27.23,27.24,26.93,26.950001,15279100,15.906789
4/4/2006,27.01,27.25,26.959999,27.120001,10970600,16.007128
4/5/2006,26.98,27.190001,26.98,27.09,18130000,15.989421
4/6/2006,26.75,26.959999,26.33,26.450001,17838200,15.805963
4/7/2006,26.459999,26.530001,26.110001,26.16,22009100,15.632665
4/10/2006,26.18,26.190001,25.93,26.030001,10113800,15.55498
4/11/2006,25.98,26.120001,25.540001,25.780001,16858800,15.405586
4/12/2006,26,26,25.48,25.620001,14438600,15.309973
4/13/2006,25.58,25.68,25.440001,25.58,13632500,15.286069
