Date,Open,High,Low,Close,Volume,Adj Close
1/3/2006,55.52,55.52,53.59,54.720001,4473700,45.1919
1/4/2006,54.529999,54.759998,54.18,54.650002,4054300,45.134089
1/5/2006,55.029999,55.43,54.139999,54.490002,5378900,45.001949
1/6/2006,54.880001,54.919998,53.919998,54.330002,4067900,44.869809
1/9/2006,54.200001,54.66,54.150002,54.400002,3643300,44.92762
1/10/2006,54.32,54.540001,54.150002,54.34,3580700,44.878066
1/11/2006,53.91,54.34,53.639999,54.34,3784800,44.878066
1/12/2006,54.279999,54.279999,53.580002,53.93,2577300,44.539457
1/13/2006,54.16,54.700001,54.080002,54.380001,2471800,44.911102
1/17/2006,54.259998,54.299999,53.830002,54.099998,2716300,44.679855
1/18/2006,53.650002,54.25,53.57,53.939999,3899200,44.547715
1/19/2006,54.630001,54.73,54.02,54.419998,3063500,44.944135
1/20/2006,54.59,54.669998,53.580002,53.580002,4165200,44.250402
1/23/2006,53.529999,53.75,52.560001,52.75,4079300,43.564924
1/24/2006,53.98,54.639999,53.599998,54.25,6506200,44.803737
1/25/2006,54.650002,55.25,54.349998,54.799999,4665600,45.257968
1/26/2006,55,55.119999,53.5,53.900002,5501500,44.514682
1/27/2006,54.75,54.93,54.02,54.169998,3864400,44.737666
1/30/2006,54.380001,54.779999,54.27,54.369999,2729300,44.902841
1/31/2006,54.549999,54.830002,54.119999,54.75,3977300,45.216675
2/1/2006,54.599998,55.169998,54.07,54.740002,3586800,45.208418
2/2/2006,54.900002,55.400002,53.700001,55.23,5666100,45.613095
2/3/2006,54.709999,55.369999,54.360001,54.959999,3834800,45.390108
2/6/2006,55.200001,55.48,54.830002,55,4283900,45.423144
2/7/2006,55.040001,55.169998,54.169998,54.310001,3527300,44.853291
2/8/2006,54.630001,54.630001,53.720001,54.049999,3483700,44.638562
2/9/2006,54.009998,54.360001,53.75,53.98,3788800,44.580751
2/10/2006,53.900002,54.77,53.700001,54.610001,4016100,45.101053
2/13/2006,54.360001,54.830002,54.25,54.540001,1953300,45.043242
2/14/2006,54.259998,55.439999,54.009998,55.43,3447000,45.77827
2/15/2006,55.099998,55.889999,54.68,55.799999,3599300,46.167132
2/16/2006,54.900002,55.259998,54.150002,54.59,5917900,45.166017
2/17/2006,54.450001,54.77,54.07,54.310001,5187600,44.934355
2/21/2006,54.259998,54.599998,53.52,53.66,4621800,44.396565
2/22/2006,53.919998,55,53.779999,54.599998,4116800,45.174289
2/23/2006,54.73,55.16,54.310001,54.509998,4243500,45.099826
2/24/2006,54.450001,54.509998,53.849998,54.049999,2838500,44.719238
2/27/2006,54.32,55.82,54.25,55.48,3697800,45.902374
2/28/2006,55.099998,55.34,54.27,54.400002,4707500,45.008818
3/1/2006,54.59,54.900002,54.029999,54.57,3469300,45.149469
3/2/2006,54.450001,54.450001,53.400002,53.709999,4024300,44.437932
3/3/2006,53.450001,54.02,53.299999,53.389999,4077000,44.173175
3/6/2006,53.400002,53.639999,52.799999,52.939999,4801600,43.800859
3/7/2006,52.950001,53.139999,52.549999,52.860001,4455100,43.734671
3/8/2006,52.849998,53.77,52.700001,53.369999,3269300,44.156627
3/9/2006,53.5,53.540001,52.59,52.75,2662100,43.64366
3/10/2006,52.75,53.779999,52.709999,53.310001,3613600,44.106987
3/13/2006,53.450001,53.580002,53.150002,53.360001,3023900,44.148355
3/14/2006,53.16,54.610001,53.16,54.540001,3827900,45.124649
3/15/2006,54.650002,54.700001,53.27,53.720001,4295700,44.446208
3/16/2006,54,54.169998,53.639999,53.720001,2473300,44.446208
3/17/2006,53.939999,54.040001,53.599998,53.77,3624900,44.487576
3/20/2006,53.650002,53.900002,53.27,53.529999,2772600,44.289006
3/21/2006,53.549999,53.93,52.98,53.360001,5867700,44.148355
3/22/2006,53.360001,53.939999,53.110001,53.560001,4546700,44.313829
3/23/2006,53.32,53.48,53,53.330002,4167300,44.123535
3/24/2006,53.599998,53.830002,53.029999,53.709999,3771700,44.437932
3/27/2006,53.509998,53.810001,53.099998,53.169998,2639500,43.991153
3/28/2006,53.07,53.700001,53.07,53.25,3092600,44.057344
3/29/2006,53.349998,53.580002,53.110001,53.299999,3859300,44.098712
3/30/2006,53.119999,53.450001,52.5,52.75,5131600,43.64366
3/31/2006,52.549999,52.889999,51.900002,52.009998,4836500,43.031406
4/3/2006,52,52.009998,51.150002,51.18,5488100,42.344693
4/4/2006,51.369999,51.900002,50.880001,51.560001,4553100,42.659093
4/5/2006,51.889999,52.349998,51.799999,52.18,3943500,43.17206
4/6/2006,53.150002,53.380001,52.34,52.619999,5378800,43.536101
4/7/2006,52.700001,52.889999,51.889999,51.959999,3401600,42.990039
4/10/2006,52.290001,52.290001,51.43,51.619999,3595800,42.708733
4/11/2006,51.549999,51.759998,51.049999,51.189999,3073700,42.352965
4/12/2006,51.099998,51.470001,50.950001,51.389999,3519400,42.518439
