id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,72.38,74.75,72.25,74.75,201808600,74.75,74.75,-0.0012,0.0
1,1/4/2006,75.13,75.98,74.5,74.97,154900900,74.94,74.96,0.022,100.0
2,1/5/2006,74.83,74.9,73.75,74.38,112355600,74.52,74.43,-0.0061,50.0
3,1/6/2006,75.25,76.7,74.55,76.3,176114400,75.61,75.97,0.0808,66.6666666667
4,1/9/2006,76.73,77.2,75.74,76.05,168760200,75.51,75.64,0.1177,50.0
5,1/10/2006,76.25,81.89,75.83,80.86,569967300,76.88,77.74,0.4311,60.0
6,1/11/2006,83.84,84.8,82.59,83.9,373448600,77.32,77.5,0.9445,66.6666666667
7,1/12/2006,84.97,86.4,83.62,84.29,320202400,77.32,75.86,1.0911,71.4285714286
8,1/13/2006,84.99,86.01,84.6,85.59,194076400,78.68,76.84,1.1925,75.0
9,1/17/2006,85.7,86.38,83.87,84.71,208905900,80.2,78.14,1.1174,66.6666666667
10,1/18/2006,83.08,84.05,81.85,82.49,300159300,81.67,79.97,0.6758,60.0
11,1/19/2006,81.25,81.66,78.74,79.04,423962000,82.56,81.53,0.0238,54.5454545455
12,1/20/2006,79.28,80.04,75.83,76.09,283689700,82.98,83.26,-0.568,50.0
13,1/23/2006,76.1,79.56,76.0,77.67,264932500,82.3,83.62,-0.4587,53.8461538462
14,1/24/2006,78.76,79.42,75.77,76.04,285563600,81.41,83.0,-0.64,46.1538461538
15,1/25/2006,77.39,77.5,73.25,74.2,318946600,80.23,81.99,-1.2545,46.1538461538
16,1/26/2006,74.53,75.43,71.93,72.33,295346800,78.61,80.24,-1.8046,38.4615384615
17,1/27/2006,72.95,73.6,71.1,72.03,238466200,76.84,78.27,-2.1294,38.4615384615
18,1/30/2006,71.17,76.6,70.87,75.0,349600300,75.34,76.49,-1.456,38.4615384615
19,1/31/2006,75.5,76.34,73.75,75.51,228385500,74.77,75.42,-1.0678,38.4615384615
20,2/1/2006,74.95,76.46,74.64,75.42,130296600,74.68,75.07,-0.9801,30.7692307692
21,2/2/2006,75.1,75.36,72.05,72.1,176830500,74.36,74.24,-1.8575,23.0769230769
22,2/3/2006,72.24,72.79,71.04,71.85,173030900,73.8,73.68,-2.3096,23.0769230769
23,2/6/2006,72.02,72.51,66.74,67.3,412941900,73.46,73.49,-3.36,23.0769230769
