id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,70.4,70.6,69.33,70.44,4943000,70.44,70.44,0.0134,0.0
1,1/4/2006,70.08,71.27,69.86,71.17,3165000,71.07,71.14,0.1531,100.0
2,1/5/2006,70.55,70.55,69.58,70.33,4598100,70.47,70.37,-0.1076,50.0
3,1/6/2006,70.34,70.5,69.05,69.35,4820000,69.91,69.63,-0.4589,33.3333333333
4,1/9/2006,69.28,69.4,68.66,68.77,4567300,69.66,69.4,-0.9779,25.0
5,1/10/2006,68.8,69.24,68.57,69.1,3869000,69.75,69.77,-0.9536,40.0
6,1/11/2006,69.97,70.3,69.11,70.1,5011600,69.89,70.19,0.1053,50.0
7,1/12/2006,70.25,70.45,69.54,69.69,2347000,69.89,70.13,0.1715,42.8571428571
8,1/13/2006,69.64,70.2,68.79,69.48,2963700,69.79,69.97,-0.5075,37.5
9,1/17/2006,69.07,69.4,68.66,68.69,2712900,69.55,69.56,-1.5081,33.3333333333
10,1/18/2006,68.55,68.92,68.05,68.33,2650700,69.31,69.31,-2.4863,30.0
11,1/19/2006,68.16,68.49,67.72,68.17,2642700,69.17,69.26,-3.1321,27.2727272727
12,1/20/2006,68.1,68.16,66.49,66.5,6433800,69.08,69.34,-5.5502,25.0
13,1/23/2006,65.9,67.34,65.9,67.02,4067400,68.71,69.24,-6.2787,30.7692307692
14,1/24/2006,67.41,67.88,67.13,67.66,3581900,68.27,68.79,-4.1565,30.7692307692
15,1/25/2006,67.71,67.91,66.91,66.91,3722700,67.98,68.36,-5.0373,30.7692307692
16,1/26/2006,67.44,68.75,67.32,68.72,4768300,67.61,67.89,-1.8841,38.4615384615
17,1/27/2006,68.39,69.25,67.99,68.56,3954700,67.62,67.62,-0.7827,38.4615384615
18,1/30/2006,68.52,69.05,68.2,69.03,2048100,67.65,67.45,-0.2237,38.4615384615
19,1/31/2006,69.0,69.05,68.31,68.31,4090500,67.77,67.35,-0.982,30.7692307692
20,2/1/2006,70.0,72.17,70.0,71.62,11806000,68.03,67.73,9.3998,38.4615384615
21,2/2/2006,71.35,72.3,71.3,71.7,6602900,68.69,68.15,11.1747,46.1538461538
22,2/3/2006,71.7,72.09,70.86,70.87,3786800,69.26,68.55,9.0521,46.1538461538
23,2/6/2006,70.65,71.64,70.3,71.14,3162900,69.83,69.28,7.8671,53.8461538462
24,2/7/2006,71.3,72.05,71.16,71.55,4246300,70.18,69.65,9.6151,61.5384615385
25,2/8/2006,71.25,71.93,71.0,71.76,2890800,70.6,70.16,9.0704,69.2307692308
26,2/9/2006,71.77,72.76,71.37,72.01,4149200,70.99,70.65,10.6219,69.2307692308
27,2/10/2006,72.1,72.7,72.03,72.53,2813100,71.52,71.45,11.7031,69.2307692308
