id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,86.4,86.98,84.35,86.98,1934000,86.98,86.98,0.0081,0.0
1,1/4/2006,86.98,87.18,85.59,86.42,1751500,86.5,86.44,0.0401,0.0
2,1/5/2006,86.55,86.95,86.0,86.44,1365100,86.51,86.48,0.056,50.0
3,1/6/2006,86.8,86.85,85.69,86.44,904000,86.51,86.5,-0.008,50.0
4,1/9/2006,86.55,88.63,86.54,88.12,1598400,87.23,87.6,0.7018,66.6666666667
5,1/10/2006,87.05,87.87,87.01,87.72,1359200,87.12,87.19,0.5663,50.0
6,1/11/2006,88.19,89.14,87.54,88.0,1923600,87.16,87.11,1.0686,60.0
7,1/12/2006,87.95,88.35,86.63,86.7,1372000,87.16,86.9,0.2262,50.0
8,1/13/2006,87.1,87.11,86.54,86.64,1616800,87.12,86.93,-0.2519,42.8571428571
9,1/17/2006,86.05,86.47,85.52,86.0,1257400,87.15,87.12,-1.1105,37.5
10,1/18/2006,85.7,86.3,85.7,86.0,1248500,87.09,87.28,-1.1025,37.5
11,1/19/2006,86.38,86.76,85.15,85.52,1580100,87.03,87.42,-1.3701,33.3333333333
12,1/20/2006,86.0,87.27,85.01,85.17,3761800,86.65,87.06,-1.3776,30.0
13,1/23/2006,85.8,86.3,84.4,84.5,1973500,86.29,86.7,-2.6258,27.2727272727
14,1/24/2006,84.55,85.44,84.2,84.38,1853800,85.79,86.15,-3.349,27.2727272727
15,1/25/2006,84.63,84.68,83.29,83.5,1752200,85.46,85.84,-5.0118,18.1818181818
16,1/26/2006,84.95,85.0,84.24,84.8,1929600,85.01,85.43,-3.217,25.0
17,1/27/2006,84.81,85.03,84.22,84.74,1426200,84.84,85.14,-3.2576,16.6666666667
18,1/30/2006,84.95,85.15,84.28,84.28,1013700,84.66,84.8,-3.462,16.6666666667
19,1/31/2006,84.29,84.34,83.0,83.3,2208600,84.48,84.54,-5.9569,8.33333333333
20,2/1/2006,83.39,83.59,82.69,83.27,1949000,84.21,84.31,-6.557,8.33333333333
21,2/2/2006,83.26,83.27,82.41,82.7,1347000,84.04,84.19,-7.1405,8.33333333333
22,2/3/2006,82.6,83.58,82.42,83.27,1358300,83.8,84.05,-5.9829,16.6666666667
23,2/6/2006,83.25,83.57,83.01,83.3,1293300,83.77,84.11,-5.0883,23.0769230769
24,2/7/2006,82.68,83.13,81.57,81.75,1521300,83.55,83.8,-7.4117,23.0769230769
25,2/8/2006,81.7,83.52,81.22,83.46,1439800,83.12,83.4,-5.2913,30.7692307692
26,2/9/2006,83.89,84.69,83.83,84.13,1909900,83.01,83.08,-0.7815,38.4615384615
27,2/10/2006,84.28,85.25,83.7,85.17,1528700,83.13,83.03,0.8988,46.1538461538
28,2/13/2006,84.3,86.1,84.3,85.99,1796900,83.4,83.07,3.1592,53.8461538462
29,2/14/2006,86.01,87.12,85.42,86.83,1947800,83.87,83.36,5.8021,53.8461538462
