id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,57.25,59.1,57.06,59.08,13296000,59.08,59.08,0.0066,0.0
1,1/4/2006,59.08,59.08,58.43,58.91,8838700,58.93,58.92,0.0332,0.0
2,1/5/2006,58.68,58.96,57.85,58.19,8634800,58.42,58.28,-0.0524,0.0
3,1/6/2006,58.95,59.57,58.59,59.25,9609000,59.03,59.17,0.1939,33.3333333333
4,1/9/2006,59.49,59.58,58.55,58.95,6442300,58.9,58.92,0.1534,25.0
5,1/10/2006,58.76,59.48,58.75,59.24,6969000,58.98,59.04,0.2141,40.0
6,1/11/2006,59.22,60.0,58.65,59.84,6451300,59.07,59.13,0.4378,50.0
7,1/12/2006,60.0,60.59,59.61,59.89,7535200,59.07,58.93,0.8371,57.1428571429
8,1/13/2006,59.89,60.62,59.75,60.36,5867900,59.18,58.96,1.0315,62.5
9,1/17/2006,60.9,61.9,60.72,61.86,8751800,59.39,59.08,2.287,66.6666666667
10,1/18/2006,61.98,62.0,60.46,60.9,8984000,59.91,59.51,1.872,60.0
11,1/19/2006,60.4,61.75,60.21,61.6,7877800,60.15,59.73,1.9501,63.6363636364
12,1/20/2006,62.0,62.43,60.75,61.12,11189300,60.53,60.13,2.2827,58.3333333333
13,1/23/2006,61.09,62.38,60.52,62.21,8962800,60.8,60.52,2.666,61.5384615385
14,1/24/2006,62.05,62.72,61.8,62.05,8400100,61.13,60.84,3.4467,61.5384615385
15,1/25/2006,62.3,62.55,60.53,61.26,12446800,61.44,61.23,2.1893,61.5384615385
16,1/26/2006,61.5,61.5,60.11,60.22,14414400,61.57,61.53,0.7083,53.8461538462
17,1/27/2006,60.1,60.76,59.8,60.38,16687800,61.34,61.4,0.1734,61.5384615385
18,1/30/2006,60.85,60.85,59.81,60.75,12625000,61.26,61.49,0.4787,61.5384615385
19,1/31/2006,60.41,60.6,59.27,59.38,15266500,61.14,61.38,-1.0198,53.8461538462
20,2/1/2006,59.38,59.8,58.6,58.7,11121300,60.89,61.32,-2.6629,46.1538461538
