id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,7.72,7.83,7.66,7.83,16903100,7.83,7.83,0.0692,0.0
1,1/4/2006,7.83,8.08,7.82,8.01,35623400,7.98,8.0,0.2208,100.0
2,1/5/2006,8.05,8.4,8.03,8.35,31978000,8.23,8.3,0.9663,100.0
3,1/6/2006,8.3,8.66,8.27,8.52,40420800,8.32,8.4,1.9025,100.0
4,1/9/2006,8.65,8.86,8.6,8.62,28957700,8.37,8.42,3.4121,100.0
5,1/10/2006,8.68,8.91,8.53,8.77,27937500,8.41,8.43,3.8287,100.0
6,1/11/2006,8.81,8.96,8.77,8.93,30517300,8.43,8.38,5.1891,100.0
7,1/12/2006,8.86,8.87,8.5,8.56,30717300,8.43,8.25,2.5609,85.7142857143
8,1/13/2006,8.56,8.64,8.43,8.55,24687200,8.54,8.43,1.3388,75.0
9,1/17/2006,8.55,8.58,8.19,8.31,19838800,8.61,8.58,-1.0337,66.6666666667
10,1/18/2006,8.31,8.32,8.16,8.21,17702100,8.61,8.64,-2.7781,60.0
11,1/19/2006,8.2,8.37,8.16,8.22,19518000,8.56,8.65,-2.5351,63.6363636364
12,1/20/2006,8.3,8.3,7.85,7.9,40848900,8.51,8.63,-5.9647,58.3333333333
13,1/23/2006,8.3,8.59,8.27,8.32,65652200,8.38,8.53,0.3419,61.5384615385
14,1/24/2006,8.4,8.42,8.15,8.4,31666900,8.3,8.37,-0.9331,61.5384615385
15,1/25/2006,8.42,8.63,8.29,8.62,32393300,8.27,8.3,2.9288,61.5384615385
16,1/26/2006,8.6,8.75,8.4,8.67,35831300,8.28,8.23,4.8617,61.5384615385
17,1/27/2006,8.68,8.81,8.52,8.65,30720200,8.33,8.24,6.2507,53.8461538462
18,1/30/2006,8.66,8.8,8.57,8.68,22826900,8.4,8.29,6.8584,53.8461538462
19,1/31/2006,8.69,8.7,8.56,8.58,14053300,8.46,8.35,5.0353,46.1538461538
20,2/1/2006,8.53,8.7,8.45,8.66,31311700,8.56,8.51,3.5418,53.8461538462
21,2/2/2006,8.67,8.68,8.26,8.37,23637000,8.61,8.58,-1.7027,53.8461538462
22,2/3/2006,8.37,8.42,8.23,8.26,18328100,8.6,8.63,-5.5787,53.8461538462
23,2/6/2006,8.26,8.3,8.05,8.11,14899100,8.55,8.62,-9.3201,53.8461538462
24,2/7/2006,8.18,8.18,8.05,8.09,14134100,8.47,8.57,-9.6514,46.1538461538
25,2/8/2006,8.08,8.24,8.02,8.23,19157800,8.39,8.5,-7.2624,53.8461538462
26,2/9/2006,8.22,8.43,8.21,8.36,15484400,8.33,8.42,-1.7228,53.8461538462
27,2/10/2006,8.34,8.34,8.15,8.27,12496800,8.3,8.35,-3.2482,46.1538461538
28,2/13/2006,8.35,8.35,8.17,8.2,9458300,8.24,8.24,-3.3209,38.4615384615
29,2/14/2006,8.23,8.32,8.17,8.3,11397000,8.22,8.2,-2.46,38.4615384615
30,2/15/2006,8.3,8.39,8.27,8.38,9238100,8.22,8.19,-0.3393,46.1538461538
31,2/16/2006,8.42,8.5,8.31,8.39,17408300,8.26,8.23,0.7664,46.1538461538
32,2/17/2006,8.43,8.49,8.42,8.45,11355800,8.3,8.28,1.6304,53.8461538462
33,2/21/2006,8.45,8.46,8.31,8.39,10310400,8.34,8.31,-0.0858,46.1538461538
34,2/22/2006,8.41,8.44,8.28,8.3,13909900,8.34,8.31,-1.5506,46.1538461538
35,2/23/2006,8.3,8.3,8.15,8.17,15635000,8.34,8.32,-4.7195,46.1538461538
36,2/24/2006,8.21,8.21,8.06,8.1,12344600,8.34,8.36,-6.3012,46.1538461538
37,2/27/2006,8.15,8.21,8.08,8.08,13314900,8.31,8.36,-5.472,46.1538461538
38,2/28/2006,8.09,8.16,7.96,7.97,23747200,8.27,8.33,-6.992,38.4615384615
39,3/1/2006,8.0,8.02,7.86,7.95,30593500,8.21,8.29,-8.3136,30.7692307692
40,3/2/2006,7.96,7.97,7.65,7.66,32937200,8.14,8.21,-11.6801,30.7692307692
41,3/3/2006,7.66,7.71,7.39,7.57,39011500,8.03,8.12,-15.7257,30.7692307692
42,3/6/2006,7.62,7.76,7.61,7.69,18848100,7.93,8.03,-11.4682,30.7692307692
43,3/7/2006,7.75,7.77,7.6,7.65,18189300,7.86,7.95,-10.9557,23.0769230769
44,3/8/2006,7.65,7.68,7.52,7.55,19993400,7.8,7.88,-12.511,15.3846153846
45,3/9/2006,7.6,7.79,7.57,7.75,29037900,7.72,7.79,-8.9205,15.3846153846
46,3/10/2006,7.81,7.87,7.78,7.84,15903800,7.69,7.72,-5.2517,23.0769230769
47,3/13/2006,7.85,7.9,7.8,7.86,19333300,7.67,7.65,-3.9929,30.7692307692
48,3/14/2006,7.8,7.82,7.7,7.73,14880700,7.7,7.66,-5.8367,30.7692307692
49,3/15/2006,7.78,7.86,7.73,7.85,11224900,7.72,7.69,-3.9394,38.4615384615
50,3/16/2006,7.85,7.93,7.75,7.93,24833300,7.75,7.71,-1.9869,46.1538461538
51,3/17/2006,7.93,7.95,7.8,7.81,19214700,7.79,7.74,-1.6759,46.1538461538
52,3/20/2006,7.85,7.94,7.81,7.93,12274600,7.82,7.81,-0.1443,53.8461538462
53,3/21/2006,7.98,8.05,7.89,8.05,24026600,7.85,7.84,2.7155,61.5384615385
54,3/22/2006,8.1,8.16,8.07,8.15,24115300,7.88,7.85,5.6985,69.2307692308
55,3/23/2006,8.15,8.15,7.93,8.08,17972800,7.92,7.86,4.3312,61.5384615385
56,3/24/2006,8.04,8.25,7.96,8.09,15183800,7.97,7.92,5.3253,69.2307692308
57,3/27/2006,8.09,8.18,8.05,8.06,18647300,8.01,7.96,5.2543,69.2307692308
58,3/28/2006,8.08,8.22,8.04,8.13,17244200,8.02,7.99,5.9643,69.2307692308
59,3/29/2006,8.11,8.28,8.08,8.26,23400100,8.07,8.05,7.4081,69.2307692308
60,3/30/2006,8.28,8.29,8.14,8.16,15024400,8.12,8.1,6.8107,61.5384615385
61,3/31/2006,8.23,8.23,7.94,7.96,19844700,8.13,8.12,2.6873,61.5384615385
62,4/3/2006,8.05,8.05,7.74,7.77,30977600,8.11,8.11,-1.9008,53.8461538462
63,4/4/2006,7.77,7.82,7.66,7.68,24538900,8.06,8.1,-4.825,46.1538461538
64,4/5/2006,7.68,7.71,7.46,7.57,34559900,8.0,8.08,-8.1416,46.1538461538
65,4/6/2006,7.59,7.67,7.55,7.65,22895800,7.93,8.05,-7.1881,46.1538461538
