id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,35.1,35.4,34.8,35.37,33221200,35.37,35.37,0.0,0.0
1,1/4/2006,35.35,35.4,35.1,35.32,24017100,35.33,35.32,0.0207,0.0
2,1/5/2006,35.27,35.35,35.1,35.23,18857700,35.26,35.24,-0.0208,0.0
3,1/6/2006,35.38,35.53,35.19,35.47,22084000,35.4,35.44,0.164,33.3333333333
4,1/9/2006,35.4,35.43,35.24,35.38,20716000,35.36,35.36,0.1234,25.0
5,1/10/2006,35.27,35.31,35.05,35.19,21041600,35.31,35.27,-0.1664,20.0
6,1/11/2006,35.14,35.55,35.1,35.43,22394400,35.34,35.36,0.1852,33.3333333333
7,1/12/2006,35.45,35.46,34.94,35.0,22159000,35.34,35.34,-0.3544,28.5714285714
8,1/13/2006,34.9,35.25,34.8,35.1,17216600,35.29,35.32,-0.5655,37.5
9,1/17/2006,35.63,35.63,34.82,34.94,16068800,35.26,35.3,-0.313,33.3333333333
10,1/18/2006,34.9,34.91,34.61,34.82,20154300,35.22,35.3,-1.5251,30.0
11,1/19/2006,34.9,34.9,34.5,34.68,29312200,35.12,35.21,-1.8286,27.2727272727
12,1/20/2006,34.3,34.5,33.22,33.37,88077400,35.02,35.12,-6.04,25.0
13,1/23/2006,33.53,33.67,33.26,33.29,38813000,34.76,35.02,-7.4289,23.0769230769
14,1/24/2006,33.55,33.55,32.91,32.96,46479200,34.46,34.77,-8.8029,23.0769230769
15,1/25/2006,33.15,33.2,32.65,32.76,51385700,34.17,34.56,-10.2762,23.0769230769
16,1/26/2006,32.93,33.07,32.74,33.02,48852100,33.83,34.25,-9.8956,23.0769230769
17,1/27/2006,32.95,33.02,32.75,32.95,43318100,33.56,33.9,-10.0857,23.0769230769
18,1/30/2006,32.9,33.09,32.74,32.93,35384400,33.29,33.52,-9.9956,23.0769230769
19,1/31/2006,32.9,32.98,32.63,32.75,39694300,33.04,33.11,-10.8961,15.3846153846
20,2/1/2006,32.66,33.19,32.64,33.14,38064300,32.95,33.0,-8.8196,23.0769230769
21,2/2/2006,33.07,33.29,32.88,32.9,30467300,32.93,32.91,-7.8681,15.3846153846
22,2/3/2006,32.8,33.14,32.77,32.85,25827600,32.92,32.91,-7.8506,15.3846153846
23,2/6/2006,32.85,32.89,32.65,32.75,23161900,32.93,32.95,-8.1489,15.3846153846
