id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,422.52,435.67,418.22,435.23,26216100,435.23,435.23,-0.0015,0.0
1,1/4/2006,443.9,448.96,439.75,445.24,30542200,443.81,444.88,0.3848,100.0
2,1/5/2006,446.0,451.55,441.5,451.24,21594900,448.1,449.88,0.5715,100.0
3,1/6/2006,456.87,470.5,453.24,465.66,35478200,456.34,460.43,1.9396,100.0
4,1/9/2006,466.41,473.4,460.94,466.9,25558200,456.87,458.89,2.458,100.0
5,1/10/2006,464.42,470.25,462.04,469.76,18176000,457.68,457.71,2.5072,100.0
6,1/11/2006,471.27,475.11,469.18,471.63,17996700,457.95,455.16,3.4218,100.0
7,1/12/2006,473.72,474.99,461.5,463.63,20230300,457.95,451.74,2.2306,85.7142857143
8,1/13/2006,464.31,466.89,461.61,466.25,15297800,462.01,458.44,1.7855,87.5
9,1/17/2006,463.06,469.9,462.53,467.11,16524000,465.01,463.38,2.2252,88.8888888889
10,1/18/2006,447.3,457.36,443.25,444.91,40930400,467.28,467.39,-2.9121,80.0
11,1/19/2006,451.17,453.49,433.0,436.45,29045500,464.31,467.05,-5.0779,72.7272727273
12,1/20/2006,438.7,440.03,394.74,399.46,82151100,459.96,465.32,-13.5281,66.6666666667
13,1/23/2006,407.38,428.39,405.73,427.5,45437300,449.92,460.36,-10.794,69.2307692308
14,1/24/2006,436.03,444.95,434.48,443.03,30898200,443.62,453.35,-3.7075,69.2307692308
15,1/25/2006,451.26,454.23,429.22,433.0,37442100,440.67,447.61,-4.4898,61.5384615385
16,1/26/2006,439.54,439.99,423.56,434.27,25826300,435.92,440.03,-7.0604,61.5384615385
17,1/27/2006,435.0,438.22,428.98,433.49,16887400,431.23,431.06,-6.6389,53.8461538462
18,1/30/2006,429.23,433.28,425.0,426.82,17160600,429.6,427.23,-9.0749,46.1538461538
19,1/31/2006,430.57,439.6,423.97,432.66,44087800,428.22,425.18,-7.2304,46.1538461538
