id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,39.83,40.36,39.3,40.19,12838600,40.19,40.19,-0.0,0.0
1,1/4/2006,39.78,40.14,39.42,39.62,13491500,39.7,39.64,-0.145,0.0
2,1/5/2006,39.61,39.81,39.5,39.74,8109400,39.79,39.77,-0.18,50.0
3,1/6/2006,39.92,40.24,39.55,40.02,7966900,39.95,40.0,0.2982,66.6666666667
4,1/9/2006,39.88,40.72,39.88,40.67,16575200,40.23,40.4,1.4756,75.0
5,1/10/2006,40.5,40.75,40.07,40.73,16614800,40.24,40.32,1.7771,80.0
6,1/11/2006,40.73,40.87,40.61,40.7,12332300,40.24,40.19,2.6938,66.6666666667
7,1/12/2006,40.25,40.42,39.9,39.95,12230000,40.24,40.07,-0.2314,57.1428571429
8,1/13/2006,39.78,40.03,39.65,39.92,10961200,40.2,40.08,-1.2823,50.0
9,1/17/2006,39.48,39.82,39.41,39.71,9941100,40.25,40.23,-2.3656,44.4444444444
10,1/18/2006,39.11,39.71,38.95,39.28,17813100,40.24,40.36,-4.1765,40.0
11,1/19/2006,39.34,39.47,38.8,39.06,12091800,40.14,40.39,-5.4382,36.3636363636
12,1/20/2006,38.81,38.82,37.88,38.05,20902400,39.91,40.2,-10.6511,33.3333333333
13,1/23/2006,38.14,38.7,37.97,38.27,13172300,39.52,39.89,-10.2427,38.4615384615
14,1/24/2006,38.27,38.53,38.09,38.11,9781500,39.18,39.51,-10.7187,38.4615384615
15,1/25/2006,38.16,38.68,38.06,38.48,14248700,38.91,39.26,-9.5256,38.4615384615
16,1/26/2006,38.71,39.81,38.71,39.59,16187900,38.71,38.95,-1.2535,38.4615384615
17,1/27/2006,39.25,40.04,39.17,39.75,12929400,38.69,38.7,1.3994,38.4615384615
18,1/30/2006,39.52,39.97,39.42,39.85,8701700,38.76,38.57,2.3789,38.4615384615
19,1/31/2006,40.03,40.19,39.74,39.75,15582100,38.87,38.52,3.9182,38.4615384615
20,2/1/2006,39.88,40.22,39.67,39.88,11429800,39.11,38.79,4.2331,46.1538461538
21,2/2/2006,39.88,40.16,39.59,39.99,10309100,39.34,39.05,4.0295,53.8461538462
22,2/3/2006,39.45,40.1,39.4,39.53,10440700,39.61,39.43,1.4389,53.8461538462
23,2/6/2006,39.4,39.6,39.31,39.44,6591800,39.76,39.75,-0.8409,53.8461538462
24,2/7/2006,39.2,39.6,39.05,39.26,8590500,39.74,39.79,-1.8426,53.8461538462
25,2/8/2006,39.28,39.62,39.25,39.6,10065200,39.67,39.77,0.7233,61.5384615385
26,2/9/2006,39.53,40.03,39.44,39.77,8496300,39.64,39.72,4.0546,61.5384615385
27,2/10/2006,39.62,39.98,39.29,39.92,8790500,39.64,39.69,4.0762,69.2307692308
28,2/13/2006,39.77,40.31,39.61,39.77,7791600,39.64,39.63,5.7746,61.5384615385
29,2/14/2006,39.66,40.33,39.65,40.1,12904100,39.61,39.53,7.0081,61.5384615385
30,2/15/2006,39.97,40.5,39.97,40.32,12685700,39.69,39.58,9.0709,61.5384615385
31,2/16/2006,40.45,40.82,40.24,40.82,11572000,39.82,39.67,12.2994,61.5384615385
32,2/17/2006,40.66,40.82,40.4,40.78,11518600,40.04,39.87,11.6883,61.5384615385
33,2/21/2006,40.63,40.95,40.55,40.7,7324500,40.21,40.02,11.2511,53.8461538462
34,2/22/2006,40.89,41.55,40.74,41.41,13151400,40.34,40.16,15.5685,53.8461538462
35,2/23/2006,41.26,41.57,41.0,41.11,8739500,40.56,40.32,14.1946,53.8461538462
36,2/24/2006,40.94,41.83,40.87,41.66,9294300,40.75,40.57,15.982,61.5384615385
37,2/27/2006,41.55,41.95,41.55,41.58,8541700,40.97,40.78,17.8957,61.5384615385
38,2/28/2006,41.59,41.6,40.97,41.14,11716200,41.15,40.99,11.6019,53.8461538462
39,3/1/2006,41.16,41.94,41.13,41.63,10527700,41.2,41.09,14.876,53.8461538462
40,3/2/2006,41.63,41.84,41.37,41.66,10939800,41.32,41.22,14.714,53.8461538462
41,3/3/2006,41.5,42.09,41.43,41.59,12290600,41.46,41.41,14.8366,53.8461538462
42,3/6/2006,41.48,41.81,41.14,41.43,9777800,41.48,41.43,10.7688,46.1538461538
43,3/7/2006,41.02,41.66,41.02,41.48,9441300,41.53,41.53,8.6265,46.1538461538
44,3/8/2006,41.49,41.74,41.2,41.6,9147100,41.5,41.49,9.035,46.1538461538
45,3/9/2006,41.5,41.74,40.96,41.05,9767500,41.5,41.47,4.1902,46.1538461538
46,3/10/2006,41.06,41.4,40.87,41.13,11175700,41.49,41.56,1.5572,53.8461538462
47,3/13/2006,41.45,41.48,40.98,41.06,10626100,41.42,41.51,1.1617,46.1538461538
48,3/14/2006,41.26,41.5,41.25,41.38,16221500,41.33,41.43,3.0654,53.8461538462
49,3/15/2006,41.16,41.34,40.99,41.22,14011200,41.3,41.36,-0.6702,46.1538461538
50,3/16/2006,41.42,41.53,41.26,41.32,10045600,41.27,41.32,1.3066,53.8461538462
51,3/17/2006,41.35,41.5,41.25,41.4,13042300,41.25,41.26,1.0716,61.5384615385
52,3/20/2006,41.31,41.55,41.15,41.45,9418000,41.22,41.17,0.4914,61.5384615385
53,3/21/2006,41.27,41.71,41.04,41.2,13473600,41.28,41.22,-1.0908,53.8461538462
54,3/22/2006,41.19,42.2,41.0,42.05,13516100,41.29,41.26,5.3546,61.5384615385
55,3/23/2006,42.05,42.2,41.82,42.04,12986800,41.43,41.36,8.9845,61.5384615385
56,3/24/2006,41.99,42.43,41.91,42.1,7212800,41.53,41.39,10.5028,61.5384615385
57,3/27/2006,41.86,42.2,41.78,42.11,7836200,41.65,41.5,8.4808,61.5384615385
58,3/28/2006,41.93,42.2,41.5,41.56,15562700,41.76,41.61,3.7189,61.5384615385
59,3/29/2006,41.73,42.08,41.31,41.68,7822900,41.79,41.71,2.6041,61.5384615385
60,3/30/2006,41.54,42.04,41.12,41.53,9323500,41.82,41.8,0.5118,61.5384615385
61,3/31/2006,41.78,41.94,41.5,41.64,10371300,41.87,41.97,2.6552,61.5384615385
62,4/3/2006,41.95,42.46,41.88,41.93,10872900,41.81,41.91,8.598,69.2307692308
63,4/4/2006,41.6,42.46,41.5,42.27,14008500,41.79,41.85,7.8515,69.2307692308
64,4/5/2006,42.17,42.66,42.04,42.54,9494600,41.82,41.78,12.6922,69.2307692308
65,4/6/2006,42.39,42.47,42.02,42.29,6226600,41.88,41.72,9.4965,61.5384615385
66,4/7/2006,42.25,42.44,41.63,41.7,10753900,41.98,41.82,3.2647,61.5384615385
67,4/10/2006,41.93,42.26,41.69,41.88,7409300,41.99,41.9,2.9723,61.5384615385
68,4/11/2006,42.0,42.35,41.48,41.61,8828400,42.04,42.03,0.3811,61.5384615385
69,4/12/2006,41.83,41.98,41.7,41.9,5873900,42.03,42.12,0.6581,61.5384615385
70,4/13/2006,41.96,42.42,41.91,42.19,6554700,42.03,42.15,5.3593,61.5384615385
71,4/17/2006,42.28,42.38,41.83,42.0,7986200,42.02,42.08,3.0135,61.5384615385
72,4/18/2006,42.22,42.75,42.07,42.6,11079200,41.94,41.93,9.1886,61.5384615385
73,4/19/2006,42.4,42.99,42.3,42.62,9448100,41.98,41.86,11.1051,69.2307692308
74,4/20/2006,42.5,42.95,42.38,42.6,8435900,42.11,41.96,10.6423,61.5384615385
75,4/21/2006,42.88,42.88,42.4,42.5,13733100,42.22,42.05,9.1762,53.8461538462
76,4/24/2006,42.51,42.78,42.16,42.68,9475900,42.34,42.23,7.9321,53.8461538462
77,4/25/2006,42.53,42.82,42.11,42.22,11649000,42.46,42.37,4.6789,46.1538461538
78,4/26/2006,42.39,42.74,42.16,42.66,10647800,42.46,42.44,6.6271,53.8461538462
79,4/27/2006,42.66,44.06,42.53,43.95,17465000,42.55,42.57,23.9598,61.5384615385
80,4/28/2006,44.1,45.9,44.1,45.38,28234900,42.75,42.61,52.7546,61.5384615385
81,5/1/2006,45.38,45.59,44.73,44.78,16235100,43.14,42.74,50.182,61.5384615385
82,5/2/2006,45.0,45.51,44.91,45.5,12964500,43.45,42.95,55.0398,61.5384615385
83,5/3/2006,45.59,45.7,45.22,45.46,15589600,43.88,43.3,57.7239,53.8461538462
84,5/4/2006,45.51,45.81,45.5,45.69,10550700,44.28,43.7,61.9637,61.5384615385
85,5/5/2006,45.91,46.8,45.69,46.65,17297800,44.77,44.34,79.0601,61.5384615385
86,5/8/2006,46.6,46.65,46.04,46.1,10283900,45.34,45.01,77.1327,53.8461538462
87,5/9/2006,45.94,46.35,45.85,46.02,7931000,45.65,45.43,72.5712,53.8461538462
88,5/10/2006,45.74,46.12,45.51,45.92,7213600,45.74,45.52,65.9453,53.8461538462
89,5/11/2006,45.92,45.96,44.96,45.15,10532900,45.91,45.81,47.9111,46.1538461538
90,5/12/2006,44.95,44.96,44.26,44.32,18204900,45.86,45.9,12.4926,46.1538461538
91,5/15/2006,44.33,44.75,44.25,44.54,11229400,45.69,45.95,7.9257,46.1538461538
92,5/16/2006,44.6,44.8,44.13,44.32,8263600,45.53,45.91,-1.0862,38.4615384615
93,5/17/2006,43.8,44.05,43.09,43.25,13005200,45.2,45.55,-52.985,30.7692307692
94,5/18/2006,43.29,43.41,42.69,42.74,10905200,44.79,45.22,-84.273,30.7692307692
95,5/19/2006,42.9,43.05,42.5,42.75,13351300,44.32,44.8,-96.0793,30.7692307692
96,5/22/2006,42.75,42.95,42.34,42.64,14742200,43.87,44.28,-103.8835,30.7692307692
97,5/23/2006,42.74,42.89,42.12,42.17,13249400,43.51,43.87,-118.5566,23.0769230769
98,5/24/2006,42.1,42.48,41.59,42.15,12944000,43.2,43.59,-135.5947,15.3846153846
99,5/25/2006,42.65,42.9,42.32,42.85,9902400,42.86,43.17,-92.5858,23.0769230769
100,5/26/2006,43.1,43.38,42.95,43.23,7918100,42.65,42.76,-55.7798,30.7692307692
101,5/30/2006,42.9,42.99,42.44,42.44,8680900,42.65,42.61,-71.983,30.7692307692
102,5/31/2006,42.66,42.97,42.17,42.64,11348000,42.6,42.57,-61.7539,38.4615384615
103,6/1/2006,42.75,43.68,42.74,43.58,9034900,42.59,42.53,-24.7167,46.1538461538
104,6/2/2006,43.8,44.2,43.53,43.81,9637700,42.72,42.55,-1.8029,46.1538461538
105,6/5/2006,43.66,43.93,42.91,42.97,7867200,42.96,42.75,-15.8572,46.1538461538
106,6/6/2006,42.97,43.18,42.01,42.38,12679200,43.07,42.98,-32.0253,46.1538461538
107,6/7/2006,42.37,42.77,42.13,42.25,9958000,43.01,43.02,-28.1845,46.1538461538
108,6/8/2006,42.0,42.5,41.25,42.35,14402700,42.87,42.93,-30.5629,46.1538461538
109,6/9/2006,42.35,42.59,42.02,42.1,8106100,42.85,43.03,-19.5188,46.1538461538
110,6/12/2006,42.1,42.23,41.59,41.6,9059600,42.78,43.07,-25.7684,46.1538461538
111,6/13/2006,41.35,41.88,40.34,40.53,16522300,42.49,42.79,-40.8696,46.1538461538
