id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,40.79,40.99,40.35,40.9,13640800,40.9,40.9,-0.0229,0.0
1,1/4/2006,40.99,41.07,40.66,40.82,19993200,40.83,40.82,0.0693,0.0
2,1/5/2006,40.72,41.13,40.58,41.02,16613000,40.97,41.0,0.0697,50.0
3,1/6/2006,41.06,41.56,40.86,41.41,17122800,41.2,41.3,0.4804,66.6666666667
4,1/9/2006,41.49,41.67,41.25,41.61,13819600,41.28,41.37,0.8819,75.0
5,1/10/2006,41.18,41.73,41.18,41.65,13849800,41.29,41.31,0.8829,80.0
6,1/11/2006,41.66,41.81,41.47,41.67,10574400,41.3,41.23,1.189,83.3333333333
7,1/12/2006,41.28,41.63,41.28,41.44,17086000,41.3,41.13,0.6593,71.4285714286
8,1/13/2006,41.38,41.55,41.05,41.31,10548400,41.37,41.25,0.1694,62.5
9,1/17/2006,41.08,41.28,40.9,41.03,11574000,41.44,41.41,-0.5728,55.5555555556
10,1/18/2006,41.0,41.0,40.6,40.82,12906200,41.45,41.52,-1.5787,50.0
11,1/19/2006,40.94,41.14,40.6,40.93,10907600,41.36,41.5,-1.2056,54.5454545455
12,1/20/2006,40.83,40.87,39.36,40.09,18971600,41.26,41.42,-4.6369,50.0
13,1/23/2006,40.0,40.66,40.0,40.5,13222200,41.04,41.26,-3.2868,53.8461538462
14,1/24/2006,41.2,41.3,40.7,40.9,15888400,40.87,41.07,-0.3766,61.5384615385
15,1/25/2006,41.14,41.19,40.9,41.14,13699000,40.8,40.91,0.2595,61.5384615385
16,1/26/2006,41.28,41.58,41.15,41.48,14573200,40.77,40.77,2.2291,61.5384615385
17,1/27/2006,41.48,41.99,41.22,41.97,13646400,40.84,40.72,4.263,61.5384615385
18,1/30/2006,41.85,41.96,41.54,41.75,12143400,41.0,40.77,4.4298,53.8461538462
19,1/31/2006,41.74,41.74,41.21,41.38,13115000,41.12,40.81,2.2387,46.1538461538
20,2/1/2006,41.19,41.54,41.03,41.5,12966600,41.3,41.12,1.4097,53.8461538462
21,2/2/2006,41.32,41.51,40.98,41.23,12468400,41.45,41.35,0.3596,53.8461538462
22,2/3/2006,41.02,41.23,40.52,40.88,12538000,41.49,41.5,-2.4022,53.8461538462
23,2/6/2006,40.83,41.0,40.63,40.94,13500600,41.46,41.58,-2.397,61.5384615385
24,2/7/2006,41.4,41.48,40.61,41.03,20573000,41.38,41.56,-0.7876,61.5384615385
25,2/8/2006,41.26,41.29,40.67,41.23,18185800,41.24,41.38,-0.4763,69.2307692308
26,2/9/2006,41.12,41.42,40.9,41.0,15045200,41.17,41.23,0.0475,61.5384615385
27,2/10/2006,40.91,41.42,40.71,41.16,12782000,41.12,41.16,0.1184,61.5384615385
28,2/13/2006,41.38,41.38,40.63,40.74,11791600,41.07,41.06,-1.0885,53.8461538462
29,2/14/2006,40.99,41.44,40.94,41.34,14048800,41.0,41.0,1.2765,53.8461538462
30,2/15/2006,41.39,41.44,41.11,41.34,13561600,41.06,41.04,1.5398,50.0
31,2/16/2006,41.28,41.62,41.16,41.59,14381400,41.12,41.09,2.5401,58.3333333333
32,2/17/2006,41.64,41.9,41.23,41.79,14525200,41.2,41.13,3.3725,66.6666666667
33,2/21/2006,41.79,42.04,41.6,41.85,20793200,41.28,41.14,4.2657,66.6666666667
34,2/22/2006,42.05,42.17,41.92,42.08,11821200,41.4,41.24,5.5732,75.0
35,2/23/2006,42.18,42.31,41.94,42.03,9523400,41.53,41.34,5.5063,75.0
36,2/24/2006,42.01,42.34,41.84,42.23,10691400,41.72,41.58,5.6223,75.0
37,2/27/2006,42.28,42.53,42.18,42.53,13199800,41.84,41.71,7.5211,75.0
38,2/28/2006,42.52,42.58,41.92,41.97,16189400,42.01,41.88,5.3643,66.6666666667
39,3/1/2006,41.9,42.38,41.85,42.31,11036800,42.07,42.0,5.2646,75.0
40,3/2/2006,42.07,42.15,41.7,41.91,11537800,42.14,42.08,3.0537,66.6666666667
41,3/3/2006,41.63,42.05,41.57,41.8,10586800,42.15,42.16,1.9203,66.6666666667
42,3/6/2006,41.77,42.19,41.7,41.95,10945800,42.11,42.17,2.6082,66.6666666667
43,3/7/2006,41.95,42.04,41.7,41.8,11242600,42.1,42.18,1.4881,61.5384615385
44,3/8/2006,41.72,42.51,41.7,42.23,13843000,42.04,42.14,3.4711,61.5384615385
45,3/9/2006,42.12,42.59,42.12,42.4,13296600,42.0,42.0,4.7451,61.5384615385
