id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,34.29,34.29,33.2,33.52,9250100,33.52,33.52,0.0,0.0
1,1/4/2006,33.43,33.85,33.42,33.82,5990200,33.78,33.81,-0.0055,100.0
2,1/5/2006,33.82,34.2,33.73,33.86,6245200,33.81,33.83,0.0497,100.0
3,1/6/2006,34.23,34.3,33.81,34.06,5877100,33.92,33.98,0.0776,100.0
4,1/9/2006,34.0,34.74,33.99,34.71,4659900,34.2,34.36,0.2346,100.0
5,1/10/2006,34.61,34.85,34.54,34.74,7021800,34.21,34.25,0.3366,100.0
6,1/11/2006,34.82,35.36,34.8,35.34,8209000,34.29,34.26,0.5712,100.0
7,1/12/2006,35.25,35.32,34.74,34.79,11593600,34.29,34.0,0.4395,85.7142857143
8,1/13/2006,34.65,34.74,34.35,34.47,4807700,34.47,34.24,0.1344,75.0
9,1/17/2006,34.72,35.16,34.52,34.59,5499100,34.57,34.43,0.3146,77.7777777778
10,1/18/2006,34.58,35.44,34.41,34.99,10550100,34.67,34.63,0.4842,80.0
11,1/19/2006,35.3,35.37,35.0,35.2,9093800,34.8,34.82,0.7282,81.8181818182
12,1/20/2006,35.2,35.91,35.09,35.86,11436800,34.87,34.86,1.1903,83.3333333333
13,1/23/2006,35.86,36.09,35.27,35.71,6944500,35.03,34.93,1.276,76.9230769231
14,1/24/2006,35.94,36.31,35.67,35.85,9685600,35.09,34.87,1.5907,76.9230769231
15,1/25/2006,36.0,36.14,34.55,35.16,21016500,35.24,34.98,0.7019,69.2307692308
16,1/26/2006,35.5,35.7,34.75,34.94,12358000,35.34,35.2,0.4921,61.5384615385
17,1/27/2006,34.94,35.24,34.92,35.05,7355400,35.39,35.4,0.3903,61.5384615385
18,1/30/2006,34.9,35.07,34.83,35.02,8004200,35.4,35.5,0.2432,53.8461538462
19,1/31/2006,35.04,35.25,34.9,35.01,6988200,35.37,35.54,0.3789,46.1538461538
20,2/1/2006,35.01,35.71,34.99,35.67,7186600,35.25,35.39,0.9461,53.8461538462
21,2/2/2006,35.33,35.81,35.17,35.45,5409500,35.24,35.27,0.8122,53.8461538462
22,2/3/2006,35.45,36.08,35.44,35.97,6852900,35.19,35.1,1.2805,53.8461538462
23,2/6/2006,36.0,36.44,35.9,36.13,7163500,35.3,35.14,1.6885,53.8461538462
24,2/7/2006,36.3,36.51,36.06,36.19,4868600,35.47,35.27,1.7038,53.8461538462
25,2/8/2006,36.6,36.75,36.26,36.36,6444300,35.63,35.42,1.9194,53.8461538462
26,2/9/2006,36.31,36.49,36.22,36.3,4889600,35.83,35.62,1.5957,53.8461538462
27,2/10/2006,36.27,36.46,36.11,36.33,5741200,36.01,35.87,1.4145,53.8461538462
28,2/13/2006,36.41,36.59,36.16,36.36,3421100,36.1,35.98,1.3833,61.5384615385
29,2/14/2006,36.36,36.55,36.07,36.37,5392300,36.23,36.17,1.1612,69.2307692308
30,2/15/2006,36.26,36.27,35.75,36.01,7669400,36.29,36.25,0.4862,61.5384615385
31,2/16/2006,35.99,36.39,35.86,36.37,3963500,36.27,36.29,0.7418,69.2307692308
32,2/17/2006,36.37,36.44,36.01,36.06,4802300,36.3,36.32,0.6264,69.2307692308
33,2/21/2006,35.88,36.0,35.35,35.66,5250300,36.26,36.29,-0.2785,61.5384615385
34,2/22/2006,35.75,36.08,35.72,35.95,4323400,36.17,36.26,0.1682,69.2307692308
35,2/23/2006,35.75,35.99,35.5,35.59,3751800,36.11,36.2,-0.2729,61.5384615385
36,2/24/2006,35.49,35.52,35.19,35.34,4802800,36.0,36.11,-0.9238,53.8461538462
37,2/27/2006,35.3,35.53,35.11,35.25,4262100,35.85,35.99,-1.0522,46.1538461538
38,2/28/2006,35.3,35.47,34.89,34.91,5522700,35.75,35.92,-1.4305,38.4615384615
39,3/1/2006,35.0,35.18,34.43,34.93,5910300,35.54,35.71,-1.8549,46.1538461538
