id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,26.25,27.0,26.1,26.84,79973000,26.84,26.84,-0.0513,0.0
1,1/4/2006,26.77,27.08,26.77,26.97,57975600,26.95,26.97,0.3286,100.0
2,1/5/2006,26.96,27.13,26.91,26.99,48245500,26.97,26.98,0.3343,100.0
3,1/6/2006,26.89,27.0,26.49,26.91,100963000,26.92,26.91,-0.1599,66.6666666667
4,1/9/2006,26.93,27.07,26.76,26.86,55625000,26.9,26.88,0.1087,50.0
5,1/10/2006,26.65,27.02,26.59,27.0,64921900,26.94,26.95,0.0,60.0
6,1/11/2006,27.01,27.39,26.9,27.29,70120700,26.98,27.01,1.7717,66.6666666667
7,1/12/2006,27.25,27.26,26.97,27.14,45994800,26.98,26.93,1.4107,57.1428571429
8,1/13/2006,27.03,27.25,27.01,27.19,41418000,27.02,26.98,1.5313,62.5
9,1/17/2006,26.9,27.19,26.9,26.99,58566600,27.05,27.0,0.6129,55.5555555556
10,1/18/2006,26.74,26.98,26.7,26.83,52376200,27.05,27.02,-1.0353,50.0
11,1/19/2006,26.87,27.24,26.85,27.02,60367600,27.04,27.05,0.7801,54.5454545455
12,1/20/2006,27.01,27.01,26.26,26.41,79165900,27.07,27.1,-3.9985,50.0
13,1/23/2006,26.41,26.53,26.3,26.35,47925600,26.98,27.1,-5.795,46.1538461538
14,1/24/2006,26.34,26.45,26.22,26.28,63040700,26.85,26.99,-6.659,38.4615384615
15,1/25/2006,26.41,26.57,26.23,26.4,59072100,26.72,26.88,-5.6896,38.4615384615
16,1/26/2006,26.56,26.72,26.31,26.5,69509300,26.61,26.74,-4.2875,46.1538461538
17,1/27/2006,27.23,27.95,27.19,27.79,134520700,26.54,26.63,12.2847,53.8461538462
18,1/30/2006,27.82,28.18,27.78,28.0,103999200,26.68,26.59,17.6436,53.8461538462
19,1/31/2006,27.91,28.38,27.87,28.15,94841300,26.82,26.54,20.0471,53.8461538462
20,2/1/2006,27.96,28.07,27.76,28.04,68448800,27.07,26.7,16.1588,53.8461538462
21,2/2/2006,27.97,27.99,27.55,27.68,55073400,27.31,26.94,11.8497,46.1538461538
22,2/3/2006,27.48,27.7,27.34,27.54,75022700,27.51,27.25,7.6388,46.1538461538
23,2/6/2006,27.51,27.54,27.09,27.17,60170500,27.67,27.57,2.5343,46.1538461538
24,2/7/2006,26.95,27.15,26.81,26.94,72159500,27.77,27.88,-3.0107,38.4615384615
25,2/8/2006,27.01,27.08,26.71,26.91,51795200,27.65,27.85,-4.3537,38.4615384615
26,2/9/2006,26.96,27.03,26.65,26.66,52861700,27.49,27.72,-6.0634,38.4615384615
27,2/10/2006,26.62,26.89,26.51,26.69,52127000,27.28,27.5,-7.1236,46.1538461538
28,2/13/2006,26.63,26.7,26.34,26.39,46707000,27.08,27.26,-10.5161,38.4615384615
29,2/14/2006,26.41,26.68,26.35,26.65,58432900,26.9,27.07,-8.5073,38.4615384615
30,2/15/2006,26.6,26.93,26.5,26.88,62808900,26.77,26.88,-4.5706,38.4615384615
31,2/16/2006,26.85,26.9,26.57,26.81,48868500,26.73,26.77,-4.559,30.7692307692
32,2/17/2006,26.67,26.81,26.56,26.7,41513200,26.71,26.71,-5.9249,23.0769230769
33,2/21/2006,26.72,26.72,26.34,26.54,50216100,26.68,26.65,-8.961,23.0769230769
34,2/22/2006,26.53,26.86,26.47,26.72,43043100,26.67,26.65,-6.5958,30.7692307692
35,2/23/2006,26.73,26.89,26.54,26.66,47359100,26.67,26.65,-6.5557,30.7692307692
36,2/24/2006,26.59,26.74,26.52,26.63,44753800,26.71,26.73,-7.8871,30.7692307692
37,2/27/2006,26.75,27.26,26.67,27.05,51301500,26.71,26.74,-0.79,38.4615384615
38,2/28/2006,26.95,27.3,26.87,26.87,65036100,26.73,26.71,0.39,38.4615384615
39,3/1/2006,26.98,27.2,26.95,27.14,53061200,26.74,26.69,2.7447,46.1538461538
40,3/2/2006,27.02,27.1,26.9,26.97,41850300,26.8,26.71,1.7894,38.4615384615
41,3/3/2006,26.81,27.16,26.74,26.93,45218800,26.86,26.79,1.6647,38.4615384615
42,3/6/2006,26.92,27.15,26.83,26.91,53054100,26.89,26.84,2.4524,30.7692307692
43,3/7/2006,26.9,27.1,26.81,27.06,51613900,26.93,26.9,3.0316,30.7692307692
44,3/8/2006,26.99,27.5,26.97,27.25,57547400,26.99,26.99,7.0206,38.4615384615
45,3/9/2006,27.27,27.42,27.0,27.0,45360700,27.02,26.99,5.1304,38.4615384615
46,3/10/2006,27.06,27.22,26.88,27.17,41297200,27.04,27.03,4.0275,46.1538461538
47,3/13/2006,27.18,27.29,26.94,27.11,40342600,27.04,27.0,4.101,38.4615384615
48,3/14/2006,27.04,27.38,26.99,27.23,39821800,27.06,27.03,5.0552,46.1538461538
49,3/15/2006,27.2,27.45,27.01,27.36,57152000,27.1,27.07,5.8044,53.8461538462
50,3/16/2006,27.34,27.48,27.22,27.27,73793700,27.17,27.13,6.1787,46.1538461538
51,3/17/2006,27.35,27.66,27.27,27.5,120615000,27.2,27.17,8.2815,53.8461538462
52,3/20/2006,27.7,27.99,27.67,27.89,67094100,27.23,27.16,13.9794,53.8461538462
53,3/21/2006,27.74,28.22,27.68,27.74,73199600,27.36,27.26,13.5452,53.8461538462
54,3/22/2006,27.08,27.5,26.8,27.15,145696100,27.44,27.32,-0.0,53.8461538462
55,3/23/2006,27.08,27.1,26.66,26.85,73682900,27.45,27.41,-5.4412,53.8461538462
56,3/24/2006,26.71,27.21,26.62,27.01,69157600,27.39,27.45,-4.2823,53.8461538462
57,3/27/2006,27.01,27.3,27.0,27.01,59908600,27.34,27.45,-1.5252,50.0
58,3/28/2006,27.01,27.21,26.81,26.9,58520500,27.31,27.45,-3.813,50.0
59,3/29/2006,26.95,27.2,26.92,27.02,53150300,27.22,27.38,-2.5224,50.0
60,3/30/2006,27.03,27.39,27.0,27.23,54612000,27.1,27.19,0.2933,58.3333333333
61,3/31/2006,27.3,27.54,27.21,27.21,62190500,27.02,27.01,2.1174,50.0
62,4/3/2006,27.67,27.73,27.44,27.56,57605300,27.03,26.98,6.3269,50.0
63,4/4/2006,27.6,27.8,27.47,27.64,45470000,27.13,27.05,6.9143,58.3333333333
64,4/5/2006,27.88,27.94,27.64,27.74,41539300,27.22,27.1,9.049,58.3333333333
65,4/6/2006,27.66,27.72,27.37,27.56,51885500,27.33,27.18,4.3618,50.0
66,4/7/2006,27.61,27.72,27.23,27.25,47249400,27.42,27.31,1.2792,50.0
67,4/10/2006,27.23,27.44,27.2,27.29,39432000,27.46,27.42,-0.735,58.3333333333
68,4/11/2006,27.29,27.32,27.0,27.13,42953400,27.46,27.48,-3.6749,58.3333333333
69,4/12/2006,27.1,27.2,26.97,27.2,32183000,27.45,27.54,-3.9702,58.3333333333
70,4/13/2006,27.08,27.2,27.0,27.07,28160000,27.4,27.5,-4.3857,53.8461538462
71,4/17/2006,27.03,27.05,26.73,26.84,35796200,27.32,27.42,-7.9361,53.8461538462
72,4/18/2006,26.94,27.5,26.82,27.22,56272700,27.19,27.28,-1.4344,53.8461538462
73,4/19/2006,27.11,27.19,26.96,27.03,45111100,27.14,27.18,-3.0237,46.1538461538
74,4/20/2006,27.05,27.19,26.7,27.03,45648300,27.11,27.15,-4.3756,50.0
75,4/21/2006,27.05,27.39,27.0,27.15,58528000,27.07,27.09,-0.8893,50.0
76,4/24/2006,27.07,27.25,26.98,27.11,42318400,27.08,27.08,-2.259,41.6666666667
77,4/25/2006,27.09,27.21,27.02,27.11,49222500,27.06,27.04,-2.259,36.3636363636
78,4/26/2006,27.08,27.23,27.0,27.1,39190000,27.07,27.04,-2.5034,36.3636363636
79,4/27/2006,26.97,27.63,26.94,27.25,96509600,27.11,27.11,0.4172,45.4545454545
80,4/28/2006,24.23,24.5,24.0,24.15,591052200,27.11,27.08,-54.2412,36.3636363636
81,5/1/2006,24.32,25.0,24.09,24.29,174800900,26.7,27.0,-45.0937,45.4545454545
82,5/2/2006,24.49,25.0,23.9,24.01,190533500,26.31,26.82,-43.2565,36.3636363636
83,5/3/2006,23.99,24.02,23.15,23.17,211527100,25.86,26.5,-52.0841,36.3636363636
84,5/4/2006,23.35,23.67,23.14,23.44,171257400,25.3,26.05,-46.4063,45.4545454545
85,5/5/2006,23.66,23.95,23.52,23.8,131604300,24.77,25.46,-36.2437,45.4545454545
86,5/8/2006,23.85,25.0,23.51,23.73,80693500,24.3,24.76,-27.7994,45.4545454545
87,5/9/2006,23.75,24.0,23.49,23.62,75345900,23.8,23.9,-29.5961,41.6666666667
