id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,86.79,87.4,85.34,85.95,18468800,85.95,85.95,0.0,0.0
1,1/4/2006,85.65,86.4,85.35,85.55,15832000,85.61,85.56,-0.2119,0.0
2,1/5/2006,85.55,86.61,85.55,86.07,9256000,85.98,86.04,0.0583,50.0
3,1/6/2006,86.3,86.62,85.7,85.8,7573600,85.82,85.81,0.0,33.3333333333
4,1/9/2006,85.8,87.82,85.76,87.0,10441600,86.34,86.59,1.4581,50.0
5,1/10/2006,86.45,87.86,86.38,87.18,11837600,86.39,86.5,1.9748,60.0
6,1/11/2006,87.3,88.06,87.0,87.3,10372800,86.41,86.34,2.6431,66.6666666667
7,1/12/2006,88.16,88.16,86.01,86.31,11159200,86.41,86.11,0.9417,57.1428571429
8,1/13/2006,86.7,87.12,85.45,86.2,9612000,86.46,86.24,-1.0369,50.0
9,1/17/2006,86.0,86.0,85.1,85.2,11075200,86.55,86.49,-4.5928,44.4444444444
10,1/18/2006,85.05,85.44,84.36,84.64,9202400,86.43,86.58,-7.7472,40.0
11,1/19/2006,84.23,84.96,84.0,84.7,8888800,86.26,86.7,-9.2779,45.4545454545
12,1/20/2006,85.1,85.63,83.83,84.2,16132000,85.93,86.43,-9.2779,41.6666666667
13,1/23/2006,83.6,84.0,81.47,83.45,38273600,85.51,86.01,-20.908,38.4615384615
14,1/24/2006,84.31,84.52,83.13,84.02,16800000,84.96,85.42,-13.6458,46.1538461538
15,1/25/2006,84.06,84.54,83.9,84.26,10268800,84.63,85.0,-10.8703,46.1538461538
16,1/26/2006,85.14,85.14,83.78,83.98,15965600,84.35,84.54,-10.3087,46.1538461538
17,1/27/2006,84.23,84.63,83.08,83.15,17025600,84.18,84.29,-16.351,38.4615384615
18,1/30/2006,82.62,82.79,80.6,81.8,78979200,83.97,84.12,-34.273,30.7692307692
19,1/31/2006,81.8,82.05,80.88,80.95,20348000,83.55,83.83,-38.5859,23.0769230769
20,2/1/2006,81.25,84.12,81.21,83.13,35525600,83.09,83.55,-21.778,30.7692307692
21,2/2/2006,83.18,83.91,83.0,83.35,20464800,83.04,83.45,-14.3239,38.4615384615
22,2/3/2006,82.9,83.82,82.74,83.69,15826400,82.95,83.18,-13.176,46.1538461538
23,2/6/2006,85.4,85.75,84.04,84.15,19246400,82.86,82.83,1.6162,53.8461538462
24,2/7/2006,84.3,84.7,83.21,83.46,10368800,82.89,82.56,-6.7343,46.1538461538
25,2/8/2006,83.71,84.95,83.5,84.39,18636800,82.93,82.51,0.8102,53.8461538462
26,2/9/2006,83.8,84.44,83.59,83.89,9232800,83.3,82.88,-0.7951,53.8461538462
27,2/10/2006,84.69,84.69,83.06,84.47,10339200,83.72,83.58,2.2468,53.8461538462
28,2/13/2006,84.15,84.35,83.16,84.28,9512800,83.91,83.77,1.8763,46.1538461538
29,2/14/2006,84.28,84.64,83.61,84.0,11758400,84.05,83.95,4.868,46.1538461538
30,2/15/2006,84.25,85.0,83.75,84.27,9453600,84.09,84.05,8.7017,53.8461538462
31,2/16/2006,84.95,85.08,84.33,84.76,6254400,84.11,84.04,13.7614,61.5384615385
32,2/17/2006,84.25,85.23,84.1,84.9,8001600,84.29,84.24,13.863,69.2307692308
33,2/21/2006,84.8,85.29,84.5,85.08,8744000,84.37,84.24,15.179,69.2307692308
34,2/22/2006,85.25,86.93,85.11,85.94,12035200,84.54,84.4,27.1573,69.2307692308
35,2/23/2006,85.94,87.41,85.75,86.57,10108000,84.75,84.47,32.7437,69.2307692308
36,2/24/2006,86.57,87.5,86.4,87.2,11014400,85.07,84.67,36.068,69.2307692308
37,2/27/2006,87.21,87.7,86.67,87.3,7179200,85.53,85.05,35.0548,76.9230769231
38,2/28/2006,86.8,87.83,86.62,86.78,18676000,85.96,85.47,28.5517,69.2307692308
39,3/1/2006,86.65,87.14,86.2,86.31,10713600,86.25,85.85,18.5076,69.2307692308
40,3/2/2006,85.75,86.39,85.35,86.05,13876000,86.45,86.24,9.5825,61.5384615385
41,3/3/2006,85.85,86.72,85.79,86.3,8387200,86.59,86.61,11.4947,69.2307692308
42,3/6/2006,86.5,88.04,86.25,86.92,14712800,86.64,86.79,17.596,76.9230769231
43,3/7/2006,85.66,85.66,84.03,84.9,24400000,86.69,86.82,-5.1481,69.2307692308
44,3/8/2006,84.75,85.08,84.5,85.0,19901600,86.37,86.61,-5.7064,69.2307692308
45,3/9/2006,84.8,85.49,84.74,85.35,11776000,86.04,86.3,-2.8095,69.2307692308
46,3/10/2006,85.35,85.75,84.79,84.99,9075200,85.83,86.06,-3.5056,61.5384615385
47,3/13/2006,84.99,85.03,84.26,84.45,9057600,85.64,85.89,-9.5907,53.8461538462
48,3/14/2006,84.4,84.64,84.19,84.62,8360000,85.42,85.74,-10.7252,53.8461538462
49,3/15/2006,85.01,85.28,84.41,85.02,11728000,85.18,85.45,-7.0794,53.8461538462
50,3/16/2006,85.0,86.47,85.0,86.02,12339200,84.9,84.95,1.1954,53.8461538462
51,3/17/2006,85.77,85.92,85.3,85.42,11220800,85.06,84.99,-1.857,53.8461538462
52,3/20/2006,85.0,86.22,84.9,85.51,15207200,85.12,85.02,-2.3281,61.5384615385
53,3/21/2006,85.52,85.52,84.69,84.95,19258400,85.15,84.97,-7.0162,61.5384615385
54,3/22/2006,84.9,87.18,84.5,86.82,38750400,85.14,85.01,3.5169,61.5384615385
55,3/23/2006,86.75,87.1,86.0,86.01,23581600,85.48,85.27,5.5634,53.8461538462
56,3/24/2006,86.11,86.74,85.51,85.96,12403200,85.68,85.53,3.2097,53.8461538462
57,3/27/2006,85.85,85.85,85.05,85.45,8194400,85.81,85.73,-1.9418,46.1538461538
58,3/28/2006,85.3,85.84,84.78,85.2,8464000,85.73,85.66,-2.7779,38.4615384615
59,3/29/2006,85.1,85.55,85.0,85.54,6694400,85.7,85.73,-1.385,46.1538461538
60,3/30/2006,85.9,85.93,84.66,85.0,11872000,85.7,85.78,-2.687,46.1538461538
61,3/31/2006,85.0,85.2,84.65,85.1,8536800,85.71,85.97,-4.1768,46.1538461538
62,4/3/2006,85.1,85.86,84.65,84.91,11781600,85.47,85.63,-1.6522,38.4615384615
63,4/4/2006,84.9,85.18,84.01,85.04,7724000,85.31,85.45,-5.685,38.4615384615
64,4/5/2006,84.9,85.15,84.22,84.57,7793600,85.18,85.26,-6.5343,38.4615384615
65,4/6/2006,84.7,85.12,83.9,84.86,11317600,85.05,85.16,-6.4655,38.4615384615
66,4/7/2006,85.15,85.35,83.54,83.63,10429600,85.0,85.11,-10.6384,38.4615384615
67,4/10/2006,83.82,84.1,82.7,83.09,10723200,84.73,84.91,-19.0811,30.7692307692
68,4/11/2006,83.55,83.94,82.31,82.49,10032000,84.46,84.77,-22.4543,30.7692307692
69,4/12/2006,82.49,82.79,82.03,82.55,11932800,84.08,84.52,-26.3186,38.4615384615
70,4/13/2006,82.65,83.7,82.56,83.3,13517600,83.75,84.23,-17.7096,46.1538461538
71,4/17/2006,83.24,83.25,81.25,81.81,16674400,83.5,83.84,-28.1306,46.1538461538
72,4/18/2006,81.75,82.14,81.49,81.75,17185600,83.1,83.47,-30.3669,38.4615384615
73,4/19/2006,81.8,82.42,81.54,82.12,9879200,82.66,82.92,-26.7275,46.1538461538
74,4/20/2006,82.05,83.0,82.04,82.83,7444800,82.44,82.63,-18.2811,46.1538461538
75,4/21/2006,83.1,83.15,82.52,83.02,9226400,82.41,82.46,-13.2539,53.8461538462
76,4/24/2006,83.02,83.03,82.5,82.7,11511200,82.48,82.46,-13.5649,46.1538461538
77,4/25/2006,82.6,82.83,81.7,82.02,9793600,82.5,82.44,-19.1698,46.1538461538
78,4/26/2006,82.27,82.48,80.96,81.26,12454400,82.32,82.2,-25.7669,38.4615384615
79,4/27/2006,80.36,81.94,80.36,81.84,10345600,82.24,82.31,-26.6408,46.1538461538
80,4/28/2006,82.15,82.39,81.27,81.84,6699200,82.26,82.43,-18.4721,50.0
81,5/1/2006,82.03,82.42,81.53,81.7,9552800,82.22,82.46,-15.9162,50.0
82,5/2/2006,82.1,82.31,81.57,81.57,7672800,82.05,82.26,-14.9523,41.6666666667
83,5/3/2006,81.58,81.8,80.55,81.13,11987200,81.85,81.97,-23.5497,33.3333333333
84,5/4/2006,81.35,81.9,80.95,80.96,8754400,81.62,81.7,-19.7852,33.3333333333
85,5/5/2006,81.18,81.58,80.93,81.55,6836000,81.47,81.56,-16.1311,41.6666666667
86,5/8/2006,81.6,82.44,81.52,82.25,7833600,81.51,81.63,-1.087,41.6666666667
