id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,12.23,12.8,12.22,12.6,56073800,12.6,12.6,0.0,0.0
1,1/4/2006,12.56,12.78,12.54,12.62,56412300,12.62,12.62,0.0299,100.0
2,1/5/2006,12.62,12.92,12.6,12.79,52657100,12.74,12.77,0.0903,100.0
3,1/6/2006,12.8,13.15,12.75,13.12,95067600,12.93,13.02,0.2595,100.0
4,1/9/2006,13.01,13.09,12.79,12.88,48177800,12.82,12.81,0.1823,75.0
5,1/10/2006,12.81,12.81,12.61,12.62,43903600,12.75,12.68,-0.1352,60.0
6,1/11/2006,12.64,12.68,12.47,12.6,60810100,12.75,12.71,-0.2541,50.0
7,1/12/2006,12.73,12.74,12.48,12.52,43749300,12.75,12.74,-0.269,42.8571428571
8,1/13/2006,12.49,12.54,12.37,12.51,33247500,12.74,12.78,-0.4764,37.5
9,1/17/2006,12.46,12.54,12.4,12.44,22593700,12.72,12.8,-0.4909,33.3333333333
10,1/18/2006,12.37,12.39,12.23,12.34,44744000,12.67,12.77,-0.7996,30.0
11,1/19/2006,12.47,12.6,12.45,12.52,41646400,12.56,12.63,-0.2979,36.3636363636
12,1/20/2006,12.48,12.53,12.26,12.29,53853200,12.51,12.54,-0.7567,33.3333333333
13,1/23/2006,12.31,12.5,12.21,12.3,36996200,12.46,12.5,-0.8155,38.4615384615
14,1/24/2006,12.35,12.39,12.19,12.2,48399500,12.42,12.45,-1.0661,30.7692307692
15,1/25/2006,12.4,12.56,12.34,12.51,92994900,12.37,12.42,-0.3118,30.7692307692
16,1/26/2006,12.56,12.6,12.41,12.44,63482400,12.37,12.38,-0.2971,23.0769230769
17,1/27/2006,12.45,12.53,12.39,12.41,61590500,12.37,12.36,-0.4305,23.0769230769
18,1/30/2006,12.42,12.65,12.28,12.61,62092100,12.38,12.38,-0.1634,30.7692307692
19,1/31/2006,12.56,12.59,12.41,12.57,53373600,12.39,12.34,-0.1189,30.7692307692
20,2/1/2006,12.41,12.65,12.39,12.58,54206000,12.43,12.38,0.0,38.4615384615
21,2/2/2006,12.54,12.58,12.36,12.39,41926000,12.47,12.42,-0.4305,38.4615384615
22,2/3/2006,12.3,12.38,12.18,12.21,63619900,12.5,12.5,-1.1713,38.4615384615
23,2/6/2006,12.22,12.29,12.06,12.25,61768000,12.46,12.49,-1.2421,46.1538461538
24,2/7/2006,12.23,12.39,12.21,12.37,51162700,12.43,12.48,-0.5162,46.1538461538
25,2/8/2006,12.44,12.63,12.44,12.57,54270900,12.43,12.49,0.5158,53.8461538462
26,2/9/2006,12.56,12.8,12.46,12.69,107351900,12.42,12.44,1.0163,53.8461538462
27,2/10/2006,12.58,12.8,12.56,12.69,59674100,12.44,12.41,1.1201,58.3333333333
28,2/13/2006,12.64,12.72,12.4,12.49,37636000,12.45,12.38,0.4277,50.0
29,2/14/2006,12.48,12.49,12.35,12.4,47912300,12.47,12.39,-0.118,50.0
30,2/15/2006,12.37,12.5,12.35,12.41,37630400,12.49,12.47,-0.1328,58.3333333333
31,2/16/2006,12.42,12.49,12.36,12.44,29399100,12.52,12.53,-0.0442,58.3333333333
32,2/17/2006,12.38,12.44,12.32,12.4,35536000,12.53,12.57,-0.2804,58.3333333333
33,2/21/2006,12.35,12.38,12.25,12.34,41343600,12.5,12.55,-0.5608,50.0
34,2/22/2006,12.36,12.49,12.28,12.48,40641000,12.45,12.5,-0.1476,58.3333333333
35,2/23/2006,12.44,12.54,12.4,12.4,39913300,12.42,12.43,-0.0148,58.3333333333
36,2/24/2006,12.39,12.49,12.38,12.46,31299300,12.41,12.41,-0.0295,58.3333333333
