id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,23.65,23.92,23.6,23.78,38049800,23.78,23.78,-5.2872,0.0
1,1/4/2006,23.97,24.57,23.95,24.55,43971500,24.44,24.52,3.4322,100.0
2,1/5/2006,24.55,24.75,24.44,24.58,42600300,24.46,24.52,5.5713,100.0
3,1/6/2006,24.7,24.95,24.63,24.85,28523900,24.62,24.7,6.6081,100.0
4,1/9/2006,24.98,24.99,24.52,24.85,28079900,24.62,24.65,6.5067,100.0
5,1/10/2006,24.73,24.74,24.32,24.44,28625400,24.5,24.4,0.9833,75.0
6,1/11/2006,24.6,24.83,24.55,24.75,28420000,24.54,24.49,6.5202,80.0
7,1/12/2006,24.77,24.85,24.47,24.58,27020300,24.54,24.44,3.7134,66.6666666667
8,1/13/2006,24.69,24.79,24.44,24.67,20971000,24.66,24.66,3.7134,71.4285714286
9,1/17/2006,24.51,24.53,24.07,24.28,32152600,24.67,24.69,-13.007,62.5
10,1/18/2006,24.19,24.23,23.85,24.0,33482500,24.63,24.7,-36.0897,55.5555555556
11,1/19/2006,24.91,25.12,24.63,24.97,57614800,24.51,24.62,20.4197,60.0
12,1/20/2006,24.97,25.07,24.62,24.71,51643200,24.53,24.53,15.8736,54.5454545455
13,1/23/2006,24.8,24.99,24.75,24.89,28819100,24.57,24.57,19.056,58.3333333333
14,1/24/2006,25.0,25.03,24.5,24.59,29194200,24.59,24.53,9.9975,50.0
15,1/25/2006,24.72,24.87,24.29,24.83,26369200,24.59,24.53,7.2341,50.0
16,1/26/2006,24.95,25.34,24.79,25.05,41249500,24.61,24.51,33.8177,50.0
17,1/27/2006,25.45,26.08,25.35,25.99,61011100,24.72,24.62,79.7873,53.8461538462
18,1/30/2006,26.15,26.34,25.76,25.94,32831200,25.0,24.87,93.2008,53.8461538462
19,1/31/2006,26.02,26.07,25.51,25.68,31364600,25.14,24.92,74.3186,46.1538461538
20,2/1/2006,25.75,26.12,25.68,26.05,28377200,25.28,25.06,71.9866,53.8461538462
21,2/2/2006,26.1,26.13,25.55,25.78,24680900,25.45,25.2,54.1531,46.1538461538
22,2/3/2006,25.78,25.78,25.27,25.28,27501400,25.62,25.46,25.6562,46.1538461538
23,2/6/2006,25.21,25.32,24.95,25.09,21773900,25.68,25.67,5.5189,46.1538461538
24,2/7/2006,25.05,25.7,25.04,25.18,28699900,25.69,25.83,14.4774,46.1538461538
25,2/8/2006,25.65,26.4,25.6,26.37,62023500,25.57,25.72,54.8558,53.8461538462
26,2/9/2006,26.37,26.84,26.24,26.34,46326500,25.63,25.65,65.9374,46.1538461538
27,2/10/2006,26.0,26.08,25.35,25.68,57862000,25.73,25.66,21.0173,46.1538461538
28,2/13/2006,25.4,25.66,25.19,25.58,24916300,25.67,25.56,7.4174,38.4615384615
29,2/14/2006,25.53,25.64,25.44,25.5,31597500,25.65,25.53,6.7039,30.7692307692
30,2/15/2006,25.47,25.65,25.22,25.61,28018200,25.68,25.63,1.7637,30.7692307692
31,2/16/2006,25.6,25.86,25.37,25.81,22622900,25.75,25.79,7.9937,38.4615384615
32,2/17/2006,25.8,25.82,25.45,25.82,25052200,25.84,25.96,6.4676,46.1538461538
33,2/21/2006,25.7,25.88,25.59,25.64,20905400,25.76,25.81,5.0563,38.4615384615
34,2/22/2006,25.69,26.26,25.68,26.19,29163000,25.66,25.64,15.6099,46.1538461538
35,2/23/2006,26.22,26.35,26.04,26.14,21884700,25.74,25.65,17.2763,46.1538461538
36,2/24/2006,26.11,26.48,26.08,26.37,19253000,25.82,25.71,19.2641,53.8461538462
37,2/27/2006,26.4,26.75,26.36,26.6,31138200,25.94,25.82,26.7619,53.8461538462
38,2/28/2006,26.6,26.6,26.14,26.19,29639800,26.08,25.94,16.6836,46.1538461538
39,3/1/2006,26.1,26.3,25.82,26.26,26900000,26.14,26.02,9.4238,53.8461538462
40,3/2/2006,26.0,26.27,25.9,26.06,19967000,26.2,26.12,7.4148,53.8461538462
41,3/3/2006,25.88,26.45,25.88,26.34,28667600,26.26,26.27,11.8274,61.5384615385
42,3/6/2006,26.16,26.4,25.94,25.98,21045400,26.28,26.29,6.5986,61.5384615385
43,3/7/2006,26.04,26.27,25.82,26.19,22841600,26.26,26.32,4.4695,61.5384615385
44,3/8/2006,26.1,26.24,25.99,26.17,25785300,26.23,26.29,4.0626,53.8461538462
45,3/9/2006,26.25,26.4,26.13,26.19,18755500,26.17,26.18,7.3127,53.8461538462
46,3/10/2006,26.34,26.38,25.91,26.08,22755900,26.17,26.18,4.4076,53.8461538462
47,3/13/2006,26.0,26.04,25.87,25.97,25587300,26.14,26.15,-1.5166,46.1538461538
48,3/14/2006,25.9,26.0,25.77,25.97,23158900,26.13,26.16,-3.5067,50.0
49,3/15/2006,25.99,26.04,25.85,25.95,18393600,26.08,26.1,-3.0782,41.6666666667
50,3/16/2006,25.93,26.15,25.87,26.05,22809600,26.07,26.12,-1.6657,41.6666666667
51,3/17/2006,26.2,26.48,26.09,26.39,32125100,26.05,26.09,6.7311,50.0
52,3/20/2006,26.39,26.6,26.3,26.47,18233400,26.09,26.07,9.3952,50.0
53,3/21/2006,26.5,26.53,26.14,26.31,25516700,26.13,26.05,4.4294,50.0
54,3/22/2006,26.35,26.52,26.24,26.4,22609900,26.16,26.07,5.8184,50.0
55,3/23/2006,26.4,26.47,25.96,26.16,18097800,26.22,26.13,0.1869,50.0
56,3/24/2006,26.24,26.24,25.85,26.02,17824200,26.25,26.2,-4.2987,41.6666666667
57,3/27/2006,26.0,26.02,25.69,25.81,21304900,26.26,26.28,-9.0859,41.6666666667
58,3/28/2006,25.73,25.81,25.3,25.35,24305600,26.22,26.32,-18.5028,33.3333333333
59,3/29/2006,25.42,25.55,25.11,25.24,26314900,26.07,26.24,-23.3103,33.3333333333
60,3/30/2006,25.24,25.43,25.2,25.2,23317300,25.9,26.1,-23.2308,33.3333333333
61,3/31/2006,25.24,25.37,24.83,24.92,24384700,25.74,25.96,-29.4211,30.7692307692
62,4/3/2006,25.09,25.29,25.03,25.12,20405300,25.53,25.74,-25.0497,38.4615384615
63,4/4/2006,25.23,25.24,25.01,25.1,21777400,25.38,25.55,-25.011,30.7692307692
64,4/5/2006,25.04,25.34,25.03,25.17,17207600,25.25,25.35,-21.9172,30.7692307692
65,4/6/2006,25.02,25.11,24.91,25.09,24629300,25.16,25.19,-25.3908,23.0769230769
66,4/7/2006,25.1,25.13,24.65,24.69,20897300,25.12,25.13,-31.6971,23.0769230769
67,4/10/2006,24.7,24.81,24.51,24.65,18287200,25.04,25.08,-36.5221,15.3846153846
68,4/11/2006,24.65,24.76,24.18,24.35,23613200,24.96,25.02,-43.7531,15.3846153846
69,4/12/2006,24.32,24.53,24.29,24.42,17777100,24.88,25.01,-43.3328,23.0769230769
70,4/13/2006,24.25,24.61,24.25,24.5,18306000,24.78,24.93,-40.5651,30.7692307692
71,4/17/2006,24.42,24.55,24.34,24.44,17250200,24.7,24.83,-39.3015,30.7692307692
72,4/18/2006,24.42,24.93,24.42,24.93,25624800,24.59,24.68,-22.4094,38.4615384615
73,4/19/2006,25.07,25.07,24.62,24.82,32855200,24.57,24.55,-15.9911,38.4615384615
74,4/20/2006,24.73,24.99,24.71,24.95,24957300,24.59,24.53,-10.3402,46.1538461538
75,4/21/2006,24.91,25.07,24.75,24.87,24964100,24.63,24.52,-6.307,38.4615384615
76,4/24/2006,24.72,24.84,24.54,24.79,22803200,24.7,24.61,-13.279,38.4615384615
77,4/25/2006,24.7,24.88,24.68,24.72,29488500,24.76,24.69,-8.0398,30.7692307692
78,4/26/2006,24.65,25.05,24.65,24.97,30912400,24.79,24.77,2.5691,38.4615384615
79,4/27/2006,24.97,25.23,24.86,24.86,23855100,24.86,24.87,10.0418,38.4615384615
80,4/28/2006,24.9,25.44,24.86,25.33,27482100,24.85,24.85,26.7209,46.1538461538
81,5/1/2006,25.5,25.59,24.99,25.12,26476800,24.93,24.88,27.3377,46.1538461538
82,5/2/2006,25.05,25.39,25.01,25.18,23045700,24.95,24.88,23.7946,46.1538461538
