id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12,cci-20,rsi-14
0,1/3/2006,30.57,31.0,29.9,30.87,12794000,30.87,30.87,0.0,0.0
1,1/4/2006,31.18,31.72,30.88,31.67,12183400,31.56,31.64,0.2817,100.0
2,1/5/2006,31.7,31.99,31.39,31.61,8028400,31.51,31.56,0.4866,50.0
3,1/6/2006,31.66,31.75,31.27,31.62,9210000,31.52,31.54,0.3069,66.6666666667
4,1/9/2006,31.71,31.73,31.19,31.3,8418000,31.38,31.31,0.1084,50.0
5,1/10/2006,31.2,31.28,30.99,31.02,7619000,31.3,31.2,-0.403,40.0
6,1/11/2006,30.9,31.3,30.75,31.12,7054000,31.32,31.3,-0.4653,50.0
7,1/12/2006,31.02,31.23,30.94,30.96,6155600,31.32,31.35,-0.486,42.8571428571
8,1/13/2006,31.14,31.45,30.97,31.29,5969800,31.33,31.46,0.0427,50.0
9,1/17/2006,31.08,31.49,31.06,31.14,7289800,31.27,31.36,0.0,44.4444444444
10,1/18/2006,31.01,31.55,30.98,31.13,6810600,31.21,31.26,0.0,40.0
11,1/19/2006,31.11,31.58,30.99,31.35,6644200,31.14,31.14,0.2998,45.4545454545
12,1/20/2006,31.44,31.53,30.18,30.31,12924800,31.14,31.1,-2.2419,41.6666666667
13,1/23/2006,30.42,30.75,29.91,30.24,6912000,31.04,31.11,-3.7913,38.4615384615
14,1/24/2006,30.24,30.75,30.2,30.71,7601000,30.92,31.06,-2.6693,38.4615384615
15,1/25/2006,30.68,30.76,30.19,30.36,7276600,30.88,31.04,-3.2025,38.4615384615
16,1/26/2006,30.83,31.52,30.5,31.49,9298400,30.75,30.9,0.6309,38.4615384615
17,1/27/2006,31.59,32.31,31.44,31.95,9404600,30.8,30.82,4.8272,46.1538461538
18,1/30/2006,32.09,32.32,31.72,31.87,6701200,30.92,30.76,5.2132,46.1538461538
19,1/31/2006,31.96,32.03,31.33,31.7,9070200,30.99,30.67,3.4119,38.4615384615
20,2/1/2006,31.28,32.03,31.14,31.36,13563200,31.19,30.89,1.9182,38.4615384615
21,2/2/2006,33.15,34.85,33.0,34.4,41156200,31.35,31.17,18.3726,38.4615384615
22,2/3/2006,34.2,34.56,33.63,33.88,18720600,31.88,31.46,17.3743,38.4615384615
23,2/6/2006,33.5,34.51,33.49,34.49,12475000,32.38,31.97,17.662,46.1538461538
24,2/7/2006,34.4,34.56,34.05,34.32,14700200,32.81,32.3,17.953,38.4615384615
25,2/8/2006,34.51,35.0,34.2,34.72,12809800,33.15,32.59,19.3449,46.1538461538
26,2/9/2006,35.11,35.33,34.72,35.19,13998400,33.55,33.01,21.4494,53.8461538462
27,2/10/2006,35.36,35.63,35.0,35.5,10493600,34.05,33.6,22.5367,53.8461538462
28,2/13/2006,34.36,34.71,34.07,34.57,13833800,34.64,34.42,14.7969,53.8461538462
29,2/14/2006,34.8,34.91,34.44,34.67,11034600,34.67,34.49,15.4665,53.8461538462
30,2/15/2006,34.71,35.3,34.07,35.18,9871200,34.78,34.72,15.7548,53.8461538462
31,2/16/2006,35.32,35.85,35.1,35.85,10433400,34.88,34.81,20.3921,61.5384615385
32,2/17/2006,35.56,35.92,35.37,35.39,8056800,35.1,35.01,18.6498,61.5384615385
33,2/21/2006,35.45,36.05,34.92,35.26,8661800,35.19,35.12,15.7754,61.5384615385
34,2/22/2006,35.4,36.37,35.36,36.02,10431400,35.2,35.13,18.4385,61.5384615385
35,2/23/2006,36.01,36.87,35.92,36.17,10974400,35.28,35.07,20.1326,69.2307692308
